match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialLost,aerialWon,challengeLost,shotOffTarget,errorLeadToAShot,totalOffside,shotValueNormalized,outfielderBlock,interceptionWon,fouls,bigChanceCreated,dispossessed,wonContest,blockedScoringAttempt,onTargetScoringAttempt,goals,punches,errorLeadToAGoal,hitWoodwork
14015629,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,16.0,9.0,5.0,1.0,0.0,8.0,12.0,1.0,4.0,12.0,6.0,,,,,90.0,39.0,6.4,8.0,37.544497051928,6.0,10.949070292826,0.0,,"{'original': 6.4, 'alternative': 6.8}",0,0.03,0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,3,1,56.25,20.0,,,,,,4.0,6.0,1.0,3.0,2.0,,,,,,3.0,3.0,,,,,,,4.0,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,14.0,7.0,7.0,2.0,0.0,7.0,8.0,,6.0,10.0,3.0,,,,,90.0,34.0,6.7,7.0,56.682257307643,8.0,4.104636368952,0.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.0,0.02,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,50.0,28.57142857142857,,,,,,4.0,2.0,,,,,,,,,2.0,2.0,2.0,,,,,2.0,2.0,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,989351,Ranko Jokić,ranko-jokic,D,3,False,21.0,14.0,6.0,1.0,0.0,10.0,13.0,4.0,8.0,10.0,4.0,,,,,90.0,42.0,6.9,8.0,101.47893774953,13.0,40.709303772895,0.0,,"{'original': 6.9, 'alternative': 7}",1,0.01,0.04,0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,66.66666666666666,16.666666666666664,,,,,,2.0,4.0,,3.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,-0.1,3.0,,,,,,,1.0,,,,
14015629,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,17.0,13.0,5.0,2.0,0.0,9.0,11.0,4.0,6.0,4.0,4.0,,,,,90.0,32.0,6.5,6.0,49.595203927774,7.0,-8.1683299423909,0.0,,"{'original': 6.5, 'alternative': 6.8}",0,0.03,0.09,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,76.47058823529412,40.0,,,,,,3.0,2.0,,2.0,1.0,1.0,,,,2.0,,,2.0,,,,,,2.0,1.0,,,,,,,,,
14015629,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,20.0,13.0,2.0,,0.0,6.0,7.0,7.0,13.0,1.0,5.0,,,,,82.0,33.0,6.2,9.0,89.969215418588,12.0,-44.44648178775,0.0,,"{'original': 6.2, 'alternative': 6.2}",0,0.05,0.13,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,3,3,65.0,,,100.0,,1.0,,4.0,7.0,1.0,2.0,2.0,,,,,,1.0,4.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,
14015629,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,25.0,21.0,7.0,6.0,0.0,15.0,17.0,6.0,8.0,3.0,10.0,,,,,90.0,54.0,7.1,12.0,300.00576241597,22.0,63.65527115714,4.0,,"{'original': 7.1, 'alternative': 7.1}",3,-0.06,0.36,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,84.0,85.71428571428571,,,,,,7.0,6.0,1.0,3.0,3.0,3.0,2.0,46.130026341772,153.92028429313,,1.0,1.0,2.0,2.0,,,-0.04,1.0,3.0,,,3.0,,1.0,,,,,1.0
14015629,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,4.0,1.0,1.0,1.0,0.0,1.0,3.0,,1.0,5.0,,,,,,73.0,16.0,6.4,5.0,4.8228233432296,1.0,-1.6146686548767,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,-0.05,-0.01,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,25.0,100.0,,,,,,3.0,2.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,
14015629,away,25737,FK Radnički Niš,370644,Gboly Ariyibi,gboly-ariyibi,F,11,False,7.0,4.0,,,0.0,2.0,2.0,2.0,5.0,,3.0,,,,,90.0,35.0,6.6,19.0,135.73073356902,16.0,73.325960000617,2.0,,"{'original': 6.6, 'alternative': 6.7}",2,-0.04,0.26,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,8,5,57.14285714285714,,,50.0,,,,7.0,8.0,6.0,2.0,1.0,9.0,3.0,18.451974074624,27.268185733657,,2.0,,,2.0,,,-0.14,,,2.0,,2.0,3.0,,,,,,1.0
14015629,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,F,97,False,13.0,9.0,1.0,1.0,0.0,7.0,8.0,2.0,5.0,1.0,6.0,,,,,90.0,29.0,6.6,8.0,86.574660060941,10.0,-9.0667369760216,0.0,,"{'original': 6.6, 'alternative': 6.8}",1,-0.08,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,4,2,69.23076923076923,100.0,,100.0,,,,7.0,4.0,1.0,2.0,2.0,2.0,1.0,,,,5.0,,1.0,1.0,,,-0.04,,,,,1.0,1.0,,,,,,
14015629,away,25737,FK Radnički Niš,1000276,Aleksandr Shestyuk,aleksandr-shestyuk,F,9,True,4.0,3.0,,,0.0,1.0,2.0,2.0,2.0,,1.0,,,,,17.0,8.0,6.4,2.0,38.025971038529,3.0,1.4085518922265,0.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.04,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,0.01,,1.0,,,,,,1.0,,,,
14015629,away,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,4.0,1.0,2.0,,0.0,1.0,2.0,,2.0,2.0,,,,,,17.0,13.0,6.5,7.0,17.135109460919,3.0,-8.4864433402629,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.03,-0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,25.0,,,,,1.0,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,
14015629,away,25737,FK Radnički Niš,605446,Bubacar Djaló,bubacar-djalo,M,5,True,1.0,,,,0.0,,1.0,,,,,,,,,8.0,1.0,6.6,1.0,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,0.01,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,1384025,Lamonth Rochester,lamonth-rochester,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,987906,Oleg Nikiforenko,oleg-nikiforenko,M,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,2456158,Petar Maslovarić,petar-maslovaric,G,91,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015629,away,25737,FK Radnički Niš,873419,Issah Abass,abass-issah,F,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
