match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,bigChanceMissed,bigChanceCreated
14147331,home,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,32.0,29.0,4.0,1.0,0.0,25.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,90.0,36.0,7.1,4.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.625,25.0,,,0.0,,,,,,,
14147331,home,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,33.0,27.0,2.0,2.0,0.0,16.0,19.0,14.0,4.0,1.0,1.0,2.0,11.0,9.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,77.0,52.0,6.5,6.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,7,10,81.81818181818183,100.0,25.0,50.0,,11.0,,,,,,
14147331,home,24312,FK Jezero,1035787,Nikola Jovićević,nikola-jovicevic,D,6,False,92.0,82.0,7.0,5.0,0.0,60.0,64.0,23.0,0.0,0.0,2.0,3.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,19.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,90.0,109.0,7.0,17.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,2,5,89.13043478260869,71.42857142857143,,,,17.0,,,,,,
14147331,home,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,78.0,73.0,4.0,3.0,0.0,51.0,52.0,26.0,1.0,0.0,5.0,3.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,18.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,94.0,6.5,8.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,8,7,3,4,93.58974358974359,75.0,0.0,,,22.0,,,,,,
14147331,home,24312,FK Jezero,1648555,Meldin Kojić,meldin-kojic,D,3,False,22.0,17.0,2.0,1.0,0.0,5.0,5.0,16.0,3.0,1.0,0.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,46.0,29.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,77.27272727272727,50.0,33.33333333333333,100.0,,12.0,,,,,,
14147331,home,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,16.0,13.0,2.0,2.0,0.0,3.0,4.0,10.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,,,,,,,46.0,26.0,6.9,5.0,0.0,0.11,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,81.25,100.0,0.0,50.0,,8.0,1.0,,,,,
14147331,home,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,90.0,76.0,14.0,6.0,0.0,38.0,39.0,49.0,4.0,2.0,0.0,1.0,11.0,10.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,,,,,,,90.0,119.0,7.4,14.0,0.13,0.0,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,1,20,9,11,84.44444444444444,42.857142857142854,50.0,66.66666666666666,,37.0,,1.0,2.0,,,
14147331,home,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,False,29.0,21.0,1.0,0.0,0.0,10.0,12.0,16.0,2.0,1.0,1.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,46.0,41.0,6.4,9.0,0.0,0.12,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,72.41379310344827,0.0,50.0,100.0,,11.0,1.0,,,,,
14147331,home,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,False,20.0,18.0,1.0,1.0,0.0,6.0,6.0,14.0,1.0,0.0,1.0,0.0,14.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,64.0,42.0,6.6,8.0,0.12,0.17,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,4,13,90.0,100.0,0.0,100.0,,12.0,1.0,,,3.0,,
14147331,home,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,18.0,14.0,0.0,0.0,0.0,6.0,7.0,11.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,,,,,,90.0,30.0,6.3,12.0,0.51,0.0,"{'original': 6.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,0,8,77.77777777777779,,,,,8.0,,2.0,,2.0,1.0,
14147331,home,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,F,45,False,31.0,26.0,1.0,0.0,0.0,11.0,13.0,18.0,0.0,0.0,0.0,1.0,10.0,6.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,90.0,51.0,7.1,10.0,0.43,0.02,"{'original': 7.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,5,10,83.87096774193549,0.0,,0.0,,15.0,1.0,,2.0,1.0,,
14147331,home,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,True,27.0,19.0,5.0,2.0,0.0,8.0,10.0,16.0,4.0,1.0,0.0,0.0,6.0,4.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,44.0,41.0,6.8,15.0,0.1,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,70.37037037037037,40.0,25.0,60.0,,11.0,,1.0,1.0,,,
14147331,home,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,True,21.0,16.0,0.0,0.0,0.0,5.0,6.0,14.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.0,33.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,76.19047619047619,,0.0,33.33333333333333,,11.0,,,,,,
14147331,home,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,True,43.0,32.0,9.0,5.0,0.0,17.0,19.0,24.0,2.0,0.0,0.0,1.0,6.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,44.0,52.0,6.9,8.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,74.4186046511628,55.55555555555556,0.0,66.66666666666666,,15.0,,,,,,
