match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,interceptionWon,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,challengeLost,dispossessed,bigChanceMissed,shotOffTarget,unsuccessfulTouch,shotValueNormalized,bigChanceCreated,blockedScoringAttempt,outfielderBlock,wasFouled,onTargetScoringAttempt,totalOffside
14015609,home,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,home,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,36.0,20.0,25.0,10.0,0.0,17.0,22.0,3.0,14.0,,,,1.0,15.0,,4.0,7.0,1.0,1.0,90.0,49.0,9.2,16.0,47.71964972398,9.0,34.81248876501,0.0,0.7814,"{'original': 9.2, 'alternative': 8.4}",0,0.06,0.0,0.38,0.58,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,55.55555555555556,40.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,22.0,13.0,5.0,1.0,0.0,7.0,13.0,6.0,9.0,6.0,4.0,1.0,,1.0,,,,,,81.0,48.0,6.7,18.0,84.833175551434,8.0,51.172363985467,1.0,,"{'original': 6.7, 'alternative': 6.6}",1,-0.13,0.16,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,59.09090909090909,20.0,,25.0,,,,,7.0,2.0,1.0,,1.0,34.807976970501,39.168777884943,,2.0,1.0,2.0,1.0,1.0,1.0,-0.2,,,,2.0,,
14015609,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,75.0,65.0,8.0,1.0,0.0,55.0,57.0,10.0,18.0,3.0,,,4.0,4.0,,,,,,90.0,89.0,7.3,10.0,212.33498288456,32.0,83.038460647791,0.0,,"{'original': 7.3, 'alternative': 7.2}",0,0.22,0.1,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,86.66666666666667,12.5,,,,,,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,1.0,,,
14015609,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,90.0,76.0,16.0,4.0,0.0,61.0,67.0,15.0,23.0,1.0,,,3.0,2.0,,,,,,90.0,95.0,6.9,14.0,171.01841396784,25.0,42.211608004715,0.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.22,0.07,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,84.44444444444444,25.0,,,,,,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,30.0,24.0,2.0,2.0,0.0,18.0,23.0,6.0,7.0,4.0,,,2.0,4.0,,,,,,90.0,50.0,7.3,6.0,93.034017549071,14.0,39.474813454437,0.0,,"{'original': 7.3, 'alternative': 7.5}",1,0.04,0.12,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,80.0,100.0,,,,,,,,1.0,1.0,1.0,,,,,2.0,,,,,,-0.15,,,1.0,1.0,1.0,
14015609,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,27.0,24.0,,,0.0,21.0,21.0,3.0,6.0,1.0,,,1.0,1.0,,,,,,90.0,37.0,6.8,6.0,25.547599603799,4.0,10.038467640628,0.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.03,0.02,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,88.88888888888889,,,,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,1.0,,,
14015609,away,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,10.0,9.0,1.0,,0.0,5.0,6.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,73.0,23.0,6.4,5.0,79.203255688885,6.0,61.060060253882,2.0,,"{'original': 6.4, 'alternative': 6.8}",2,0.09,0.15,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,90.0,,100.0,50.0,,1.0,1.0,1.0,3.0,,1.0,1.0,,27.049051248553,40.014953453041,1.0,,,1.0,,2.0,2.0,-0.54,,,,,,
14015609,away,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,37.0,31.0,3.0,1.0,0.0,18.0,21.0,13.0,16.0,4.0,1.0,,2.0,3.0,,,,,,61.0,57.0,6.7,14.0,91.077141246934,15.0,33.094301378761,0.0,,"{'original': 6.7, 'alternative': 6.5}",1,0.04,0.08,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,4,7,83.78378378378379,33.33333333333333,,,,1.0,,,7.0,2.0,2.0,,,,,,,2.0,4.0,,,1.0,0.0,,1.0,,2.0,,
14015609,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,14.0,13.0,1.0,1.0,0.0,8.0,9.0,5.0,5.0,1.0,,,,2.0,,,,,,90.0,22.0,6.6,5.0,25.514492421181,4.0,-2.6033936307129,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.1,-0.02,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,92.85714285714286,100.0,,,,,,,2.0,,,,,,,,,,2.0,,,2.0,,,,,1.0,,
14015609,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,15.0,11.0,1.0,,0.0,6.0,6.0,5.0,9.0,7.0,3.0,,,4.0,,,,,,90.0,35.0,7.4,14.0,167.09584269009,16.0,72.025127537226,5.0,,"{'original': 7.4, 'alternative': 7}",1,0.27,0.15,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,73.33333333333333,,50.0,,,4.0,2.0,,4.0,,2.0,2.0,1.0,23.691680630286,105.17694281392,1.0,1.0,,,,1.0,5.0,0.0,,,,4.0,,
14015609,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,8.0,5.0,,,0.0,1.0,2.0,4.0,6.0,1.0,,,,1.0,,,,,,81.0,16.0,6.2,5.0,35.387211939891,4.0,-6.5763027118221,0.0,,"{'original': 6.2, 'alternative': 6.7}",0,-0.47,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,62.5,,,,,,,3.0,4.0,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,
14015609,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,4.0,2.0,2.0,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,,,,,29.0,9.0,6.7,4.0,15.495698397141,2.0,8.9376008801314,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.16,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,50.0,,50.0,100.0,,2.0,1.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,
14015609,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,1.0,,,,,,,17.0,4.0,6.5,1.0,10.941500416811,2.0,-10.039593708801,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.0,-0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,
14015609,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,,,,,,,9.0,3.0,6.8,,5.6113678368113,1.0,-2.295721654546,0.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.0,0.0,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,1500279,Dusan Jovanović,dusan-jovanovic,F,9,True,2.0,,,,0.0,,,,2.0,2.0,,,,,,,,,,9.0,4.0,6.6,2.0,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,-0.01,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
14015609,away,253775,FK Železničar Pančevo,1803851,Mirko Stevanović,mirko-stevanovic,G,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,2216578,Sumaila Wasiu,sumaila-wasiu,F,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,1544669,Davorin Tošić,davorin-tosic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,282203,FK Železničar Pančevo,2276490,Abdoul Sawadogo,abdoul-sawadogo,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015609,away,5151,FK Železničar Pančevo,1912461,Vladimir Karajčić,vladimir-karajcic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
