match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,bigChanceCreated,onTargetScoringAttempt,goals,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,interceptionWon,errorLeadToAShot,totalTackle,wonTackle,challengeLost,totalContest,dispossessed,blockedScoringAttempt,shotOffTarget,bigChanceMissed,ownGoals,wonContest,goodHighClaim,punches,outfielderBlock
14015580,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,False,6.0,3.0,,,0.0,3.0,3.0,3.0,,1.0,,,,,45.0,11.0,6.3,6.0,14.534276437963,2.0,-6.2999362351846,0.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.19,0.07,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,50.0,,,,,,,,2.0,1.0,4.0,2.0,,,,3.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,
14015580,home,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,16.0,13.0,1.0,,0.0,2.0,3.0,13.0,,1.0,,,,,45.0,25.0,6.8,6.0,133.83951789465,11.0,89.828472152852,1.0,,"{'original': 6.8, 'alternative': 6.5}",0,-0.06,0.1,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,81.25,,100.0,,,11.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,37.930751581311,38.964518333992,,,,,,,,1.0,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1046939,Ayouba Kosiah,ayouba-kosiah,F,92,True,10.0,9.0,,,0.0,3.0,3.0,7.0,,2.0,,,,,45.0,15.0,6.1,2.0,24.010302930036,3.0,0.84158826805741,0.0,,"{'original': 6.1, 'alternative': 6.7}",2,-0.11,-0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,90.0,,,,,6.0,,,,1.0,,1.0,,,,1.0,,1.0,,,,-0.74,,,,,,,,1.0,1.0,,,,,,
14015580,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,10.0,8.0,1.0,,0.0,2.0,3.0,7.0,,2.0,,,,,45.0,22.0,6.4,9.0,73.911870448435,10.0,20.319743902015,2.0,,"{'original': 6.4, 'alternative': 6.7}",0,-0.11,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,80.0,,,50.0,,6.0,4.0,,1.0,,4.0,3.0,,,,1.0,,1.0,11.871165006396,24.88681852025,1.0,,,,2.0,1.0,,2.0,1.0,,,,,1.0,,,
14015580,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,16.0,15.0,1.0,1.0,0.0,3.0,3.0,13.0,,,,,,,32.0,26.0,6.4,6.0,44.715158932477,7.0,-4.5402195869831,0.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.19,-0.39,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,93.75,100.0,,50.0,,12.0,,,2.0,,6.0,1.0,,1.0,,3.0,,,,,,-0.06,,,,,2.0,2.0,1.0,,,,,1.0,,,
14015580,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,10.0,10.0,,,1.0,3.0,3.0,7.0,,2.0,,,,,13.0,18.0,6.8,2.0,33.760281118076,4.0,17.130147633471,0.0,,"{'original': 6.8, 'alternative': 7}",0,0.18,0.04,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,100.0,,,100.0,,7.0,1.0,,,,1.0,3.0,,,,,1.0,,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,
14015580,home,111127,FK Radnik Surdulica,2456275,Andrija Milićević,andrija-milicevic,F,44,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1047505,Filip Samurović,filip-samurovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,931313,Christ Kouadio,christ-kouadio,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,38.0,23.0,20.0,5.0,0.0,18.0,20.0,18.0,2.0,15.0,2.0,4.0,1.0,1.0,90.0,51.0,6.6,15.0,21.282050371253,4.0,-1.0924054411016,0.0,0.0176,"{'original': 6.6, 'alternative': 7}",0,0.13,-0.01,-0.11,-0.59,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,60.526315789473685,25.0,,,100.0,5.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,
14015580,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,33.0,24.0,5.0,1.0,0.0,18.0,21.0,12.0,3.0,2.0,,,,,65.0,51.0,6.3,13.0,161.4482076984,15.0,80.859533604122,3.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.09,0.14,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,72.72727272727273,20.0,,,,6.0,,,2.0,1.0,3.0,2.0,,,,,,,35.360317578764,87.317956733983,,,1.0,,1.0,1.0,,1.0,,,,,,,,,
14015580,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,40.0,33.0,7.0,2.0,0.0,30.0,32.0,8.0,3.0,1.0,,,,,90.0,49.0,5.8,9.0,176.95241195934,21.0,-0.20839385381715,0.0,,"{'original': 5.8, 'alternative': 6.1}",0,0.03,0.01,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,82.5,28.57142857142857,,,,3.0,,,1.0,,3.0,1.0,,,,2.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,
14015580,away,5152,FK Partizan,108736,Stefan Mitrović,stefan-mitrovic,D,23,False,31.0,24.0,3.0,1.0,0.0,21.0,26.0,5.0,9.0,3.0,,,,,74.0,41.0,6.8,7.0,55.729045970552,7.0,8.7531657974508,0.0,,"{'original': 6.8, 'alternative': 6.8}",0,-0.01,0.03,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,77.41935483870968,33.33333333333333,,,,3.0,,,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
14015580,away,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,False,20.0,13.0,1.0,,0.0,8.0,9.0,11.0,5.0,1.0,,,,,90.0,45.0,6.3,11.0,105.58168181473,11.0,44.727970721813,1.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.05,0.09,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,65.0,,,,,5.0,,,1.0,,2.0,2.0,,,,2.0,1.0,1.0,26.525575759325,30.460931633816,,,3.0,,1.0,,,1.0,,,,,,,,,
14015580,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,35.0,31.0,2.0,2.0,1.0,17.0,20.0,15.0,,3.0,,,,,90.0,48.0,6.9,9.0,94.525908957177,12.0,52.536164299172,2.0,,"{'original': 6.9, 'alternative': 7.5}",2,0.26,0.34,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,88.57142857142857,100.0,,,,14.0,1.0,,1.0,,3.0,3.0,,2.0,,4.0,,1.0,20.249960380995,42.263018558694,1.0,0.09,1.0,,3.0,3.0,1.0,,,,,,,,,,1.0
14015580,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,18.0,9.0,1.0,1.0,0.0,4.0,7.0,11.0,1.0,6.0,,,,,90.0,38.0,8.9,19.0,214.19442936896,13.0,144.25497691513,3.0,,"{'original': 8.9, 'alternative': 8.4}",2,-0.1,0.41,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,50.0,100.0,,66.66666666666666,,5.0,1.0,,,1.0,4.0,5.0,,2.0,2.0,6.0,2.0,1.0,35.27161951504,90.269870799106,,0.92,1.0,,,,,3.0,2.0,,,,,2.0,,,
14015580,away,5152,FK Partizan,188115,Saša Zdjelar,sasa-zdjelar,M,14,False,47.0,36.0,3.0,2.0,0.0,19.0,22.0,25.0,2.0,3.0,,,,,90.0,57.0,6.8,12.0,71.616700730685,10.0,17.292817899791,0.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.1,0.02,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,76.59574468085107,66.66666666666666,,100.0,,17.0,,,,4.0,1.0,7.0,,,,1.0,1.0,,,,,,2.0,,1.0,,1.0,1.0,,,,,,1.0,,,
14015580,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,6.0,5.0,,,0.0,2.0,2.0,4.0,1.0,3.0,,,,,61.0,18.0,6.3,6.0,86.466690471234,7.0,56.346175634675,1.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.04,0.11,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,83.33333333333334,,,,,3.0,,,,,2.0,,,,,3.0,,,24.702326410072,27.471061883371,,,1.0,,,,,1.0,1.0,,,,,,,,
14015580,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,14.0,13.0,1.0,1.0,0.0,5.0,5.0,9.0,2.0,4.0,,,,,73.0,27.0,6.4,8.0,57.867376075505,7.0,5.204408994331,0.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.07,-0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,92.85714285714286,100.0,,,,8.0,3.0,,1.0,,3.0,1.0,,,,3.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,
14015580,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,17.0,11.0,2.0,1.0,1.0,5.0,7.0,10.0,,1.0,,,,,60.0,24.0,6.5,10.0,52.674899350525,6.0,26.103608089484,1.0,,"{'original': 6.5, 'alternative': 6.9}",0,0.2,0.11,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,64.70588235294117,50.0,,,,6.0,1.0,,3.0,2.0,5.0,3.0,,,,2.0,1.0,2.0,16.999563168818,17.175931532234,3.0,,,,,,,,,,,,,,,,
14015580,away,5152,FK Partizan,39733,Sebastian Polter,sebastian-polter,F,91,True,7.0,5.0,,,0.0,3.0,3.0,4.0,1.0,2.0,,,,,30.0,16.0,6.3,5.0,68.963192532946,3.0,63.013132076356,2.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.02,0.12,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,71.42857142857143,,,50.0,,2.0,,,1.0,2.0,5.0,4.0,,,,1.0,,2.0,44.19488623196,55.387749667242,,,,,1.0,,,2.0,1.0,,,,,1.0,,,
14015580,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,5.0,5.0,1.0,1.0,0.0,4.0,4.0,1.0,,1.0,,,,,29.0,12.0,6.6,2.0,10.912818582659,2.0,-1.651054306001,0.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.02,0.0,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,100.0,100.0,,,,1.0,,,,,1.0,3.0,,,,1.0,,,,,,,,,3.0,,,1.0,,,,,,,,,
14015580,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,6.0,5.0,1.0,1.0,0.0,5.0,5.0,1.0,,2.0,,,,,25.0,11.0,6.3,2.0,4.982677593423,1.0,4.9486585800239,0.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.0,0.02,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,83.33333333333334,100.0,,50.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,
14015580,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,8.0,6.0,2.0,,0.0,4.0,4.0,4.0,,1.0,,,,,17.0,13.0,6.5,4.0,49.655103328143,5.0,25.465442610492,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.01,0.16,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,75.0,,,,,2.0,,,,,1.0,2.0,,,,2.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
14015580,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,5.0,4.0,,,0.0,3.0,3.0,2.0,6.0,1.0,,,,,16.0,15.0,6.7,1.0,8.660527062483,1.0,5.0179220567581,0.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.02,0.0,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,80.0,,,,,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0
14015580,away,37125,FK Partizan,2235877,Marko Lekić,marko-lekic,F,46,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,away,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,away,37125,FK Partizan,1584966,Dušan Makević,dusan-makevic,D,88,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,away,5152,FK Partizan,1983654,Dušan Jovanović,dusan-jovanovic,F,79,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015580,away,37125,FK Partizan,1946155,Ivan Martinović,ivan-martinovic,F,77,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
