match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,shotOffTarget,shotValueNormalized,wasFouled,dispossessed,blockedScoringAttempt,penaltyWon,bigChanceCreated,outfielderBlock,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyFaced,penaltyConceded
14015414,away,5362,FK Novi Pazar,940100,Abdoulaye Cisse,abdoulaye-cisse,M,6,False,32.0,20.0,9.0,1.0,0.0,8.0,12.0,12.0,20.0,4.0,4.0,,,,,90.0,57.0,7.9,14.0,,"{'original': 7.9, 'alternative': 7.9}",3,0.03,0.29,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,6,1,62.5,11.11111111111111,,,,,,2.0,3.0,8.0,,,,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,0.43,1.0,,,,,2.0,1.0,1.0,,,,
14015414,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,M,7,False,6.0,3.0,,,0.0,1.0,1.0,2.0,5.0,1.0,3.0,,,,,48.0,15.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.8}",2,-0.07,0.1,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,50.0,,,,,,,2.0,3.0,3.0,1.0,,,,2.0,1.0,2.0,,,1.0,,0.19,,,,,,,2.0,,,,,
14015414,away,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,11.0,7.0,3.0,,0.0,3.0,4.0,4.0,7.0,,1.0,,,,,64.0,21.0,5.9,10.0,,"{'original': 5.9, 'alternative': 5.9}",2,0.01,0.01,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,1,5,63.63636363636363,,,,,1.0,,1.0,6.0,1.0,,4.0,,,,,1.0,1.0,,,2.0,-0.19,1.0,,,,,,,,,,,
14015414,away,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,False,10.0,7.0,,,0.0,5.0,8.0,2.0,2.0,1.0,2.0,,,,,45.0,20.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.28,0.06,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,70.0,,100.0,,,2.0,2.0,3.0,4.0,3.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
14015414,away,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,False,9.0,6.0,1.0,,0.0,4.0,4.0,2.0,5.0,,1.0,,,,,45.0,11.0,6.1,5.0,,"{'original': 6.1, 'alternative': 6.5}",0,0.01,-0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,0,1,66.66666666666666,,,,,,,5.0,6.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015414,away,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,4.0,3.0,,,1.0,,,3.0,4.0,,,,,,,45.0,15.0,7.9,6.0,,"{'original': 7.9, 'alternative': 7.9}",3,0.29,0.23,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,75.0,,,,,,,4.0,6.0,3.0,,,,,,,4.0,2.0,1.0,,1.0,0.4,3.0,1.0,,,1.0,,2.0,1.0,1.0,,,
14015414,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,True,13.0,11.0,2.0,1.0,0.0,6.0,6.0,5.0,7.0,,3.0,,,,,45.0,28.0,6.7,5.0,,"{'original': 6.7, 'alternative': 7.1}",2,0.13,0.0,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,84.61538461538461,50.0,,,,,,,3.0,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,,1.0,-0.15,,1.0,,,,1.0,1.0,,,,,
14015414,away,5149,FK Novi Pazar,1152937,Dragan Bojat,dragan-bojat,D,2,True,8.0,7.0,1.0,,0.0,2.0,2.0,5.0,6.0,,1.0,,,,,42.0,14.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.6}",1,-0.13,0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,87.5,,,,,,,,2.0,,1.0,,,,,,2.0,,2.0,,,0.02,,1.0,1.0,,,,,,,,,
14015414,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,26.0,3.0,7.8,,,"{'original': 7.8, 'alternative': 7.1}",1,0.17,0.13,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,0.51,,,,,,,1.0,1.0,,,,
14015414,away,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,F,17,True,6.0,4.0,1.0,,1.0,1.0,2.0,3.0,4.0,2.0,2.0,,,,,17.0,16.0,7.3,3.0,,"{'original': 7.3, 'alternative': 7.5}",0,0.52,-0.44,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,66.66666666666666,,,100.0,,,,1.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,1.0,,,,,,,
14015414,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,away,44355,FK Novi Pazar,1417030,Burak Ingenç,burak-ingenc,M,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,away,241802,FK Novi Pazar,927295,Armin Đerlek,armin-djerlek,M,18,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,away,4499,FK Novi Pazar,1639816,Yakup Arda Kılıç,yakup-arda-kilic,F,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
