match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelLost,totalContest,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelWon,dispossessed,onTargetScoringAttempt,totalClearance,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,fouls,shotValueNormalized,challengeLost,outfielderBlock,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,accurateCross,wonContest,keyPass,bigChanceMissed,shotOffTarget,bigChanceCreated,blockedScoringAttempt,goals,totalOffside,penaltyWon
14015630,away,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,29.0,14.0,15.0,2.0,0.0,9.0,9.0,20.0,2.0,,4.0,,,,,,,90.0,41.0,6.2,15.0,102.48638539444,10.0,58.976985624204,2.0,,"{'original': 6.2, 'alternative': 6.7}",2,0.14,0.08,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,48.275862068965516,13.333333333333334,,,,5.0,,1.0,2.0,2.0,,2.0,6.0,,,,,,,1.0,0.11,,,1.0,22.330016420365,42.038816352217,,,,1.0,,,,,,
14015630,away,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,False,28.0,18.0,6.0,4.0,0.0,6.0,7.0,21.0,4.0,2.0,3.0,,,,,,,90.0,55.0,6.8,19.0,178.02325926709,15.0,102.22234649342,3.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.21,0.06,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,64.28571428571429,66.66666666666666,,50.0,,12.0,,1.0,2.0,5.0,2.0,,2.0,,,,2.0,,2.0,,-0.16,,,,22.314240264168,56.883771581987,,1.0,2.0,,1.0,1.0,,,,
14015630,away,111127,FK Radnik Surdulica,1111989,Luka Zorić,luka-zoric,M,3,False,30.0,19.0,7.0,2.0,0.0,12.0,13.0,17.0,4.0,,6.0,,,,,,,90.0,48.0,7.2,13.0,74.684107366572,12.0,16.829104350701,0.0,,"{'original': 7.2, 'alternative': 7.9}",4,-0.04,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,63.33333333333333,28.57142857142857,,,,7.0,,1.0,2.0,3.0,,1.0,2.0,,1.0,1.0,2.0,,,,0.29,3.0,2.0,3.0,,,,,1.0,,3.0,,,1.0,,
14015630,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,False,32.0,22.0,5.0,1.0,0.0,6.0,7.0,25.0,2.0,,9.0,,,,,,,59.0,42.0,6.8,11.0,91.383201730404,10.0,-24.526830862244,0.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.27,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,5,1,68.75,20.0,,,,16.0,,1.0,,5.0,,,,,4.0,2.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,M,47,False,15.0,7.0,2.0,,0.0,2.0,4.0,11.0,7.0,3.0,1.0,,,,,,,54.0,32.0,6.3,17.0,106.70013387676,14.0,30.586796216238,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.06,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,46.666666666666664,,,33.33333333333333,,5.0,2.0,2.0,2.0,6.0,2.0,,,,2.0,1.0,3.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,False,23.0,13.0,6.0,2.0,0.0,5.0,10.0,13.0,8.0,3.0,4.0,,,,,,,90.0,45.0,6.9,16.0,112.84663521631,13.0,-10.941044517549,0.0,,"{'original': 6.9, 'alternative': 7.1}",3,-0.08,0.29,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,56.52173913043478,33.33333333333333,,33.33333333333333,,8.0,,2.0,,6.0,,2.0,,,2.0,1.0,4.0,,3.0,4.0,0.31,1.0,,4.0,,,,1.0,,,,,1.0,1.0,,
14015630,away,111127,FK Radnik Surdulica,1801667,Lazar Stojanović,lazar-stojanovic,M,20,False,8.0,5.0,2.0,,0.0,4.0,5.0,3.0,3.0,1.0,1.0,,,,,,,54.0,17.0,6.1,7.0,53.317678195603,6.0,-9.4578159049524,0.0,,"{'original': 6.1, 'alternative': 6.3}",2,-0.18,-0.15,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,62.5,,,,,1.0,1.0,,,,1.0,,2.0,,,,1.0,,,1.0,-0.44,,,,,,,,,,,,2.0,,,
14015630,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,24.0,19.0,3.0,1.0,0.0,5.0,7.0,17.0,9.0,1.0,5.0,,,,,,,77.0,45.0,6.4,14.0,139.91905356675,20.0,31.35428588884,3.0,,"{'original': 6.4, 'alternative': 7.2}",3,-0.07,0.3,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,3,4,79.16666666666666,33.33333333333333,,,,14.0,,5.0,1.0,4.0,2.0,1.0,,,2.0,1.0,6.0,,2.0,,-0.34,1.0,,2.0,21.525690431998,47.640137268847,,,1.0,,1.0,,1.0,,,1.0
14015630,away,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,F,88,True,7.0,4.0,1.0,,0.0,2.0,4.0,3.0,6.0,2.0,2.0,,,,,,,36.0,15.0,7.4,5.0,76.335800282569,7.0,38.826866111174,2.0,,"{'original': 7.4, 'alternative': 7.1}",1,0.18,0.1,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,57.14285714285714,,66.66666666666666,50.0,,2.0,3.0,,,2.0,,1.0,,,1.0,,,,,2.0,0.51,3.0,,,17.744766876532,34.445505853829,2.0,1.0,1.0,,,,,1.0,,
14015630,away,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,3.0,3.0,,,0.0,,,3.0,2.0,1.0,1.0,,,,,,,36.0,12.0,6.9,2.0,7.9988245387648,2.0,-1.4453748447199,0.0,,"{'original': 6.9, 'alternative': 7}",0,0.06,-0.09,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,100.0,,,,,3.0,,,,3.0,,,,,2.0,2.0,1.0,,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,3.0,2.0,,,0.0,,,3.0,3.0,1.0,,,,,,,,31.0,9.0,6.6,3.0,17.716229975979,3.0,0.093023426373492,0.0,,"{'original': 6.6, 'alternative': 6.8}",1,-0.13,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,66.66666666666666,,,100.0,,2.0,,1.0,,3.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,-0.29,,,,,,,1.0,1.0,,,,1.0,,,
14015630,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,5.0,4.0,,,0.0,3.0,3.0,2.0,3.0,,3.0,,,,,,,13.0,8.0,6.5,2.0,27.667912297916,3.0,-6.4591129521977,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.03,-0.51,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,80.0,,,,,1.0,,,1.0,3.0,,,,,2.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,2456275,Andrija Milićević,andrija-milicevic,F,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,588974,Aleksandar Cvetković,aleksandar-cvetkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,578112,Igor Ivanović,igor-ivanovic,F,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1047505,Filip Samurović,filip-samurovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,931313,Christ Kouadio,christ-kouadio,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015630,away,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
