match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,shotOffTarget,blockedScoringAttempt,keyPass,dispossessed
14147355,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,15.0,9.0,6.0,3.0,0.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,90.0,19.0,7.2,5.0,0.0,0.03,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.0,50.0,,,0.0,,,,1.0,
14147355,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,29.0,16.0,11.0,4.0,0.0,9.0,12.0,7.0,17.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,34.0,7.0,15.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,55.172413793103445,36.36363636363637,33.33333333333333,100.0,,2.0,,,,
14147355,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,15.0,10.0,7.0,4.0,0.0,5.0,6.0,4.0,8.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,46.0,22.0,6.9,5.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,66.66666666666666,57.14285714285714,,,,2.0,,,,
14147355,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,37.0,27.0,11.0,5.0,0.0,16.0,18.0,11.0,18.0,0.0,0.0,2.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,,,,,,,90.0,49.0,7.3,10.0,0.01,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,2,6,72.97297297297297,45.45454545454545,,,,3.0,,1.0,,1.0
14147355,away,7581,FK Bokelj Kotor,1218106,Andrija Krivokapić,andrija-krivokapic,D,23,False,27.0,12.0,10.0,4.0,0.0,4.0,10.0,7.0,15.0,1.0,0.0,0.0,2.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,30.0,6.6,15.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,1,12,44.44444444444444,40.0,0.0,,,1.0,,,,
14147355,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,29.0,20.0,7.0,3.0,0.0,9.0,9.0,11.0,20.0,0.0,0.0,5.0,3.0,10.0,7.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,70.0,40.0,7.0,11.0,0.0,0.05,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,4,5,68.96551724137932,42.857142857142854,,100.0,,2.0,,,1.0,
14147355,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,34.0,25.0,7.0,2.0,0.0,14.0,14.0,10.0,17.0,0.0,0.0,1.0,4.0,14.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,47.0,6.7,14.0,0.08,0.0,"{'original': 6.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,5,15,2,13,73.52941176470588,28.57142857142857,,,,,1.0,1.0,,
14147355,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,12.0,8.0,1.0,0.0,0.0,3.0,3.0,5.0,9.0,2.0,2.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,63.0,15.0,6.5,5.0,0.0,0.06,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,1,10,66.66666666666666,0.0,100.0,0.0,,,,,1.0,
14147355,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,25.0,18.0,4.0,2.0,0.0,7.0,10.0,11.0,15.0,0.0,0.0,2.0,1.0,10.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,78.0,40.0,6.7,12.0,0.39,0.03,"{'original': 6.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,3,8,72.0,50.0,,,,,,2.0,1.0,
14147355,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,17.0,12.0,0.0,0.0,0.0,6.0,7.0,5.0,9.0,2.0,0.0,7.0,0.0,20.0,8.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,,,,,,70.0,43.0,7.1,13.0,0.2,0.01,"{'original': 7.1, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",28,7,21,8,13,70.58823529411765,,0.0,100.0,,1.0,2.0,,1.0,2.0
14147355,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,False,16.0,10.0,2.0,1.0,0.0,2.0,3.0,8.0,13.0,0.0,0.0,6.0,8.0,13.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,,,,,,,90.0,31.0,6.8,20.0,0.07,0.12,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,14,11,4,7,62.5,50.0,,0.0,,,1.0,1.0,2.0,1.0
14147355,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,D,16,True,12.0,6.0,2.0,0.0,0.0,1.0,3.0,4.0,7.0,2.0,2.0,3.0,2.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.0,19.0,7.0,12.0,0.0,0.06,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,50.0,0.0,100.0,100.0,,2.0,,,1.0,
