match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,bigChanceMissed,shotOffTarget,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,accurateCross,dispossessed,totalContest,wonContest,bigChanceCreated,hitWoodwork,outfielderBlock,totalOffside,onTargetScoringAttempt,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized
14015427,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,False,15.0,9.0,,,0.0,2.0,2.0,7.0,13.0,4.0,90.0,38.0,6.9,14.0,"{'original': 6.9, 'alternative': 7.4}",6,-0.32,0.61,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,4,4,60.0,,,25.0,,,2.0,5.0,6.0,9.0,,1.0,1.0,4.0,,,,,5.0,3.0,2.0,2.0,-0.7,,,4.0,1.0,,,,,1.0,,,,,
14015427,home,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,True,10.0,8.0,,,0.0,1.0,2.0,7.0,8.0,1.0,26.0,17.0,6.6,5.0,"{'original': 6.6, 'alternative': 6.5}",1,0.22,0.03,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,80.0,,,,,1.0,2.0,1.0,4.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,-0.16,,,1.0,,,,,,,,,,,
14015427,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,13.0,9.0,,,0.0,4.0,5.0,5.0,8.0,1.0,25.0,17.0,6.6,5.0,"{'original': 6.6, 'alternative': 6.4}",1,0.12,0.1,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,69.23076923076923,,,,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,-0.69,,,1.0,,,,,,,,,,,
14015427,home,34318,FK Radnički 1923,1147561,Matija Glušćević,matija-gluscevic,F,7,True,10.0,9.0,,,0.0,2.0,2.0,7.0,8.0,2.0,13.0,15.0,6.6,3.0,"{'original': 6.6, 'alternative': 6.8}",1,0.08,0.04,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,90.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,1.0,-0.3,,,,,,,,,,,,,,
14015427,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,2.0,2.0,,,0.0,,,2.0,2.0,,1.0,3.0,,1.0,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,100.0,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
14015427,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,home,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,M,50,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,35.0,14.0,28.0,7.0,0.0,8.0,12.0,6.0,23.0,10.0,90.0,50.0,7.5,21.0,"{'original': 7.5, 'alternative': 7.5}",0,0.05,-0.08,0.4,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,40.0,25.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,0.2485,0.27
14015427,away,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,16.0,9.0,2.0,,0.0,5.0,10.0,4.0,6.0,2.0,90.0,45.0,7.6,11.0,"{'original': 7.6, 'alternative': 7.6}",0,0.18,-0.14,0.29,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,56.25,,100.0,,,1.0,1.0,1.0,4.0,8.0,,,,,1.0,5.0,4.0,3.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,26.0,18.0,7.0,2.0,0.0,12.0,13.0,6.0,13.0,,90.0,45.0,7.8,8.0,"{'original': 7.8, 'alternative': 7.7}",0,0.14,0.01,0.75,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,6,3,69.23076923076923,28.57142857142857,,,,,4.0,4.0,7.0,10.0,1.0,,,,6.0,3.0,5.0,3.0,,1.0,3.0,,,,,,,,,3.0,,,,,,,
14015427,away,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,False,10.0,10.0,,,0.0,8.0,8.0,2.0,2.0,,42.0,25.0,6.3,,"{'original': 6.3, 'alternative': 6.3}",0,0.05,0.01,0.47,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,100.0,,,,,,1.0,1.0,2.0,2.0,,,,,10.0,1.0,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,
14015427,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,16.0,12.0,4.0,1.0,0.0,8.0,8.0,4.0,8.0,1.0,90.0,33.0,7.8,4.0,"{'original': 7.8, 'alternative': 7.7}",0,0.05,0.03,1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,75.0,25.0,,,,,1.0,1.0,1.0,5.0,,,,,7.0,,3.0,3.0,,1.0,,,,,,,,,,3.0,,,,,,,
14015427,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,False,27.0,18.0,8.0,3.0,0.0,12.0,13.0,6.0,14.0,9.0,90.0,43.0,6.3,15.0,"{'original': 6.3, 'alternative': 6.4}",0,0.08,0.14,0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,1,4,66.66666666666666,37.5,,,,2.0,6.0,2.0,10.0,3.0,1.0,,,,4.0,1.0,1.0,,3.0,,3.0,,,,1.0,,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,21.0,16.0,1.0,,0.0,10.0,13.0,6.0,8.0,9.0,90.0,46.0,7.5,9.0,"{'original': 7.5, 'alternative': 7.1}",0,0.1,0.26,0.68,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,76.19047619047619,,,57.14285714285714,,,2.0,,8.0,6.0,2.0,,,,7.0,,2.0,2.0,1.0,,1.0,,,,,7.0,4.0,,,2.0,,,,,,,
14015427,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,M,33,False,10.0,4.0,1.0,,0.0,2.0,6.0,2.0,4.0,2.0,54.0,18.0,6.4,11.0,"{'original': 6.4, 'alternative': 6.2}",0,0.12,0.05,-0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,0,5,40.0,,100.0,,,1.0,1.0,2.0,6.0,2.0,1.0,,,,1.0,,,,2.0,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,10.0,6.0,1.0,,0.0,2.0,4.0,4.0,6.0,2.0,45.0,19.0,6.5,10.0,"{'original': 6.5, 'alternative': 6.3}",0,0.03,-0.54,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,60.0,,,,,1.0,1.0,2.0,4.0,3.0,1.0,,,,1.0,,,,3.0,1.0,,,,,,2.0,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,M,7,False,11.0,7.0,1.0,,0.0,2.0,2.0,5.0,9.0,,65.0,20.0,6.6,8.0,"{'original': 6.6, 'alternative': 6.6}",1,-0.05,-0.34,0.23,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,63.63636363636363,,,,,1.0,,1.0,1.0,3.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,-0.25,,,1.0,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,8.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,2.0,81.0,18.0,6.5,8.0,"{'original': 6.5, 'alternative': 6.7}",0,-0.08,0.13,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,4,0,62.5,100.0,,100.0,,,4.0,1.0,4.0,5.0,,,,,,,1.0,,5.0,2.0,,,,,,1.0,1.0,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,True,9.0,6.0,1.0,1.0,0.0,3.0,4.0,3.0,5.0,,45.0,17.0,6.8,4.0,"{'original': 6.8, 'alternative': 6.5}",0,0.08,-0.01,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,66.66666666666666,100.0,,,,,1.0,2.0,3.0,4.0,1.0,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,True,8.0,4.0,2.0,,0.0,3.0,5.0,1.0,3.0,3.0,36.0,17.0,6.6,6.0,"{'original': 6.6, 'alternative': 6.5}",0,-0.03,0.07,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,50.0,,,50.0,,,3.0,2.0,5.0,3.0,,,,,3.0,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,
14015427,away,228024,FK Napredak Kruševac,1109778,Nikola Marinković,nikola-marinkovic,F,20,True,4.0,2.0,2.0,,0.0,1.0,2.0,1.0,2.0,2.0,25.0,8.0,6.4,3.0,"{'original': 6.4, 'alternative': 6.5}",0,-0.01,0.03,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
14015427,away,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,True,1.0,,,,0.0,,,,1.0,,9.0,6.0,6.6,4.0,"{'original': 6.6, 'alternative': 6.3}",1,-0.06,0.24,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,,,,,,1.0,1.0,1.0,3.0,1.0,,,,1.0,,,,,,,,,-0.25,,1.0,1.0,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,374281,FK Napredak Kruševac,1855771,Mateja Gajić,mateja-gajic,M,18,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,241802,FK Napredak Kruševac,1846383,Đorđe Skočajić,dorde-skocajic,F,16,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015427,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
