match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,shotOffTarget,hitWoodwork,keyPass,bigChanceMissed
14147372,home,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,11.0,7.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,1.0,0.0,5.0,2.0,15.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,,,,,,,71.0,25.0,7.2,13.0,0.72,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,3,10,63.63636363636363,,0.0,100.0,,3.0,,1.0,,,
14147372,home,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,True,9.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,24.0,12.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,33.33333333333333,0.0,,,,1.0,,,,,
14147372,home,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,True,7.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,,,,,,,24.0,14.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,71.42857142857143,0.0,,,,,,,,,
14147372,home,24312,FK Jezero,196634,Ognjen Rolović,ognjen-rolovic,F,19,True,6.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,19.0,10.0,6.6,5.0,0.24,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,33.33333333333333,,,,,,,1.0,,,
14147372,home,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,M,29,True,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,5.0,3.0,6.1,2.0,0.37,0.0,"{'original': 6.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,0.0,,,,,,,1.0,,,1.0
14147372,home,24312,FK Jezero,1190522,Imran Redžepagić,imran-redzepagic,M,16,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,5.0,,6.3,1.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,,,,,,,,,,,
14147372,home,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147372,home,24312,FK Jezero,1393483,Mihailo Ilić,mihailo-ilic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147372,home,24312,FK Jezero,1648555,Meldin Kojić,meldin-kojic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147372,home,24312,FK Jezero,1035786,Anil Julević,anil-julevic,F,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147372,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,18.0,14.0,10.0,6.0,0.0,11.0,13.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90.0,22.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,60.0,,,,,,,,,
14147372,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,D,28,False,24.0,15.0,3.0,0.0,0.0,5.0,5.0,7.0,14.0,2.0,1.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,75.0,29.0,6.7,11.0,0.0,0.18,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,62.5,0.0,50.0,,,,,,,1.0,
14147372,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,46.0,40.0,9.0,6.0,0.0,26.0,28.0,12.0,16.0,0.0,0.0,3.0,2.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,63.0,7.4,9.0,0.23,0.2,"{'original': 7.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,86.95652173913044,66.66666666666666,,,,,,1.0,,1.0,
14147372,away,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,35.0,23.0,13.0,7.0,0.0,11.0,16.0,11.0,17.0,0.0,0.0,2.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,51.0,7.3,16.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,6,10,4,6,65.71428571428571,53.84615384615385,,,,,,,,,
14147372,away,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,False,18.0,9.0,8.0,1.0,0.0,3.0,5.0,5.0,12.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,69.0,31.0,6.6,11.0,0.06,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,50.0,12.5,,100.0,,1.0,,1.0,,,
