match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,interceptionWon,penaltyConceded,dispossessed,blockedScoringAttempt,shotOffTarget,bigChanceMissed,clearanceOffLine,bigChanceCreated
14147342,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,30.0,26.0,7.0,3.0,0.0,22.0,24.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,90.0,35.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,86.66666666666667,42.857142857142854,,,,,,,,,,,,
14147342,away,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,49.0,38.0,6.0,3.0,0.0,21.0,23.0,16.0,25.0,4.0,2.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,59.0,6.5,15.0,0.0,0.01,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,1,9,77.55102040816327,50.0,50.0,50.0,,1.0,,,,,,,,
14147342,away,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,60.0,57.0,2.0,1.0,0.0,39.0,41.0,17.0,18.0,0.0,0.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,,,,,,90.0,70.0,6.8,6.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,7,2,1,1,95.0,50.0,,,,,3.0,1.0,,,,,,
14147342,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,87.0,81.0,8.0,4.0,0.0,49.0,50.0,32.0,37.0,0.0,0.0,1.0,8.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,103.0,7.9,10.0,0.36,0.05,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,9,6,2,4,93.10344827586206,50.0,,,,1.0,,,,,1.0,1.0,1.0,
14147342,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,57.0,40.0,12.0,5.0,0.0,13.0,14.0,24.0,38.0,3.0,0.0,0.0,1.0,3.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,65.0,7.1,16.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,70.17543859649122,41.66666666666667,0.0,100.0,,,2.0,,,,,,,
14147342,away,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,False,31.0,25.0,3.0,2.0,0.0,8.0,9.0,16.0,21.0,3.0,2.0,0.0,0.0,9.0,4.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,74.0,46.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,4,9,80.64516129032258,66.66666666666666,66.66666666666666,60.0,,1.0,1.0,,,,,,,
14147342,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,43.0,39.0,4.0,2.0,1.0,19.0,19.0,19.0,23.0,1.0,0.0,1.0,1.0,10.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,,,,,,,60.0,62.0,6.9,10.0,0.0,0.03,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,5,9,90.69767441860465,50.0,0.0,100.0,,2.0,1.0,,,,,,,
14147342,away,6216,OFK Petrovac,959010,Zaim Divanović,zaim-divanovic,M,23,False,63.0,52.0,4.0,3.0,0.0,21.0,22.0,30.0,39.0,2.0,0.0,1.0,1.0,19.0,11.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,83.0,101.0,7.5,14.0,0.15,0.36,"{'original': 7.5, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",30,2,28,10,18,82.53968253968253,75.0,0.0,57.14285714285714,,1.0,2.0,,,1.0,2.0,,,
14147342,away,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,38.0,33.0,2.0,1.0,0.0,10.0,10.0,23.0,28.0,2.0,1.0,8.0,1.0,18.0,6.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,90.0,72.0,6.8,8.0,1.59,0.03,"{'original': 6.8, 'alternative': None}",6.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,9,15,5,10,86.8421052631579,50.0,50.0,100.0,,1.0,,,1.0,1.0,2.0,3.0,,
14147342,away,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,False,9.0,6.0,2.0,1.0,0.0,3.0,4.0,3.0,5.0,1.0,0.0,2.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,,,,,,,74.0,16.0,6.6,9.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,66.66666666666666,50.0,0.0,100.0,,,,,1.0,1.0,,,,
14147342,away,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,F,4,False,41.0,32.0,2.0,0.0,0.0,8.0,9.0,24.0,31.0,1.0,0.0,1.0,1.0,8.0,11.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,,,,,,,90.0,66.0,7.6,17.0,0.77,0.0,"{'original': 7.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,10,7,78.04878048780488,0.0,0.0,83.33333333333334,,,1.0,,1.0,1.0,1.0,,,
14147342,away,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,True,13.0,11.0,2.0,1.0,0.0,5.0,6.0,6.0,7.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,30.0,19.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,84.61538461538461,50.0,,,,1.0,,,,1.0,,,,
14147342,away,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,M,30,True,5.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,16.0,5.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,80.0,,0.0,,,,,,,,,,,
14147342,away,241802,OFK Petrovac,1008672,Dragan Stoisavljević,dragan-stoisavljevic,F,19,True,7.0,6.0,1.0,1.0,0.0,,,6.0,7.0,0.0,0.0,0.0,1.0,9.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,16.0,23.0,6.6,4.0,0.03,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,4,9,85.71428571428571,100.0,,40.0,,1.0,,,2.0,,,,,
14147342,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,M,29,True,5.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,7.0,10.0,7.0,3.0,0.0,0.46,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,80.0,0.0,100.0,0.0,,1.0,2.0,,,,,,,1.0
14147342,away,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147342,away,829702,OFK Petrovac,886236,Alija Krnić,alija-krnic,M,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147342,away,241802,OFK Petrovac,1606688,Nikola Balević,nikola-balevic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147342,away,37956,OFK Petrovac,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147342,away,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,F,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
