match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,onTargetScoringAttempt,goals,outfielderBlock,shotValueNormalized,challengeLost,dispossessed,shotOffTarget,hitWoodwork,errorLeadToAShot,accurateCross,wasFouled,blockedScoringAttempt,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015607,home,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,home,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,797144,Đorđe Nikolić,dorde-nikolic,G,1,False,14.0,12.0,3.0,1.0,0.0,12.0,12.0,,2.0,12.0,,,1.0,90.0,28.0,6.5,2.0,5.3705203658491,1.0,5.3686118010133,0.0,0.1398,"{'original': 6.5, 'alternative': 6.6}",0,0.01,0.0,-0.04,-0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,85.71428571428571,33.33333333333333,,,100.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0
14015607,away,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,False,61.0,50.0,10.0,4.0,0.0,18.0,18.0,32.0,43.0,,,,,90.0,78.0,6.8,15.0,317.52542730341,35.0,212.49594829605,3.0,,"{'original': 6.8, 'alternative': 7.2}",0,0.06,0.23,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,81.9672131147541,40.0,,,,3.0,,1.0,2.0,3.0,,,4.0,2.0,2.0,2.0,,2.0,19.534084006601,64.133295473901,1.0,,,1.0,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,73.0,64.0,6.0,,0.0,36.0,37.0,28.0,36.0,6.0,,,,90.0,88.0,7.0,12.0,387.9431937502,41.0,307.96999794695,3.0,,"{'original': 7, 'alternative': 6.9}",0,0.26,0.23,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,87.67123287671232,,,,,,,3.0,1.0,5.0,,,7.0,,1.0,,,,23.763538977312,70.839534644103,,,,,,,1.0,,,,,1.0,,,,
14015607,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,64.0,57.0,7.0,5.0,0.0,35.0,37.0,22.0,27.0,2.0,,,,74.0,80.0,7.2,10.0,347.87632074663,36.0,156.90772173762,3.0,,"{'original': 7.2, 'alternative': 7}",0,0.27,0.14,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,9,1,0,1,89.0625,71.42857142857143,,,,,2.0,7.0,3.0,7.0,1.0,,9.0,2.0,,,2.0,,31.46618494605,95.66932801905,,,,,,,,,,,,,,,,
14015607,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,33.0,23.0,5.0,3.0,0.0,14.0,16.0,9.0,17.0,,,,,74.0,52.0,6.4,17.0,122.37178718048,11.0,55.111975979354,1.0,,"{'original': 6.4, 'alternative': 6.7}",0,-0.01,0.07,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,69.6969696969697,60.0,33.33333333333333,,,3.0,1.0,2.0,4.0,5.0,,,2.0,,2.0,1.0,,2.0,9.5640765900054,25.41039883591,1.0,,,,,1.0,,,,,1.0,1.0,,,,
14015607,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,57.0,49.0,4.0,3.0,0.0,23.0,26.0,26.0,31.0,10.0,,,,90.0,78.0,7.4,13.0,196.35014205034,26.0,20.793462865159,0.0,,"{'original': 7.4, 'alternative': 7.8}",1,0.03,0.09,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,11,9,6,3,85.96491228070175,75.0,,66.66666666666666,,2.0,3.0,8.0,6.0,14.0,3.0,2.0,2.0,2.0,4.0,3.0,,,,,2.0,,,,-0.07,,2.0,1.0,,,,,,,,
14015607,away,5148,FK Čukarički,1457404,Emmanuel Dzigbah,emmanuel-dzigbah,M,42,False,19.0,13.0,4.0,3.0,0.0,6.0,7.0,7.0,12.0,3.0,,,,54.0,31.0,6.2,9.0,30.095684282239,6.0,14.309279000383,0.0,,"{'original': 6.2, 'alternative': 6.5}",0,-0.07,0.06,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,68.42105263157895,75.0,,100.0,,,1.0,,7.0,4.0,1.0,1.0,,,3.0,1.0,1.0,3.0,,,,,,,,1.0,2.0,,,,,,,,,
14015607,away,5148,FK Čukarički,1005616,Lazar Mijović,lazar-mijovic,M,18,False,16.0,14.0,1.0,,0.0,8.0,8.0,6.0,8.0,3.0,,,,66.0,31.0,6.4,7.0,238.87947803901,22.0,17.994253321159,4.0,,"{'original': 6.4, 'alternative': 6.6}",3,-0.06,0.19,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,87.5,,,50.0,,1.0,,,5.0,4.0,4.0,2.0,,,,,,1.0,13.678532090762,61.907175852296,1.0,,,,-0.26,,2.0,2.0,,,,2.0,1.0,,,
