match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,shotOffTarget,bigChanceCreated,keyPass,dispossessed,blockedScoringAttempt,bigChanceMissed,hitWoodwork
15280981,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,20.0,18.0,9.0,7.0,0.0,11.0,11.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,90.0,22.0,7.8,2.0,0.0,0.0,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,90.0,77.77777777777779,,,,7.0,,,,,,,
15280981,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,9.0,5.0,1.0,1.0,0.0,1.0,1.0,8.0,3.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,46.0,23.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,55.55555555555556,100.0,33.33333333333333,,,4.0,,,,,1.0,,
15280981,away,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,35.0,23.0,16.0,7.0,0.0,15.0,20.0,15.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,44.0,6.3,15.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,65.71428571428571,43.75,,,,8.0,,,,,,,
15280981,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,49.0,44.0,6.0,4.0,0.0,29.0,31.0,18.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,63.0,6.9,9.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,89.79591836734694,66.66666666666666,,,,15.0,,,,,,,
15280981,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,42.0,26.0,7.0,5.0,0.0,5.0,9.0,33.0,10.0,3.0,5.0,1.0,9.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,57.0,7.1,16.0,0.0,0.55,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,3,4,61.904761904761905,71.42857142857143,30.0,100.0,,21.0,,,3.0,2.0,,,
15280981,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,M,16,False,21.0,11.0,2.0,1.0,0.0,2.0,4.0,17.0,4.0,1.0,2.0,3.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,76.0,37.0,6.9,15.0,0.24,0.01,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,2,9,52.38095238095239,50.0,25.0,,,9.0,2.0,,1.0,,1.0,,1.0
15280981,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,33.0,27.0,5.0,3.0,0.0,11.0,13.0,19.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,63.0,41.0,7.0,6.0,0.02,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,81.81818181818183,60.0,,100.0,,15.0,,,,,1.0,,
15280981,away,7581,FK Bokelj Kotor,1031066,Vitinho,vitinho,M,77,False,42.0,35.0,5.0,3.0,0.0,17.0,21.0,20.0,0.0,0.0,9.0,3.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,90.0,55.0,6.3,14.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,12,17,7,10,83.33333333333334,60.0,,,,17.0,,,,,,,
15280981,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,28.0,15.0,1.0,0.0,0.0,4.0,5.0,23.0,7.0,2.0,2.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,,,,,,,90.0,48.0,7.1,17.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,53.57142857142857,0.0,28.57142857142857,,,11.0,,,,,,,
15280981,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,False,12.0,6.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,,46.0,30.0,6.3,11.0,0.49,0.03,"{'original': 6.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,2,8,50.0,,,,,3.0,1.0,,1.0,1.0,,1.0,
