match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,aerialLost,blockedScoringAttempt,interceptionWon,bigChanceCreated,onTargetScoringAttempt,dispossessed,bigChanceMissed,goals,wasFouled,totalOffside,errorLeadToAGoal,goodHighClaim,clearanceOffLine,errorLeadToAShot
14015627,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,20.0,11.0,2.0,1.0,0.0,3.0,4.0,16.0,1.0,,,,,,74.0,31.0,7.7,11.0,50.339054443604,5.0,15.667359741677,1.0,,"{'original': 7.7, 'alternative': 7.9}",3,-0.14,-0.69,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,55.00000000000001,50.0,,,,8.0,,,3.0,2.0,7.0,,1.0,,,,4.0,4.0,1.0,1.0,19.477777303125,23.338646833096,1.0,0.29,,1.0,,,2.0,,,1.0,,1.0,,,,
14015627,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,16.0,15.0,,,0.0,11.0,11.0,5.0,,1.0,,,,,25.0,21.0,6.5,2.0,41.768682867926,7.0,1.2051144292047,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.06,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.75,,,,,4.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,
14015627,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,2.0,2.0,,,0.0,,,2.0,,,,,,,25.0,6.0,6.3,2.0,,,,,,"{'original': 6.3, 'alternative': 6.4}",0,-0.03,,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,2.0,,,,2.0,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,
14015627,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,5.0,3.0,,,0.0,2.0,2.0,3.0,,2.0,,,,,16.0,7.0,6.2,3.0,36.708585540302,4.0,-9.5241555106337,0.0,,"{'original': 6.2, 'alternative': 6.7}",1,-0.09,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,60.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,-0.53,1.0,,,,1.0,,,,,,,,,
14015627,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,True,17.0,15.0,3.0,2.0,0.0,5.0,6.0,11.0,,1.0,,,,,16.0,18.0,6.7,3.0,56.973473910558,7.0,-3.8428171474445,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.26,0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,88.23529411764706,66.66666666666666,,,,10.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,5.0,4.0,,,0.0,2.0,2.0,3.0,,2.0,,,,,10.0,8.0,7.5,2.0,28.241467880648,3.0,3.0183473467627,1.0,,"{'original': 7.5, 'alternative': 7.5}",1,-0.05,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,80.0,,,,,2.0,,,,,1.0,,,,,,1.0,1.0,1.0,,12.902092645584,13.934199689971,,0.33,,,,,1.0,,,1.0,,,,,,
14015627,home,5150,FK Vojvodina,1520997,Vando Félix,vando-felix,F,7,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,F,27,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,22.0,9.0,18.0,5.0,0.0,5.0,6.0,16.0,,8.0,4.0,4.0,1.0,1.0,90.0,33.0,6.2,14.0,19.773145914747,4.0,10.652297151166,0.0,0.7251,"{'original': 6.2, 'alternative': 6.5}",0,0.0,0.01,-0.32,0.55,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,40.909090909090914,27.77777777777778,,,100.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
14015627,away,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,22.0,17.0,6.0,2.0,0.0,8.0,10.0,12.0,4.0,4.0,,,,,57.0,49.0,6.6,10.0,36.950677454792,6.0,16.743401622582,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.07,0.01,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,7,2,77.27272727272727,33.33333333333333,,,,9.0,,,1.0,3.0,8.0,,1.0,,,,6.0,4.0,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,
14015627,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,46.0,34.0,16.0,8.0,0.0,25.0,29.0,17.0,8.0,3.0,,,,,90.0,63.0,6.4,13.0,125.49899918466,15.0,33.820545920196,1.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.05,0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,73.91304347826086,50.0,,,,9.0,,,,3.0,,,1.0,,,2.0,,,,,19.646809845778,26.181257131773,,,2.0,,2.0,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,22.0,19.0,5.0,3.0,0.0,17.0,18.0,4.0,6.0,1.0,,,,,90.0,34.0,6.1,6.0,25.547116026594,5.0,13.285072853769,0.0,,"{'original': 6.1, 'alternative': 6.2}",1,0.05,-0.04,-0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,86.36363636363636,60.0,,,,2.0,,,1.0,4.0,2.0,,1.0,,,,1.0,1.0,1.0,,,,,0.34,2.0,,,,1.0,1.0,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,13.0,10.0,1.0,,0.0,4.0,6.0,7.0,1.0,2.0,,,,,45.0,29.0,6.9,5.0,38.545804668185,5.0,14.733381555579,0.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.04,0.01,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,76.92307692307693,,,,,6.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,1.0,
14015627,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,28.0,23.0,2.0,1.0,0.0,15.0,18.0,10.0,2.0,4.0,,,,,90.0,38.0,6.3,8.0,61.008613651894,9.0,14.979219677895,0.0,,"{'original': 6.3, 'alternative': 6.2}",0,-0.04,0.07,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,82.14285714285714,50.0,,,,8.0,,,,4.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,
14015627,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,17.0,12.0,2.0,1.0,0.0,5.0,5.0,12.0,1.0,3.0,,,,,77.0,35.0,6.3,12.0,36.937493379118,7.0,16.208799202943,1.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.08,0.02,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,70.58823529411765,50.0,,,,7.0,1.0,,,4.0,1.0,,1.0,,,,,,4.0,,10.654081550254,10.923625771693,2.0,,2.0,,2.0,,,1.0,,,1.0,1.0,,,,
14015627,away,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,False,36.0,30.0,4.0,3.0,1.0,15.0,18.0,18.0,2.0,6.0,,,,,90.0,47.0,7.2,7.0,83.996247795547,14.0,18.377256577593,0.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.26,0.16,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,6,1,83.33333333333334,75.0,,100.0,,15.0,,,1.0,1.0,7.0,,2.0,2.0,,,1.0,,,,,,1.0,,,,1.0,,,1.0,,,3.0,,,,,1.0
14015627,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,38.0,29.0,3.0,,0.0,12.0,13.0,25.0,,3.0,,,,,90.0,59.0,6.1,23.0,151.08401757488,17.0,46.783666565709,1.0,,"{'original': 6.1, 'alternative': 6.2}",2,0.1,0.09,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,76.31578947368422,,16.666666666666664,,,17.0,6.0,1.0,,5.0,3.0,1.0,2.0,,,,,,3.0,,20.048169628895,24.907401630841,,0.16,,1.0,,,1.0,2.0,,,3.0,,,,,
14015627,away,7674,FK Napredak Kruševac,1982084,Vasil Tasovski,vasil-tasovski,M,91,False,15.0,9.0,,,0.0,3.0,7.0,8.0,2.0,3.0,,,,,72.0,33.0,6.5,13.0,50.115962008703,7.0,26.450202799831,1.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.13,0.08,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,6,2,60.0,,,80.0,,6.0,,,1.0,3.0,7.0,1.0,5.0,4.0,,,,,5.0,,10.514798826648,10.534729279863,1.0,,1.0,,1.0,,,,,,2.0,,,,,
14015627,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,17.0,16.0,,,0.0,7.0,7.0,10.0,1.0,1.0,,,,,72.0,32.0,6.4,7.0,19.567313585895,4.0,-12.498923962991,0.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.05,-0.17,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,94.11764705882352,,,,,9.0,,,1.0,6.0,3.0,,,,1.0,,1.0,1.0,5.0,1.0,,,,-0.52,4.0,,,,,1.0,,,1.0,1.0,,,,1.0
14015627,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,True,16.0,12.0,3.0,1.0,0.0,7.0,9.0,7.0,5.0,2.0,,,,,45.0,35.0,6.2,5.0,10.268092763508,1.0,-9.8086646047088,0.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.07,-0.02,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,75.0,33.33333333333333,,,,5.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,F,12,True,13.0,10.0,,,0.0,1.0,2.0,11.0,,2.0,,,,,33.0,20.0,6.7,5.0,11.030241384485,2.0,-0.53913721921091,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.01,-0.09,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,76.92307692307693,,,,,9.0,1.0,,2.0,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,
14015627,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,F,33,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,,18.0,6.0,7.4,2.0,5.51099845763,1.0,4.5608911286478,0.0,,"{'original': 7.4, 'alternative': 7.1}",1,-0.01,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,0.51,,,,,1.0,1.0,,1.0,,1.0,,,,
14015627,away,7674,FK Napredak Kruševac,1166063,Uroš Sremčević,uros-sremcevic,F,17,True,3.0,3.0,,,0.0,2.0,2.0,1.0,,,,,,,18.0,4.0,6.6,1.0,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,0.01,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,1387178,Strahinja Ristić,strahinja-ristic,D,6,True,5.0,3.0,,,0.0,1.0,2.0,3.0,,,,,,,13.0,10.0,6.4,2.0,14.776721274599,2.0,2.8064783737903,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.0,0.0,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,60.0,,,,,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015627,away,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,away,5149,FK Napredak Kruševac,1152937,Dragan Bojat,dragan-bojat,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015627,away,7674,FK Napredak Kruševac,2456101,Novak Stevanović,novak-stevanovic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
