match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,interceptionWon,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,aerialLost,dispossessed,bigChanceCreated,blockedScoringAttempt,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot
14015603,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,19.0,14.0,1.0,1.0,0.0,7.0,7.0,7.0,12.0,1.0,3.0,,,,,75.0,30.0,7.3,10.0,64.383539537334,10.0,6.8143782235559,1.0,,"{'original': 7.3, 'alternative': 7.3}",2,-0.22,0.27,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,73.68421052631578,100.0,,100.0,,1.0,,,6.0,2.0,2.0,1.0,1.0,,,1.0,1.0,5.1673721895073,6.7354833531084,,0.48,,,,3.0,3.0,,,1.0,,,1.0,1.0,,,
14015603,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,15.0,11.0,1.0,,0.0,5.0,5.0,6.0,10.0,,5.0,,,,,45.0,27.0,6.5,10.0,133.45300906,12.0,8.646646480883,1.0,,"{'original': 6.5, 'alternative': 6.8}",1,0.18,0.15,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,73.33333333333333,,,,,,,,7.0,2.0,,1.0,,1.0,1.0,1.0,1.0,18.052020402389,18.404108237021,,-0.22,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,,,,,,
14015603,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,10.0,9.0,1.0,1.0,0.0,8.0,8.0,1.0,2.0,,,,,,,28.0,16.0,7.1,2.0,6.63340033467,1.0,4.1387318804682,0.0,,"{'original': 7.1, 'alternative': 7}",0,0.35,0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,90.0,100.0,100.0,,,1.0,1.0,,1.0,3.0,,,,,,,,,,1.0,,,3.0,2.0,,,1.0,1.0,,,,,,,,
14015603,home,5152,FK Partizan,39733,Sebastian Polter,sebastian-polter,F,91,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,,,15.0,4.0,6.4,1.0,13.744513628361,2.0,3.3503058210292,0.0,,"{'original': 6.4, 'alternative': 6.2}",1,0.0,0.01,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,100.0,,,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,-0.5,,,,1.0,1.0,,,,,1.0,1.0,,,,
14015603,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,10.0,4.0,6.3,1.0,18.523139321352,3.0,8.6059003145179,0.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.01,0.03,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,-0.09,,,,1.0,,,,,,,1.0,,,,
14015603,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,1983654,Dušan Jovanović,dusan-jovanovic,F,79,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,37125,FK Partizan,2235877,Marko Lekić,marko-lekic,F,46,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015603,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,36.0,24.0,18.0,7.0,0.0,18.0,21.0,6.0,15.0,1.0,6.0,,2.0,4.0,,90.0,44.0,7.2,12.0,45.662617101262,8.0,20.544394864411,0.0,0.589,"{'original': 7.2, 'alternative': 7}",0,0.11,0.01,0.15,0.4,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,38.88888888888889,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
14015603,away,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,29.0,20.0,5.0,2.0,0.0,8.0,9.0,12.0,20.0,3.0,3.0,,,,,90.0,57.0,6.7,16.0,123.73096388486,15.0,25.228243842414,2.0,,"{'original': 6.7, 'alternative': 7}",2,-0.01,0.09,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,68.96551724137932,40.0,,100.0,,1.0,,,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,27.276619571166,47.217623694143,,-0.19,,2.0,2.0,2.0,,,,,,,,,,,
14015603,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,50.0,37.0,11.0,4.0,0.0,23.0,26.0,14.0,24.0,4.0,4.0,,,,,90.0,64.0,6.5,15.0,118.25726420557,17.0,68.967872130856,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.25,0.17,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,74.0,36.36363636363637,,50.0,,,,1.0,4.0,2.0,1.0,2.0,1.0,,3.0,,1.0,23.783838956739,23.784106037436,,,,,,,,1.0,,,,,,,,,1.0
14015603,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,39.0,35.0,2.0,1.0,0.0,30.0,32.0,5.0,7.0,6.0,3.0,,,,,89.0,51.0,7.0,4.0,43.578828819278,8.0,14.054949485748,0.0,,"{'original': 7, 'alternative': 6.9}",0,0.0,0.03,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,89.74358974358975,50.0,,,,,,3.0,2.0,4.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
14015603,away,5153,OFK Beograd,77678,Milan Rodić,milan-rodic,D,33,False,39.0,33.0,3.0,1.0,0.0,22.0,23.0,11.0,16.0,7.0,5.0,,,,,90.0,66.0,8.9,11.0,209.61269702956,19.0,100.32291693323,4.0,,"{'original': 8.9, 'alternative': 8.8}",2,0.0,0.26,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,84.61538461538461,33.33333333333333,,50.0,,2.0,,2.0,4.0,6.0,1.0,2.0,1.0,,2.0,1.0,2.0,22.574397289364,78.816972938727,,0.88,,2.0,2.0,1.0,,,,,,,2.0,2.0,,,
14015603,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,33.0,27.0,,,0.0,12.0,13.0,15.0,20.0,3.0,8.0,,,,,90.0,54.0,6.4,8.0,91.03269859812,12.0,29.523938831128,1.0,,"{'original': 6.4, 'alternative': 7.5}",1,-0.26,0.15,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,81.81818181818183,,,100.0,,1.0,,1.0,5.0,4.0,1.0,1.0,1.0,,2.0,,4.0,14.580793374223,18.900122327646,2.0,-0.07,1.0,2.0,1.0,,,,,,,,1.0,,,,
