match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialWon,bigChanceCreated,interceptionWon,totalContest,wonContest,blockedScoringAttempt,shotOffTarget,goals,dispossessed,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015497,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,False,31.0,27.0,3.0,2.0,0.0,12.0,13.0,15.0,18.0,2.0,4.0,,,,,90.0,59.0,6.4,9.0,,"{'original': 6.4, 'alternative': 7.1}",1,0.49,0.3,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,7,3,87.09677419354838,66.66666666666666,40.0,,,5.0,2.0,2.0,5.0,7.0,2.0,1.0,,,5.0,4.0,2.0,2.0,1.0,4.0,-0.58,,,1.0,,,,1.0,,,,,
14015497,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,42.0,37.0,2.0,1.0,0.0,24.0,27.0,13.0,15.0,4.0,6.0,,,,,90.0,53.0,6.2,6.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.12,0.12,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,88.09523809523809,50.0,,100.0,,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,
14015497,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,31.0,25.0,2.0,1.0,0.0,19.0,20.0,6.0,11.0,7.0,4.0,,,,,90.0,48.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.04,0.09,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,80.64516129032258,50.0,,,,,,,1.0,4.0,1.0,,,1.0,1.0,1.0,,1.0,,,,2.0,,3.0,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,False,42.0,37.0,8.0,4.0,0.0,17.0,18.0,20.0,24.0,3.0,3.0,,,,,90.0,49.0,6.1,6.0,,"{'original': 6.1, 'alternative': 6.2}",0,0.27,0.07,-0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,88.09523809523809,50.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,36.0,25.0,7.0,2.0,0.0,7.0,11.0,18.0,25.0,,4.0,,,,,68.0,55.0,6.5,18.0,,"{'original': 6.5, 'alternative': 6.4}",1,0.37,0.08,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,69.44444444444444,28.57142857142857,50.0,100.0,,4.0,2.0,,1.0,2.0,,,,,1.0,1.0,2.0,,1.0,1.0,-0.21,,,,1.0,1.0,1.0,,,,,,
14015497,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,25.0,13.0,4.0,1.0,0.0,6.0,13.0,7.0,12.0,,6.0,,,,,87.0,43.0,6.3,16.0,,"{'original': 6.3, 'alternative': 6.8}",1,0.03,-0.37,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,52.0,25.0,50.0,,,2.0,1.0,1.0,3.0,5.0,1.0,,,2.0,4.0,3.0,2.0,1.0,,,-0.07,,,2.0,,,,1.0,,1.0,,,
14015497,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,33.0,26.0,4.0,2.0,0.0,14.0,17.0,12.0,16.0,,2.0,,,,,90.0,41.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.09,0.1,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,78.78787878787878,50.0,,,,,,,4.0,3.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
14015497,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,24.0,19.0,,,0.0,8.0,9.0,11.0,15.0,1.0,2.0,,,,,68.0,37.0,7.1,8.0,,"{'original': 7.1, 'alternative': 7}",4,0.16,0.36,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,79.16666666666666,,100.0,50.0,,1.0,1.0,1.0,3.0,4.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,-0.01,1.0,1.0,,2.0,1.0,3.0,,,,,,
14015497,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,19.0,12.0,3.0,1.0,0.0,3.0,3.0,9.0,16.0,1.0,5.0,,,,,67.0,31.0,6.2,14.0,,"{'original': 6.2, 'alternative': 6.4}",0,-0.31,0.13,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,63.1578947368421,33.33333333333333,,,,,,2.0,7.0,4.0,1.0,,,,1.0,1.0,3.0,1.0,,1.0,,2.0,,,2.0,,,,,2.0,,,
14015497,away,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,F,25,False,11.0,9.0,,,0.0,4.0,4.0,5.0,7.0,,2.0,,,,,67.0,25.0,6.2,11.0,,"{'original': 6.2, 'alternative': 6.2}",0,0.02,-0.53,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,81.81818181818183,,20.0,,,5.0,1.0,,5.0,2.0,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,2.0,,,,,2.0,,,
