match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAShot,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,outfielderBlock,accurateCross,challengeLost,keyPass,penaltyConceded,onTargetScoringAttempt,shotValueNormalized,shotOffTarget,totalOffside,goals,goodHighClaim,blockedScoringAttempt,bigChanceCreated,bigChanceMissed,hitWoodwork,penaltyWon,penaltyMiss
14015545,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,False,8.0,6.0,,,0.0,3.0,4.0,3.0,4.0,8.0,,,,,,,,,,78.0,28.0,6.7,9.0,74.391248662209,9.0,0.63000000000003,12.39,,"{'original': 6.7, 'alternative': 6.6}",1,0.02,0.11,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,11,6,1,5,75.0,,,,,,7.0,4.0,12.0,5.0,1.0,1.0,,,,,5.0,1.0,1.0,,,3.0,,,,-0.01,1.0,1.0,,,,,,,,
14015545,home,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,True,13.0,11.0,2.0,,0.0,7.0,7.0,4.0,6.0,1.0,2.0,,,,,,,,,30.0,18.0,6.8,2.0,33.198205308632,5.0,14.175,11.865,,"{'original': 6.8, 'alternative': 6.6}",0,0.0,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,84.61538461538461,,,,,,,1.0,,4.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
14015545,home,37053,FK Radnički Niš,1429076,Lacine Kone,lacine-kone,F,9,True,7.0,4.0,,,0.0,,1.0,4.0,6.0,,,,,,,,,,,12.0,10.0,6.6,4.0,17.984716833033,3.0,6.195,5.985,,"{'original': 6.6, 'alternative': 6.7}",0,-0.08,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,57.14285714285714,,,,,,,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015545,home,409200,FK Radnički Niš,307458,Petar Petrović,petar-petrovic,M,27,True,1.0,1.0,,,0.0,1.0,1.0,,0.0,1.0,,,,,,,,,,11.0,6.0,6.5,3.0,,,,,,"{'original': 6.5, 'alternative': 6.4}",0,0.03,,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,1.0,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015545,home,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,home,6216,FK Radnički Niš,979046,Nemanja Belaković,nemanja-belakovic,F,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,away,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,23.0,10.0,19.0,6.0,0.0,5.0,6.0,5.0,17.0,,8.0,,1.0,,,2.0,,,,90.0,30.0,6.5,13.0,15.524554729051,4.0,-4.305,1.26,0.009,"{'original': 6.5, 'alternative': 6.4}",0,0.17,0.0,-0.09,0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,43.47826086956522,31.57894736842105,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
14015545,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,36.0,28.0,8.0,5.0,0.0,15.0,16.0,13.0,20.0,2.0,6.0,,,,,,,,,90.0,56.0,6.9,14.0,50.587970997244,7.0,-29.82,3.36,,"{'original': 6.9, 'alternative': 7}",2,0.24,0.08,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,77.77777777777779,62.5,,100.0,,,,1.0,2.0,6.0,,2.0,2.0,,2.0,1.0,2.0,1.0,2.0,,,,,,,-0.31,1.0,,,,1.0,,,,,
14015545,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,41.0,33.0,9.0,6.0,0.0,23.0,24.0,10.0,17.0,7.0,3.0,,,,,,,,,90.0,50.0,7.2,8.0,97.488057049855,11.0,-43.155,9.765,,"{'original': 7.2, 'alternative': 6.9}",0,0.25,0.04,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,10,1,1,0,80.48780487804879,66.66666666666666,,,,,4.0,6.0,4.0,7.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015545,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,47.0,43.0,10.0,6.0,0.0,33.0,35.0,10.0,12.0,7.0,1.0,,,,,,,,,90.0,60.0,6.7,6.0,128.63343798473,18.0,-72.135,6.3,,"{'original': 6.7, 'alternative': 7}",1,0.29,0.04,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,91.48936170212765,60.0,,,,,2.0,4.0,4.0,5.0,,,,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,-0.14,1.0,,,,,,,,,
14015545,away,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,D,6,False,22.0,15.0,2.0,,0.0,10.0,12.0,5.0,10.0,1.0,4.0,,,,,,,,,59.0,38.0,6.1,11.0,69.099193713861,9.0,-27.615,6.615,,"{'original': 6.1, 'alternative': 6.7}",2,-0.19,0.23,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,68.18181818181817,,,50.0,,,,,2.0,2.0,,2.0,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,,,-0.07,1.0,,,,1.0,,,,,
14015545,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,50.0,37.0,13.0,8.0,0.0,18.0,20.0,19.0,30.0,2.0,8.0,,,,,,,,,90.0,71.0,7.2,18.0,196.5516826257,20.0,-74.865,6.615,,"{'original': 7.2, 'alternative': 7.6}",2,0.17,0.26,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,8,5,74.0,61.53846153846154,,,,1.0,1.0,,6.0,8.0,1.0,1.0,,1.0,7.0,6.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,-0.13,1.0,,,,,,,,,
14015545,away,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,44.0,34.0,7.0,5.0,0.0,18.0,22.0,16.0,22.0,2.0,4.0,,,,,,,,,90.0,63.0,7.1,18.0,142.1042523958,15.0,-63.105,5.565,,"{'original': 7.1, 'alternative': 7.2}",2,0.27,0.21,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,3,2,77.27272727272727,71.42857142857143,33.33333333333333,,,9.0,2.0,5.0,4.0,8.0,,,,,2.0,1.0,2.0,1.0,1.0,,3.0,1.0,3.0,,,-0.04,1.0,,,,1.0,1.0,,,,
