match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,duelWon,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,totalCross,accurateCross,aerialLost,aerialWon,challengeLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,shotValueNormalized,unsuccessfulTouch,shotOffTarget,totalContest,wonContest,goals,totalOffside,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,bigChanceCreated,clearanceOffLine
14015495,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,home,4499,FK Novi Pazar,1639816,Yakup Arda Kılıç,yakup-arda-kilic,F,27,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,23.0,6.0,19.0,2.0,0.0,5.0,6.0,1.0,17.0,7.0,5.0,8.0,90.0,35.0,6.8,17.0,0.4348,"{'original': 6.8, 'alternative': 7.4}",0,0.08,-0.01,0.15,0.38,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,26.08695652173913,10.526315789473683,,,100.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,
14015495,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,12.0,9.0,2.0,1.0,0.0,4.0,5.0,5.0,7.0,4.0,,,69.0,39.0,7.5,11.0,,"{'original': 7.5, 'alternative': 7.1}",0,0.26,0.28,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,6,2,75.0,50.0,100.0,100.0,,2.0,8.0,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,,2.0,,2.0,,,2.0,,2.0,,1.0,1.0,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,36.0,27.0,18.0,12.0,0.0,16.0,19.0,11.0,17.0,5.0,,,90.0,47.0,7.7,10.0,,"{'original': 7.7, 'alternative': 7.2}",0,0.38,0.08,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,1,0,75.0,66.66666666666666,,,,2.0,4.0,,,,1.0,,,,,2.0,3.0,,,,,6.0,,1.0,,,,,,,,,2.0,,
14015495,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,30.0,21.0,10.0,6.0,0.0,14.0,16.0,7.0,14.0,3.0,,,90.0,53.0,7.5,11.0,,"{'original': 7.5, 'alternative': 7.5}",0,-0.01,0.09,0.64,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,70.0,60.0,,,,3.0,5.0,1.0,3.0,1.0,,1.0,,,,2.0,2.0,,,,,12.0,,2.0,,,,,,,,,2.0,,
14015495,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,14.0,11.0,3.0,1.0,1.0,4.0,5.0,7.0,9.0,2.0,,,90.0,42.0,7.0,11.0,,"{'original': 7, 'alternative': 7.4}",0,0.66,0.11,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,78.57142857142857,33.33333333333333,66.66666666666666,,,4.0,4.0,,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,,1.0,,,3.0,,2.0,,,,,,,,,1.0,2.0,1.0
14015495,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,31.0,24.0,9.0,6.0,0.0,18.0,20.0,6.0,11.0,8.0,,,90.0,47.0,7.1,9.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.17,0.11,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,77.41935483870968,66.66666666666666,50.0,100.0,,2.0,4.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,,,,,8.0,-0.35,1.0,1.0,1.0,1.0,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,13.0,9.0,3.0,2.0,1.0,6.0,8.0,3.0,5.0,3.0,,,87.0,22.0,6.6,7.0,,"{'original': 6.6, 'alternative': 7}",0,0.23,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,69.23076923076923,66.66666666666666,,,,4.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,
14015495,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,34.0,23.0,4.0,2.0,0.0,9.0,15.0,14.0,19.0,4.0,,,90.0,50.0,8.0,13.0,,"{'original': 8, 'alternative': 7.8}",1,0.26,-0.25,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,67.64705882352942,50.0,100.0,50.0,,2.0,6.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,,3.0,,,1.0,,1.0,0.51,,,2.0,1.0,1.0,,,,,1.0,,
14015495,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,21.0,17.0,3.0,1.0,0.0,7.0,7.0,10.0,14.0,4.0,,,78.0,29.0,6.9,6.0,,"{'original': 6.9, 'alternative': 6.7}",1,0.28,-0.11,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,80.95238095238095,33.33333333333333,,,,3.0,3.0,,3.0,1.0,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,-0.36,,,,,,,1.0,,,,,
14015495,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,10.0,8.0,2.0,,0.0,2.0,3.0,6.0,7.0,4.0,,,90.0,31.0,6.4,11.0,,"{'original': 6.4, 'alternative': 7.2}",3,0.18,0.31,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,7,12,4,8,80.0,,,,,12.0,7.0,,1.0,,3.0,4.0,1.0,1.0,,4.0,3.0,1.0,2.0,2.0,,2.0,-0.51,5.0,1.0,1.0,,,1.0,,,,,1.0,
14015495,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,11.0,8.0,,,0.0,3.0,3.0,5.0,8.0,1.0,,,87.0,28.0,7.4,10.0,,"{'original': 7.4, 'alternative': 7.4}",4,-0.31,0.45,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,9,7,4,3,72.72727272727273,,100.0,100.0,,8.0,8.0,,1.0,1.0,2.0,1.0,,1.0,1.0,5.0,4.0,,2.0,2.0,,1.0,0.38,5.0,2.0,1.0,1.0,1.0,,1.0,,,,,
