match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,clearanceOffLine
14147386,away,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,42.0,28.0,8.0,4.0,0.0,4.0,8.0,23.0,33.0,3.0,1.0,1.0,1.0,11.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,,,,,,,90.0,58.0,6.5,17.0,0.04,0.01,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,5,10,66.66666666666666,50.0,33.33333333333333,50.0,,2.0,1.0,1.0,1.0,,
14147386,away,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,False,15.0,7.0,4.0,2.0,0.0,4.0,9.0,3.0,6.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,64.0,23.0,6.5,11.0,0.13,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,46.666666666666664,50.0,,100.0,,,,,,,
14147386,away,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,F,11,False,17.0,11.0,0.0,0.0,0.0,6.0,6.0,5.0,11.0,1.0,0.0,2.0,2.0,11.0,12.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,,,,,,,90.0,45.0,7.0,20.0,0.21,0.27,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,4,19,10,9,64.70588235294117,,0.0,100.0,,,1.0,,,5.0,
14147386,away,37153,FK Budućnost Podgorica,1005600,Petar Vuković,petar-vukovic,D,36,True,21.0,18.0,3.0,1.0,0.0,12.0,13.0,6.0,8.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,45.0,25.0,7.6,6.0,0.0,0.1,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,85.71428571428571,33.33333333333333,100.0,,,,2.0,,,,1.0
14147386,away,287219,FK Budućnost Podgorica,2081027,Petar Vujović,petar-vujovic,M,26,True,9.0,6.0,0.0,0.0,0.0,,,6.0,9.0,3.0,0.0,0.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,45.0,19.0,6.7,3.0,0.0,0.13,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,66.66666666666666,,0.0,0.0,,1.0,1.0,,,1.0,
14147386,away,241802,FK Budućnost Podgorica,1871041,Matija Jovanovic,matija-jovanovic,M,99,True,10.0,10.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,2.0,7.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,,,,,,,45.0,23.0,6.6,6.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,100.0,,,33.33333333333333,,,,,,,
14147386,away,5143,FK Budućnost Podgorica,1423503,Andrej Camaj,camaj-andrej,M,24,True,7.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,26.0,13.0,6.6,7.0,0.09,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,42.857142857142854,,0.0,,,,,,,,
14147386,away,5143,FK Budućnost Podgorica,1005619,Filip Domazetović,filip-domazetovic,G,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147386,away,241802,FK Budućnost Podgorica,858601,Marin Galić,marin-galic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147386,away,287219,FK Budućnost Podgorica,2169941,Novak Fatić,novak-fatic,D,54,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147386,away,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147386,away,2414,FK Budućnost Podgorica,976992,Luka Štor,luka-stor,F,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
