match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,bigChanceCreated,interceptionWon,keyPass,shotOffTarget,penaltyWon,dispossessed,bigChanceMissed,blockedScoringAttempt,savedShotsFromInsideTheBox,penaltyConceded
14147357,away,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,False,23.0,15.0,12.0,4.0,0.0,11.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,90.0,26.0,7.6,11.0,0.0,0.0,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,65.21739130434783,33.33333333333333,,,0.0,3.0,,1.0,,,,,,,2.0,
14147357,away,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,17.0,7.0,7.0,3.0,0.0,4.0,7.0,8.0,0.0,0.0,1.0,1.0,11.0,3.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,22.0,6.9,9.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,2,10,41.17647058823529,42.857142857142854,,100.0,,1.0,,4.0,,,,,,,,
14147357,away,36019,FK Mornar Bar,189001,Jovan Baošić,jovan-baosic,D,15,False,14.0,7.0,6.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,38.0,20.0,5.6,10.0,0.0,0.0,"{'original': 5.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,6,1,0,1,50.0,0.0,,,,,,1.0,,,,,,,,
14147357,away,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,30.0,23.0,11.0,4.0,0.0,18.0,19.0,10.0,0.0,0.0,0.0,2.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,49.0,6.8,13.0,0.13,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,3,9,76.66666666666667,36.36363636363637,,,,5.0,,3.0,,1.0,,1.0,,,,
14147357,away,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,D,11,False,30.0,18.0,6.0,1.0,0.0,8.0,11.0,17.0,1.0,0.0,1.0,2.0,16.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,82.0,53.0,7.0,23.0,0.01,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,3,24,9,15,60.0,16.666666666666664,0.0,,,9.0,,2.0,,,,,,1.0,,
14147357,away,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,False,8.0,6.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,45.0,17.0,6.1,5.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,3,8,75.0,0.0,,0.0,,5.0,,,,,,2.0,,,,
14147357,away,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,False,17.0,14.0,0.0,0.0,1.0,7.0,8.0,9.0,0.0,0.0,4.0,1.0,9.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,82.0,28.0,8.2,4.0,0.48,0.0,"{'original': 8.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,82.35294117647058,,,100.0,,7.0,,1.0,1.0,,,,,,,
14147357,away,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,27.0,20.0,2.0,1.0,0.0,10.0,12.0,12.0,1.0,0.0,1.0,1.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,39.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,4,9,74.07407407407408,50.0,0.0,,,9.0,,,,,,,,,,
14147357,away,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,31.0,23.0,4.0,2.0,0.0,9.0,10.0,20.0,2.0,1.0,1.0,0.0,17.0,9.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,,,,,,90.0,50.0,7.4,11.0,0.03,0.15,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,1,25,9,16,74.19354838709677,50.0,50.0,100.0,,13.0,,3.0,1.0,,,,,1.0,,
14147357,away,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,26.0,15.0,0.0,0.0,0.0,6.0,7.0,19.0,2.0,1.0,0.0,0.0,9.0,4.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,64.0,41.0,7.4,14.0,0.07,0.13,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,4,9,57.692307692307686,,50.0,66.66666666666666,,9.0,,,1.0,,,1.0,,,,
14147357,away,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,21.0,16.0,0.0,0.0,2.0,6.0,7.0,14.0,2.0,1.0,4.0,1.0,14.0,4.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,,,,,,82.0,38.0,8.6,13.0,0.69,0.55,"{'original': 8.6, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,3,10,76.19047619047619,,50.0,100.0,,10.0,1.0,,2.0,1.0,,2.0,,1.0,,
14147357,away,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,True,10.0,6.0,3.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,45.0,18.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,60.0,0.0,,100.0,,2.0,,,,,,,,,,1.0
14147357,away,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,True,8.0,6.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,26.0,14.0,6.1,8.0,0.0,0.01,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,75.0,,,,,4.0,,,1.0,,,,,,,
