match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotOffTarget,interceptionWon,shotValueNormalized,challengeLost,dispossessed,totalContest,wonContest,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,goodHighClaim,punches,bigChanceCreated,errorLeadToAGoal,goals
14015520,home,25737,FK Radnički Niš,1153961,Mateja Radonjić,mateja-radonjic,M,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,home,409200,FK Radnički Niš,307458,Petar Petrović,petar-petrovic,M,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,17.0,4.0,15.0,3.0,0.0,2.0,5.0,2.0,12.0,5.0,10.0,3.0,5.0,4.0,4.0,90.0,33.0,8.4,13.0,0.6406,"{'original': 8.4, 'alternative': 8}",0,0.08,,0.34,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,23.52941176470588,20.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
14015520,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,30.0,26.0,4.0,2.0,0.0,13.0,15.0,13.0,15.0,7.0,5.0,,,,,90.0,66.0,7.0,15.0,,"{'original': 7, 'alternative': 7}",0,0.11,0.01,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,7,2,0,2,86.66666666666667,50.0,,,,2.0,,2.0,5.0,4.0,5.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,
14015520,away,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,44.0,35.0,12.0,5.0,0.0,24.0,28.0,11.0,16.0,10.0,2.0,,,,,90.0,64.0,7.0,10.0,,"{'original': 7, 'alternative': 7}",1,0.25,0.04,0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,3,3,79.54545454545455,41.66666666666667,,,,,,3.0,3.0,6.0,6.0,,1.0,1.0,,2.0,2.0,,1.0,-0.11,,1.0,,,,,1.0,,,,,,
14015520,away,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,D,6,False,10.0,9.0,4.0,3.0,0.0,7.0,7.0,2.0,3.0,5.0,1.0,,,,,45.0,18.0,6.9,1.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.1,0.0,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,90.0,75.0,,,,,,,,3.0,2.0,,1.0,1.0,,1.0,,,,,3.0,,,,,,,,,,,,
14015520,away,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,26.0,18.0,6.0,2.0,1.0,13.0,15.0,5.0,11.0,2.0,2.0,,,,,90.0,49.0,7.4,17.0,,"{'original': 7.4, 'alternative': 7.1}",0,0.61,-0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,69.23076923076923,33.33333333333333,100.0,50.0,,1.0,1.0,,,2.0,2.0,,,,4.0,1.0,,,,,1.0,,2.0,1.0,1.0,,,,,,1.0,,
14015520,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,False,46.0,26.0,9.0,1.0,0.0,11.0,15.0,15.0,31.0,3.0,12.0,,,,,90.0,73.0,6.8,27.0,,"{'original': 6.8, 'alternative': 7}",0,-0.02,0.23,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,9,6,56.52173913043478,11.11111111111111,,75.0,,1.0,,1.0,1.0,7.0,10.0,1.0,3.0,2.0,4.0,3.0,3.0,,1.0,,1.0,1.0,4.0,3.0,,,,,,,,,
14015520,away,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,38.0,26.0,5.0,,0.0,15.0,18.0,11.0,20.0,1.0,5.0,,,,,90.0,48.0,7.0,15.0,,"{'original': 7, 'alternative': 6.9}",1,0.18,0.1,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,68.42105263157895,,,,,,,1.0,3.0,3.0,6.0,,2.0,2.0,2.0,1.0,1.0,,1.0,0.01,,,1.0,,1.0,1.0,,,,,,,
14015520,away,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,23.0,18.0,,,0.0,7.0,7.0,11.0,16.0,,2.0,,,,,90.0,45.0,6.8,17.0,,"{'original': 6.8, 'alternative': 6.8}",0,-0.04,-0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,78.26086956521739,,20.0,,,5.0,1.0,1.0,1.0,4.0,5.0,,3.0,1.0,5.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
