match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,aerialLost,outfielderBlock,errorLeadToAShot,bigChanceCreated,totalTackle,wonTackle,keyPass,bigChanceMissed,onTargetScoringAttempt,lastManTackle,dispossessed,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized
14015585,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,21.0,10.0,18.0,7.0,0.0,7.0,10.0,3.0,11.0,1.0,8.0,1.0,,1.0,1.0,90.0,29.0,7.5,12.0,12.697628622467,2.0,8.4404094749777,0.0,"{'original': 7.5, 'alternative': 7.3}",0,0.02,0.0,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,47.61904761904761,38.88888888888889,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.4001,0.36
14015585,away,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,17.0,10.0,3.0,2.0,0.0,5.0,6.0,5.0,11.0,2.0,7.0,,,,,90.0,34.0,7.1,11.0,64.10322792319,8.0,31.541006727462,1.0,"{'original': 7.1, 'alternative': 7}",0,0.13,0.07,0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,8,4,58.82352941176471,66.66666666666666,50.0,,,2.0,1.0,,6.0,8.0,1.0,1.0,,,,,4.0,2.0,16.46212586665,26.148537243984,,2.0,,,,4.0,3.0,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,22.0,14.0,10.0,3.0,0.0,9.0,12.0,5.0,10.0,7.0,3.0,,,,,90.0,38.0,6.7,8.0,66.049320666765,7.0,43.693170133027,0.0,"{'original': 6.7, 'alternative': 7.2}",0,0.11,0.05,0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,63.63636363636363,30.0,,,,,,1.0,6.0,2.0,,,,,4.0,,,2.0,,,,4.0,2.0,,,1.0,1.0,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,28.0,19.0,9.0,2.0,0.0,14.0,17.0,5.0,11.0,9.0,3.0,,,,,89.0,49.0,7.2,11.0,64.202080442246,11.0,30.944007932743,0.0,"{'original': 7.2, 'alternative': 7.3}",0,-0.07,0.03,-0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,67.85714285714286,22.22222222222222,,100.0,,,,2.0,2.0,7.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,3.0,2.0,,,,,1.0,,,,,,
14015585,away,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,False,22.0,12.0,3.0,,0.0,7.0,12.0,5.0,10.0,1.0,6.0,,,,,90.0,57.0,7.3,20.0,98.137996057306,11.0,29.931360191032,0.0,"{'original': 7.3, 'alternative': 7.4}",0,-0.03,0.03,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,9,5,54.54545454545454,,,100.0,,2.0,,1.0,5.0,10.0,2.0,3.0,3.0,,2.0,2.0,1.0,1.0,,,,,,,,5.0,4.0,,,,,2.0,,,,,,
14015585,away,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,M,47,False,9.0,6.0,1.0,,0.0,3.0,5.0,3.0,4.0,,3.0,,,,,76.0,20.0,6.7,7.0,104.461636141,8.0,56.058470586351,2.0,"{'original': 6.7, 'alternative': 6.6}",1,0.15,0.17,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,66.66666666666666,,,50.0,,1.0,,,4.0,4.0,,2.0,1.0,,,2.0,1.0,2.0,21.598032501315,51.196678595636,-0.03,1.0,,,,2.0,1.0,1.0,,,,,1.0,,,,,
14015585,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,24.0,15.0,6.0,,0.0,10.0,11.0,5.0,13.0,,4.0,,,,,90.0,32.0,6.7,10.0,17.335698912873,4.0,-1.9333310060907,0.0,"{'original': 6.7, 'alternative': 6.7}",0,0.13,0.01,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,62.5,,,,,,,,1.0,2.0,,,,,1.0,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,False,22.0,12.0,5.0,1.0,0.0,5.0,7.0,7.0,15.0,3.0,3.0,,,,,76.0,32.0,6.5,11.0,82.544209360865,10.0,-1.2491547750017,0.0,"{'original': 6.5, 'alternative': 6.6}",2,0.08,0.04,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,54.54545454545454,20.0,,,,,,2.0,5.0,4.0,2.0,,,2.0,1.0,1.0,,3.0,,,-0.16,,,,,2.0,1.0,1.0,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1801667,Lazar Stojanović,lazar-stojanovic,M,20,False,8.0,6.0,1.0,,0.0,3.0,4.0,3.0,4.0,,2.0,,,,,63.0,17.0,6.0,6.0,43.073742237962,6.0,-10.261141927379,0.0,"{'original': 6, 'alternative': 6.3}",1,-0.11,0.05,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,75.0,,,,,,,,7.0,1.0,2.0,,,,,4.0,1.0,3.0,,,-0.03,2.0,,,,,,1.0,,,,,1.0,,,,,
14015585,away,111127,FK Radnik Surdulica,1046939,Ayouba Kosiah,ayouba-kosiah,F,92,False,10.0,6.0,,,0.0,2.0,2.0,4.0,8.0,2.0,2.0,,,,,64.0,26.0,6.5,10.0,33.731790679505,5.0,1.0511491820608,1.0,"{'original': 6.5, 'alternative': 6.8}",2,-0.16,0.26,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,60.0,,,100.0,,,,3.0,4.0,5.0,,1.0,1.0,1.0,,6.0,1.0,2.0,10.421995251773,13.565443745046,-0.44,2.0,,,,,,,,,,,1.0,,,,,
14015585,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,22.0,16.0,,,0.0,6.0,6.0,10.0,16.0,1.0,3.0,,,,,90.0,37.0,6.2,14.0,126.40011827769,10.0,79.218619218857,3.0,"{'original': 6.2, 'alternative': 6.2}",3,0.0,0.51,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,1,6,72.72727272727273,,,,,,,2.0,9.0,3.0,,2.0,,2.0,,4.0,,2.0,36.44706508133,89.216844427658,-0.58,3.0,,,,1.0,,1.0,1.0,,,2.0,1.0,,,,,
14015585,away,111127,FK Radnik Surdulica,931313,Christ Kouadio,christ-kouadio,D,33,True,2.0,2.0,,,0.0,,,2.0,2.0,1.0,1.0,,,,,27.0,11.0,6.6,2.0,27.394772055996,1.0,26.798268936138,1.0,"{'original': 6.6, 'alternative': 6.6}",1,0.16,0.14,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,100.0,,100.0,100.0,,1.0,1.0,,8.0,2.0,,2.0,2.0,,,2.0,,5.0,26.798268936138,27.394772055996,0.01,3.0,,,,,,1.0,,,,,1.0,,,,,
14015585,away,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,6.0,4.0,,,0.0,,,4.0,6.0,1.0,1.0,,,,,26.0,13.0,6.4,5.0,74.674263748633,6.0,20.143878929922,1.0,"{'original': 6.4, 'alternative': 6.8}",1,-0.17,0.14,-0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,66.66666666666666,,,,,,,2.0,4.0,3.0,1.0,,,1.0,,2.0,1.0,2.0,27.805854921593,27.852335647123,-0.28,1.0,,,,,,1.0,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,2456275,Andrija Milićević,andrija-milicevic,F,44,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,14.0,2.0,6.5,1.0,,,,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,True,4.0,2.0,1.0,,0.0,,,2.0,4.0,2.0,2.0,,,,,14.0,10.0,6.4,2.0,40.8012990782,3.0,16.937859396329,1.0,"{'original': 6.4, 'alternative': 6.5}",1,0.07,0.04,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,50.0,,100.0,,,2.0,2.0,,3.0,,,,,1.0,,,,1.0,19.3910711152,29.814836642182,0.0,2.0,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1111989,Luka Zorić,luka-zoric,D,3,True,1.0,,1.0,,0.0,,,,1.0,,,,,,,1.0,1.0,,1.0,6.5649067777083,1.0,2.7286846724379,0.0,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015585,away,111127,FK Radnik Surdulica,1047505,Filip Samurović,filip-samurovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
