match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelWon,bigChanceMissed,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,interceptionWon,dispossessed,outfielderBlock,goals,errorLeadToAShot,blockedScoringAttempt,totalOffside,errorLeadToAGoal,hitWoodwork
14015440,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,10.0,8.0,,,0.0,3.0,3.0,5.0,7.0,8.0,,3.0,1.0,,,,,,62.0,22.0,8.1,5.0,,"{'original': 8.1, 'alternative': 7.4}",2,0.46,0.31,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,80.0,,,,,,,5.0,1.0,3.0,,1.0,1.0,1.0,,1.0,,1.0,0.46,,,,1.0,,3.0,,1.0,,,,,
14015440,home,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,21.0,14.0,1.0,1.0,1.0,4.0,5.0,10.0,16.0,3.0,,1.0,2.0,,,,,,45.0,34.0,6.5,14.0,,"{'original': 6.5, 'alternative': 7.2}",3,0.09,0.33,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,66.66666666666666,100.0,,,,,,,2.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,-0.26,,,,,,3.0,,,1.0,,,,
14015440,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,True,33.0,27.0,6.0,2.0,0.0,12.0,13.0,15.0,20.0,1.0,,2.0,8.0,,,,,,45.0,39.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.7}",1,0.22,0.13,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,81.81818181818183,33.33333333333333,,,,,,,,,,,,,,,,,-0.01,,,,1.0,1.0,1.0,,,,,,,
14015440,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,9.0,8.0,,,0.0,3.0,3.0,5.0,6.0,3.0,1.0,,1.0,,,,,,28.0,16.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.0,-0.18,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,88.88888888888889,,,50.0,,3.0,,,,2.0,,,,,,,,,,4.0,2.0,,,,,,,,,,,
14015440,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,8.0,5.0,,,0.0,,,5.0,8.0,3.0,,,1.0,,,,,,28.0,14.0,6.4,3.0,,"{'original': 6.4, 'alternative': 7.1}",5,-0.06,0.03,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,62.5,,,,,,,,2.0,2.0,1.0,4.0,,,,,3.0,1.0,-0.54,,,,,,,,,,1.0,1.0,,
14015440,home,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,10.0,10.0,1.0,1.0,0.0,4.0,4.0,6.0,6.0,2.0,,,2.0,,,,,,13.0,15.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.8}",0,0.01,-0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,100.0,100.0,25.0,,,4.0,1.0,,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,1967206,Jovan Vojnović,jovan-vojnovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,home,362051,FK Čukarički,1165845,Ognjen Abramušić,ognjen-abramusic,M,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,35.0,23.0,19.0,7.0,0.0,20.0,22.0,3.0,13.0,,,,8.0,,,2.0,,,90.0,44.0,6.4,13.0,0.0751,"{'original': 6.4, 'alternative': 6.5}",0,0.14,0.0,-0.04,-0.39,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,65.71428571428571,36.84210526315789,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14015440,away,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,False,43.0,35.0,8.0,2.0,0.0,20.0,24.0,15.0,19.0,2.0,,5.0,4.0,,,,,,90.0,62.0,6.6,13.0,,"{'original': 6.6, 'alternative': 6.9}",0,-0.11,0.31,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,81.3953488372093,25.0,,100.0,,4.0,,,,2.0,,,1.0,1.0,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,
14015440,away,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,47.0,42.0,7.0,3.0,0.0,30.0,32.0,12.0,15.0,5.0,,2.0,3.0,,,,,,90.0,58.0,6.1,7.0,,"{'original': 6.1, 'alternative': 6.1}",1,0.27,0.08,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,89.36170212765957,42.857142857142854,,,,,,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,,-0.1,1.0,,,,2.0,,,,,,,1.0,
14015440,away,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,44.0,39.0,9.0,4.0,0.0,38.0,40.0,1.0,4.0,2.0,,8.0,5.0,,,,,,90.0,62.0,8.4,5.0,,"{'original': 8.4, 'alternative': 8}",1,0.01,0.04,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,4,0,88.63636363636364,44.44444444444444,,,,,,2.0,2.0,6.0,,,2.0,2.0,,2.0,,,0.52,,,,1.0,2.0,,1.0,1.0,,,,,
14015440,away,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,39.0,33.0,5.0,1.0,0.0,19.0,22.0,14.0,17.0,4.0,2.0,3.0,6.0,,,,,,90.0,55.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.27,0.05,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,84.61538461538461,20.0,,100.0,,1.0,,1.0,1.0,6.0,,,2.0,2.0,1.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,
14015440,away,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,36.0,34.0,4.0,4.0,0.0,23.0,24.0,11.0,12.0,3.0,,3.0,6.0,,,,,,90.0,49.0,8.4,6.0,,"{'original': 8.4, 'alternative': 7.6}",1,0.35,0.26,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,94.44444444444444,100.0,,,,,,1.0,,4.0,,,4.0,2.0,1.0,,,1.0,0.55,,,,1.0,1.0,2.0,,1.0,,,,,
14015440,away,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,False,30.0,25.0,5.0,3.0,1.0,17.0,20.0,8.0,10.0,,,1.0,4.0,,,,,,67.0,53.0,7.7,8.0,,"{'original': 7.7, 'alternative': 7.8}",2,0.38,0.08,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,9,0,83.33333333333334,60.0,,100.0,,,,,2.0,11.0,,1.0,5.0,3.0,3.0,3.0,,1.0,-0.19,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14015440,away,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,23.0,17.0,2.0,,1.0,10.0,10.0,7.0,13.0,4.0,,1.0,4.0,,,,,,83.0,44.0,6.4,13.0,,"{'original': 6.4, 'alternative': 7.5}",1,-0.19,0.09,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,73.91304347826086,,60.0,100.0,,5.0,3.0,2.0,,3.0,,,,,3.0,2.0,1.0,2.0,-0.03,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,
14015440,away,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,False,29.0,24.0,3.0,2.0,0.0,11.0,13.0,13.0,16.0,6.0,,,4.0,,,,,,83.0,45.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.9}",1,0.2,0.29,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,82.75862068965517,66.66666666666666,,,,1.0,,2.0,,2.0,,,2.0,,2.0,,1.0,2.0,-0.28,1.0,,1.0,1.0,,2.0,,,,,1.0,,1.0
14015440,away,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,21.0,16.0,2.0,2.0,0.0,6.0,7.0,10.0,14.0,2.0,,1.0,5.0,,,,,,67.0,44.0,6.8,17.0,,"{'original': 6.8, 'alternative': 7.4}",1,-0.9,0.51,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,76.19047619047619,100.0,,75.0,,8.0,,,,5.0,1.0,,,,1.0,2.0,,1.0,-0.36,4.0,3.0,,1.0,,1.0,,,,,1.0,,
14015440,away,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,False,26.0,21.0,,,0.0,13.0,14.0,8.0,12.0,1.0,,,1.0,,,,,,75.0,31.0,7.8,6.0,,"{'original': 7.8, 'alternative': 7.7}",2,-0.29,-0.48,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,2,0,80.76923076923077,,,100.0,,,,1.0,4.0,6.0,1.0,,,,1.0,1.0,,,0.49,1.0,1.0,,2.0,,,,1.0,,,,,
14015440,away,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,True,9.0,5.0,,,0.0,4.0,5.0,1.0,4.0,2.0,1.0,,1.0,,,,,,23.0,11.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.05,0.21,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,55.55555555555556,,,100.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,
14015440,away,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,True,9.0,7.0,1.0,1.0,0.0,6.0,7.0,1.0,2.0,2.0,,1.0,2.0,,,,,,23.0,16.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.9}",0,-0.13,0.07,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,77.77777777777779,100.0,,50.0,,,,1.0,,4.0,,,2.0,2.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,1.0,,
14015440,away,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,,,,,0.0,,,,,,,,,,,,,,15.0,3.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,
14015440,away,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,3.0,2.0,1.0,,0.0,2.0,3.0,,,2.0,1.0,1.0,1.0,,,,,,13.0,6.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.02,,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,66.66666666666666,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
14015440,away,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,True,5.0,3.0,,,0.0,3.0,4.0,,1.0,1.0,,,,,,,,,13.0,6.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.01,,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,60.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
14015440,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,away,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,away,5149,OFK Beograd,1406109,Vuk Draškić,vuk-draskic,G,28,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,away,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015440,away,6079,OFK Beograd,1465579,Mihajlo Petrović,mihajlo-petrovic,M,13,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
