match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalClearance,clearanceOffLine,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,fouls,aerialWon,blockedScoringAttempt,errorLeadToAShot,penaltyConceded,shotValueNormalized,wonContest,totalTackle,wonTackle,totalCross,accurateCross,dispossessed,shotOffTarget,totalOffside,keyPass,bigChanceCreated,onTargetScoringAttempt,hitWoodwork,bigChanceMissed,goals
14015453,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,36.0,28.0,8.0,4.0,0.0,16.0,18.0,12.0,18.0,3.0,,,,,90.0,78.0,8.6,20.0,,"{'original': 8.6, 'alternative': 7.8}",1,0.26,0.04,0.74,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,77.77777777777779,50.0,100.0,,,1.0,8.0,6.0,3.0,2.0,7.0,,2.0,3.0,3.0,3.0,1.0,,,,,0.51,,3.0,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0
14015453,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,23.0,18.0,4.0,1.0,1.0,12.0,12.0,6.0,11.0,3.0,,,,,90.0,41.0,8.0,5.0,,"{'original': 8, 'alternative': 8.1}",0,0.29,0.02,0.81,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,78.26086956521739,25.0,,,,1.0,2.0,5.0,,,10.0,,5.0,,,,1.0,4.0,,,,,,1.0,,,,,,,1.0,,,,,
14015453,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,25.0,15.0,10.0,1.0,0.0,11.0,11.0,4.0,14.0,5.0,,,,,90.0,41.0,7.0,10.0,,"{'original': 7, 'alternative': 7.2}",0,0.05,0.16,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,60.0,10.0,,100.0,,2.0,5.0,5.0,1.0,1.0,5.0,,,3.0,,1.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
14015453,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,33.0,24.0,6.0,3.0,0.0,8.0,13.0,16.0,20.0,3.0,,,,,90.0,70.0,7.2,20.0,,"{'original': 7.2, 'alternative': 8.1}",2,0.23,0.24,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,72.72727272727273,50.0,25.0,,,2.0,3.0,4.0,,1.0,5.0,,,3.0,1.0,1.0,,2.0,,,,-0.3,,1.0,1.0,8.0,2.0,,1.0,,4.0,1.0,1.0,,,
14015453,away,5362,FK Novi Pazar,940100,Abdoulaye Cisse,abdoulaye-cisse,M,6,False,21.0,15.0,1.0,,0.0,11.0,14.0,4.0,7.0,2.0,,,,,90.0,35.0,6.7,7.0,,"{'original': 6.7, 'alternative': 7}",2,0.09,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,71.42857142857143,,,100.0,,,2.0,5.0,,1.0,1.0,,,2.0,,,1.0,1.0,2.0,,,-0.29,1.0,3.0,1.0,,,1.0,,,1.0,,,,,
14015453,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,22.0,18.0,3.0,1.0,0.0,8.0,10.0,10.0,12.0,4.0,,,,,90.0,39.0,7.7,8.0,,"{'original': 7.7, 'alternative': 7.8}",5,0.4,0.15,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,81.81818181818183,33.33333333333333,50.0,,,,2.0,6.0,,,1.0,,,1.0,2.0,3.0,1.0,3.0,,,,-0.52,,,,2.0,1.0,1.0,3.0,,,,2.0,2.0,,
14015453,away,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,23.0,11.0,2.0,1.0,0.0,3.0,6.0,8.0,17.0,1.0,,,,,76.0,38.0,6.4,18.0,,"{'original': 6.4, 'alternative': 6.6}",3,-0.06,0.09,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,47.82608695652174,50.0,33.33333333333333,,,2.0,7.0,3.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,-0.48,,1.0,1.0,3.0,1.0,1.0,2.0,,,,,1.0,1.0,
14015453,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,22.0,19.0,5.0,5.0,0.0,6.0,6.0,13.0,16.0,4.0,,,,,65.0,33.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7.5}",1,0.22,0.27,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,86.36363636363636,100.0,50.0,50.0,,,1.0,3.0,,2.0,,,,,2.0,,1.0,,,,,-0.08,1.0,2.0,1.0,2.0,1.0,,1.0,,5.0,1.0,,,,
14015453,away,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,27.0,17.0,5.0,,0.0,4.0,4.0,13.0,23.0,5.0,,,,,76.0,43.0,6.4,16.0,,"{'original': 6.4, 'alternative': 6.9}",3,0.02,0.28,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,62.96296296296296,,,100.0,,2.0,4.0,5.0,,3.0,1.0,,,1.0,5.0,1.0,1.0,1.0,1.0,,,-0.51,3.0,,,,,1.0,2.0,,2.0,,,,1.0,
14015453,away,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,False,14.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,8.0,3.0,,,,,86.0,22.0,6.1,9.0,,"{'original': 6.1, 'alternative': 6.2}",0,-0.15,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,0,4,85.71428571428571,100.0,,,,2.0,6.0,2.0,,1.0,,,,,5.0,,3.0,2.0,,,,,,,,1.0,,,,,,,,,,
