match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,shotValueNormalized,onTargetScoringAttempt,goals,interceptionWon,totalCross,challengeLost,wasFouled,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,totalOffside,bigChanceCreated,blockedScoringAttempt,bigChanceMissed
14015536,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,False,19.0,15.0,9.0,5.0,0.0,11.0,11.0,4.0,8.0,5.0,,,90.0,21.0,6.3,4.0,24.575681845548,4.0,-15.645,-0.10499999999999,,"{'original': 6.3, 'alternative': 6.5}",0,0.03,0.0,-0.08,-0.59,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.94736842105263,55.55555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,41.0,34.0,5.0,1.0,0.0,20.0,23.0,14.0,18.0,9.0,,,90.0,70.0,6.7,14.0,135.12616213758,16.0,1.68,13.125,,"{'original': 6.7, 'alternative': 7}",1,0.31,-0.17,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,82.92682926829268,20.0,40.0,,,,4.0,4.0,,5.0,1.0,1.0,1.0,2.0,2.0,1.0,-0.02,,,1.0,5.0,,3.0,2.0,,,1.0,1.0,,1.0,,
14015536,away,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,43.0,34.0,8.0,2.0,0.0,23.0,24.0,11.0,19.0,2.0,,,65.0,52.0,6.2,10.0,176.82798486981,19.0,-103.53,3.045,,"{'original': 6.2, 'alternative': 6.5}",1,0.11,0.11,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,79.06976744186046,25.0,,,,1.0,5.0,1.0,,4.0,,,1.0,2.0,3.0,1.0,-0.07,,,1.0,,,,,,,,,,,,
14015536,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,64.0,53.0,12.0,5.0,0.0,22.0,25.0,31.0,39.0,6.0,,,90.0,80.0,7.1,12.0,132.10751383911,16.0,-52.08,4.305,,"{'original': 7.1, 'alternative': 7.2}",2,0.39,-0.5,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,82.8125,41.66666666666667,,,,3.0,2.0,5.0,,6.0,,,,1.0,1.0,2.0,-0.22,,,1.0,,,2.0,,,,,1.0,,1.0,,1.0
14015536,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,26.0,19.0,4.0,2.0,0.0,11.0,13.0,8.0,13.0,4.0,,,72.0,48.0,6.5,13.0,115.59663557204,12.0,-27.09,18.9,,"{'original': 6.5, 'alternative': 6.7}",1,-0.01,0.15,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,73.07692307692307,50.0,,,,1.0,4.0,5.0,,,3.0,3.0,1.0,2.0,1.0,,-0.08,,,,1.0,1.0,1.0,,,,,,,,1.0,
14015536,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,48.0,40.0,4.0,1.0,0.0,23.0,25.0,17.0,23.0,3.0,,,90.0,68.0,6.9,12.0,129.31538393374,14.0,-86.31,5.565,,"{'original': 6.9, 'alternative': 6.6}",2,0.21,0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,4,4,83.33333333333334,25.0,,,,4.0,7.0,8.0,2.0,6.0,1.0,,2.0,2.0,3.0,,-0.39,,,1.0,,,3.0,,,,,2.0,,,2.0,1.0
14015536,away,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,False,21.0,16.0,,,0.0,5.0,7.0,11.0,14.0,3.0,,,65.0,34.0,6.5,10.0,58.036410314655,10.0,-23.73,5.67,,"{'original': 6.5, 'alternative': 6.8}",0,0.04,0.11,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,76.19047619047619,,20.0,,,,2.0,3.0,,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,5.0,,,1.0,,,,,3.0,,,
14015536,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,62.0,47.0,10.0,5.0,0.0,17.0,20.0,30.0,42.0,6.0,,,90.0,79.0,6.5,22.0,137.19464835895,16.0,15.33,14.49,,"{'original': 6.5, 'alternative': 6.8}",0,-0.09,-0.35,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,75.80645161290323,50.0,,,,2.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,2.0,1.0,2.0,1.0,,1.0,,,,,,,
14015536,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,31.0,23.0,4.0,2.0,0.0,11.0,14.0,12.0,17.0,4.0,,,90.0,64.0,6.9,20.0,122.00450646017,10.0,-31.5,19.845,,"{'original': 6.9, 'alternative': 7.5}",1,0.34,0.03,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,6,12,5,7,74.19354838709677,50.0,54.54545454545454,,,4.0,9.0,9.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,-0.12,,,1.0,11.0,1.0,4.0,6.0,1.0,,,3.0,,,,
