match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,keyPass,shotOffTarget,bigChanceCreated,bigChanceMissed,hitWoodwork
14147321,home,5148,FK Budućnost Podgorica,1005616,Lazar Mijović,lazar-mijovic,F,88,False,32.0,24.0,3.0,3.0,1.0,3.0,5.0,21.0,26.0,3.0,1.0,0.0,0.0,2.0,10.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,,,,,,,86.0,55.0,8.6,9.0,0.16,0.48,"{'original': 8.6, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,10,2,75.0,100.0,33.33333333333333,100.0,,,1.0,3.0,3.0,1.0,,
14147321,home,241802,FK Budućnost Podgorica,128761,Igor Ivanović,igor-ivanovic,M,7,True,13.0,10.0,0.0,0.0,0.0,6.0,6.0,4.0,7.0,1.0,0.0,3.0,0.0,14.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,,,,,,29.0,28.0,6.1,9.0,0.43,0.0,"{'original': 6.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,5,11,76.92307692307693,,0.0,100.0,,2.0,,,,,1.0,
14147321,home,5143,FK Budućnost Podgorica,1606673,Lazar Savović,lazar-savovic,M,22,True,20.0,17.0,1.0,1.0,0.0,14.0,16.0,3.0,4.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,29.0,22.0,6.4,4.0,0.0,0.07,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,85.0,100.0,0.0,0.0,,,,1.0,,,,
14147321,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,True,5.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,19.0,7.0,6.0,3.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,80.0,0.0,,0.0,,,,,,,,
14147321,home,241802,FK Budućnost Podgorica,1871041,Matija Jovanovic,matija-jovanovic,F,99,True,3.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,19.0,5.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,,,,,,,
14147321,home,7727,FK Budućnost Podgorica,57729,Luka Mirković,luka-mirkovic,M,8,True,8.0,7.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,9.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,87.5,0.0,,,,,,,,,,
14147321,home,5143,FK Budućnost Podgorica,808561,Ljubomir Đurović,ljubomir-djurovic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147321,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147321,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147321,home,37153,FK Budućnost Podgorica,1005600,Petar Vuković,petar-vukovic,D,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147321,away,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,27.0,20.0,7.0,4.0,0.0,18.0,21.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,0.0,90.0,34.0,7.9,8.0,0.0,0.0,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,74.07407407407408,57.14285714285714,,0.0,0.0,,,,,,,
14147321,away,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,False,24.0,21.0,3.0,3.0,0.0,3.0,3.0,17.0,20.0,5.0,4.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,32.0,6.9,6.0,0.0,0.11,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,87.5,100.0,80.0,100.0,,,,1.0,,,,
14147321,away,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,27.0,22.0,2.0,1.0,0.0,15.0,16.0,7.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,72.0,35.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,81.48148148148148,50.0,,,,,,,,,,
14147321,away,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,35.0,28.0,7.0,4.0,0.0,19.0,20.0,7.0,12.0,0.0,0.0,0.0,2.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,50.0,7.2,16.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,80.0,57.14285714285714,,,,,,,,,,
14147321,away,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,31.0,26.0,3.0,2.0,0.0,15.0,17.0,11.0,14.0,3.0,2.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,67.0,39.0,7.0,6.0,0.0,0.23,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,1,5,83.87096774193549,66.66666666666666,66.66666666666666,,,,,2.0,,,,
14147321,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,29.0,27.0,1.0,1.0,0.0,16.0,16.0,11.0,13.0,0.0,0.0,1.0,0.0,13.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,44.0,6.7,7.0,0.1,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,5,12,93.10344827586206,100.0,,100.0,,2.0,,,,,,
