match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,challengeLost,dispossessed,outfielderBlock,errorLeadToAShot,fouls,accurateCross,keyPass,onTargetScoringAttempt,shotValueNormalized,bigChanceCreated,shotOffTarget,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt,hitWoodwork,bigChanceMissed
14925202,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,11.0,6.0,,,0.0,4.0,5.0,2.0,6.0,,2.0,,,,67.0,20.0,6.5,10.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.03,0.09,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,54.54545454545454,,,100.0,,1.0,2.0,4.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,
14925202,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,13.0,10.0,1.0,1.0,0.0,6.0,8.0,4.0,5.0,1.0,2.0,,,,24.0,15.0,6.8,3.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.18,0.04,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.92307692307693,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,5.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,23.0,8.0,6.3,2.0,,"{'original': 6.3, 'alternative': 6.6}",1,0.02,-0.01,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,80.0,100.0,,,,,5.0,5.0,,,,,,,1.0,,,,,,,,,,,-0.17,,1.0,,,,,,,
14925202,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,,,,,17.0,9.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.03,,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,0.0,,1.0,,,,,,,
14925202,home,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,F,21,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,1.0,1.0,,,,17.0,7.0,7.4,4.0,,"{'original': 7.4, 'alternative': 7.2}",1,-0.02,-0.27,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,1.0,,,1.0,0.54,,,1.0,,,,,,
14925202,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,4.0,1.0,,,0.0,,2.0,1.0,2.0,1.0,,,,,20.0,7.0,6.6,4.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.05,0.02,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,25.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,27.0,20.0,11.0,4.0,0.0,19.0,20.0,1.0,7.0,1.0,17.0,1.0,1.0,2.0,90.0,43.0,6.9,7.0,0.218,"{'original': 6.9, 'alternative': 6.3}",0,0.09,-0.05,-0.1,0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,74.07407407407408,36.36363636363637,,,100.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,
14925202,away,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,66.0,59.0,4.0,4.0,1.0,27.0,30.0,32.0,36.0,4.0,2.0,,,,90.0,96.0,7.4,11.0,,"{'original': 7.4, 'alternative': 7.5}",0,1.0,0.13,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,89.39393939393939,100.0,66.66666666666666,100.0,,6.0,,1.0,3.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,,4.0,4.0,,,2.0,,,,,,,,
14925202,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,68.0,56.0,12.0,5.0,0.0,37.0,42.0,19.0,26.0,7.0,3.0,,,,90.0,84.0,6.5,12.0,,"{'original': 6.5, 'alternative': 7.3}",4,0.25,0.16,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,13,1,1,0,82.35294117647058,41.66666666666667,,,,,3.0,3.0,11.0,,,3.0,,,,1.0,10.0,,,,,,,,,-0.68,,3.0,,,,,1.0,1.0,
14925202,away,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,72.0,65.0,6.0,1.0,0.0,43.0,46.0,22.0,26.0,7.0,3.0,,,,90.0,83.0,6.4,8.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.23,0.18,-0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,90.27777777777779,16.666666666666664,,,,,,2.0,4.0,,,1.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,
14925202,away,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,44.0,37.0,,,0.0,14.0,16.0,23.0,28.0,5.0,3.0,,,,90.0,75.0,6.4,13.0,,"{'original': 6.4, 'alternative': 7.2}",1,-0.18,0.26,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,6,1,84.0909090909091,,,100.0,,4.0,,1.0,9.0,2.0,2.0,,2.0,1.0,1.0,2.0,3.0,,,,,1.0,,2.0,,-0.27,,1.0,,,,,,,
