match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotOffTarget,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,dispossessed,fouls,blockedScoringAttempt,outfielderBlock,onTargetScoringAttempt,goodHighClaim,punches,goals,bigChanceCreated
14015593,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,True,28.0,20.0,4.0,,0.0,9.0,10.0,18.0,3.0,3.0,1.0,,,45.0,46.0,6.7,13.0,137.30081911338,17.0,57.603602642489,1.0,,"{'original': 6.7, 'alternative': 6.5}",1,0.33,0.12,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,71.42857142857143,,80.0,,,11.0,5.0,4.0,2.0,1.0,3.0,,1.0,,,1.0,1.0,2.0,,1.0,,20.822234239505,21.945,-0.09,,,,,,,,,
14015593,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,14.0,13.0,1.0,1.0,0.0,5.0,5.0,9.0,2.0,2.0,,,,31.0,22.0,6.6,4.0,31.542827085829,5.0,-1.6435288708094,0.0,,"{'original': 6.6, 'alternative': 7}",4,0.32,0.0,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,92.85714285714286,100.0,,,,8.0,2.0,,,2.0,,,,,,,,1.0,1.0,1.0,,,,-0.49,,,1.0,,2.0,,,,
14015593,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,3.0,1.0,,,0.0,,,3.0,,,,,,31.0,10.0,6.1,6.0,31.482277618653,4.0,-18.897830411889,0.0,,"{'original': 6.1, 'alternative': 6.4}",0,-0.05,-0.2,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,33.33333333333333,,,,,1.0,1.0,,3.0,,6.0,,,,,,,,,,,,,,3.0,,,,,,,,
14015593,home,5150,FK Vojvodina,1520997,Vando Félix,vando-felix,F,7,True,8.0,7.0,,,0.0,,,8.0,2.0,2.0,1.0,,,31.0,15.0,6.6,6.0,59.32186169669,5.0,21.213774466922,1.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.03,0.06,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,87.5,,,50.0,,7.0,,,,,4.0,1.0,2.0,1.0,,,,1.0,,,,14.456380672677,28.288785781649,,2.0,,,,,,,,
14015593,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,5.0,5.0,,,0.0,,,5.0,2.0,,,,,16.0,9.0,6.6,1.0,17.969536236722,3.0,-12.710051674213,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.1,-0.17,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,100.0,,,100.0,,5.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
14015593,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,33.0,14.0,31.0,12.0,0.0,3.0,4.0,29.0,3.0,20.0,,1.0,2.0,90.0,47.0,7.5,19.0,17.697360631679,2.0,-2.957711301864,0.0,0.1913,"{'original': 7.5, 'alternative': 8.1}",0,0.21,0.0,0.33,0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,42.42424242424242,38.70967741935484,,,,11.0,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,6.0,2.0,,
14015593,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,False,15.0,5.0,6.0,,0.0,1.0,5.0,10.0,4.0,2.0,1.0,,,74.0,38.0,6.8,16.0,43.176930083508,6.0,13.826292258148,0.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.06,-0.18,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,33.33333333333333,,,,,4.0,,,,1.0,4.0,,1.0,,2.0,2.0,1.0,1.0,,,1.0,,,,1.0,2.0,,,,,,,
14015593,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,21.0,14.0,11.0,5.0,0.0,8.0,11.0,10.0,2.0,3.0,,,,90.0,36.0,6.9,8.0,93.375791563362,10.0,17.15383132786,1.0,,"{'original': 6.9, 'alternative': 7.1}",0,0.12,0.2,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,66.66666666666666,45.45454545454545,,,,6.0,,,3.0,2.0,3.0,,,,6.0,,,,,,2.0,12.968703302037,14.776021419855,,,,,2.0,,,,,
14015593,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,22.0,16.0,8.0,4.0,0.0,11.0,13.0,9.0,6.0,5.0,,,,90.0,45.0,8.5,6.0,76.799727435786,10.0,8.4528242386591,0.0,,"{'original': 8.5, 'alternative': 8.3}",0,0.17,0.1,0.82,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,4,0,72.72727272727273,50.0,,,,5.0,,,1.0,2.0,1.0,,,,8.0,4.0,2.0,,,,1.0,,,,,,,2.0,,,,,
14015593,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,21.0,17.0,2.0,1.0,0.0,7.0,9.0,12.0,5.0,4.0,1.0,,,89.0,46.0,7.2,13.0,103.42853833887,11.0,42.970832169555,1.0,,"{'original': 7.2, 'alternative': 7}",0,0.1,0.17,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,80.95238095238095,50.0,,50.0,,10.0,2.0,,,2.0,2.0,,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,14.46112788845,16.394108697944,,1.0,,,1.0,,,,,
14015593,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,29.0,19.0,10.0,3.0,0.0,6.0,9.0,20.0,4.0,4.0,,,,90.0,40.0,6.8,15.0,124.4769383748,13.0,49.326495098007,1.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.29,0.13,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,65.51724137931035,30.0,,,,13.0,,,1.0,1.0,4.0,1.0,,,,3.0,1.0,3.0,,,1.0,16.963231811497,20.351868317184,,1.0,2.0,,1.0,,,,,
14015593,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,20.0,12.0,5.0,1.0,1.0,2.0,4.0,16.0,3.0,3.0,,,,90.0,32.0,7.1,12.0,42.303726603293,7.0,13.045586543396,1.0,,"{'original': 7.1, 'alternative': 7.2}",2,0.25,0.28,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,60.0,20.0,,,,10.0,,,,1.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,,12.494749980213,12.901649545698,0.29,2.0,,,1.0,1.0,,,,
14015593,away,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,False,15.0,10.0,2.0,,0.0,4.0,8.0,7.0,8.0,4.0,,,,90.0,44.0,6.7,13.0,79.252325491182,10.0,-10.96663824494,0.0,,"{'original': 6.7, 'alternative': 6.9}",1,0.02,0.03,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,66.66666666666666,,,100.0,,6.0,,,2.0,2.0,8.0,2.0,2.0,2.0,2.0,4.0,3.0,6.0,,,2.0,,,-0.12,2.0,2.0,1.0,,,,,,
14015593,away,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,16.0,10.0,1.0,,0.0,6.0,7.0,9.0,3.0,4.0,,,,74.0,27.0,6.3,11.0,67.630096323968,9.0,-6.5500051040439,0.0,,"{'original': 6.3, 'alternative': 6.6}",0,-0.11,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,62.5,,,,,4.0,1.0,,1.0,,5.0,,2.0,,,3.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,
14015593,away,25736,FK Novi Pazar,798091,Driton Camaj,driton-camaj,M,10,False,18.0,14.0,2.0,1.0,0.0,6.0,6.0,12.0,6.0,4.0,,,,85.0,43.0,9.4,13.0,171.24572051305,18.0,33.10354386671,1.0,,"{'original': 9.4, 'alternative': 8.7}",2,0.57,0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,77.77777777777779,50.0,66.66666666666666,83.33333333333334,,8.0,3.0,2.0,1.0,1.0,6.0,1.0,6.0,5.0,1.0,,,4.0,2.0,,,12.56588122673,33.70281354724,0.88,3.0,,,,2.0,,,2.0,
14015593,away,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,22.0,9.0,1.0,,1.0,4.0,5.0,17.0,11.0,1.0,1.0,,,74.0,46.0,7.8,26.0,138.15910617266,13.0,-4.3693091325607,2.0,,"{'original': 7.8, 'alternative': 8.1}",3,0.19,0.15,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,15,6,2,4,40.909090909090914,,,50.0,,5.0,,,6.0,9.0,10.0,,2.0,1.0,2.0,,,10.0,1.0,,1.0,26.445816143042,32.770681771977,0.44,2.0,1.0,1.0,,2.0,,,1.0,
14015593,away,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,True,7.0,7.0,,,0.0,3.0,3.0,4.0,1.0,2.0,,,,16.0,12.0,6.5,3.0,43.208465951544,4.0,3.6677312408798,1.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.22,-0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,100.0,,,,,4.0,,,,1.0,3.0,,1.0,,1.0,,,2.0,,,,13.116085013982,14.228443203668,,,2.0,,,,,,,
14015593,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,6.0,6.0,,,0.0,3.0,3.0,3.0,1.0,2.0,,,,16.0,12.0,6.6,3.0,39.323696020005,6.0,0.34682438086032,0.0,,"{'original': 6.6, 'alternative': 6.5}",0,0.0,0.03,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,,,3.0,,,,,3.0,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,
14015593,away,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,F,30,True,11.0,9.0,,,1.0,5.0,7.0,4.0,3.0,1.0,,,,16.0,19.0,6.6,6.0,77.586636823491,12.0,-2.696020673619,0.0,,"{'original': 6.6, 'alternative': 7.4}",0,-0.03,0.16,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,81.81818181818183,,,,,4.0,,,1.0,,3.0,1.0,,,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,,,,,,,1.0
14015593,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,3.0,2.0,,,0.0,2.0,2.0,1.0,1.0,,,,,11.0,6.0,6.5,2.0,3.8670733119505,1.0,3.8589632297733,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.0,0.0,0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,66.66666666666666,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,
14015593,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,away,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,away,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015593,away,25736,FK Novi Pazar,796184,Anes Rušević,anes-rusevic,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
