match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,fouls,keyPass,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,bigChanceCreated,totalCross,accurateCross,blockedScoringAttempt,bigChanceMissed,hitWoodwork,totalOffside,goodHighClaim,onTargetScoringAttempt
14015439,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,48.0,31.0,27.0,10.0,0.0,23.0,25.0,8.0,23.0,3.0,13.0,2.0,3.0,1.0,1.0,1.0,90.0,57.0,7.2,17.0,0.0719,"{'original': 7.2, 'alternative': 7.3}",0,0.07,0.01,0.39,0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,64.58333333333334,37.03703703703704,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,D,77,False,24.0,15.0,1.0,,0.0,11.0,15.0,4.0,9.0,3.0,4.0,,,,,,82.0,50.0,7.0,15.0,,"{'original': 7, 'alternative': 6.8}",0,0.05,0.07,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,6,3,62.5,,,50.0,,1.0,3.0,4.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,38.0,26.0,15.0,5.0,0.0,21.0,25.0,5.0,13.0,10.0,1.0,,,,,,90.0,59.0,7.6,12.0,,"{'original': 7.6, 'alternative': 7.6}",1,0.27,0.0,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,68.42105263157895,33.33333333333333,,,,,3.0,3.0,4.0,,,,4.0,1.0,1.0,,,1.0,2.0,,1.0,1.0,2.0,-0.16,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,39.0,35.0,4.0,,0.0,35.0,36.0,,3.0,9.0,1.0,,,,,,90.0,50.0,6.8,4.0,,"{'original': 6.8, 'alternative': 7}",0,0.02,0.07,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,89.74358974358975,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015439,home,7771,FK Mladost Lučani,1090985,Nemanja Žunić,zunic-nemanja,D,41,False,37.0,34.0,5.0,2.0,0.0,28.0,29.0,6.0,8.0,7.0,2.0,,,,,,90.0,47.0,7.2,3.0,,"{'original': 7.2, 'alternative': 7.1}",0,0.09,0.03,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,91.8918918918919,40.0,,,,,3.0,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,
14015439,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,23.0,18.0,6.0,2.0,0.0,8.0,10.0,10.0,13.0,1.0,2.0,,,,,,90.0,42.0,7.0,11.0,,"{'original': 7, 'alternative': 6.9}",0,0.18,0.06,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,78.26086956521739,33.33333333333333,,,,1.0,1.0,1.0,2.0,,,,2.0,1.0,,,4.0,,,,,,,,,2.0,,,,,,,
14015439,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,11.0,8.0,,,0.0,2.0,3.0,6.0,8.0,,1.0,,,,,,69.0,20.0,6.9,6.0,,"{'original': 6.9, 'alternative': 6.7}",1,0.22,0.19,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,72.72727272727273,,66.66666666666666,,,2.0,1.0,3.0,4.0,,1.0,,,3.0,1.0,,1.0,,,2.0,,,,-0.07,,3.0,2.0,1.0,,,,,
14015439,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,27.0,22.0,4.0,1.0,0.0,15.0,17.0,7.0,10.0,2.0,2.0,,,,,,90.0,37.0,6.9,6.0,,"{'original': 6.9, 'alternative': 6.7}",0,-0.03,0.08,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,81.48148148148148,25.0,,,,,2.0,3.0,4.0,,1.0,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
14015439,home,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,False,30.0,20.0,7.0,3.0,0.0,11.0,13.0,9.0,17.0,1.0,3.0,,,,,,90.0,36.0,6.7,11.0,,"{'original': 6.7, 'alternative': 6.9}",0,-0.11,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,66.66666666666666,42.857142857142854,50.0,,,,1.0,1.0,3.0,,,,1.0,,,,,2.0,,1.0,1.0,,,,,2.0,1.0,,,,,,
14015439,home,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,30.0,17.0,1.0,1.0,0.0,8.0,10.0,9.0,20.0,3.0,2.0,,,,,,90.0,53.0,7.0,26.0,,"{'original': 7, 'alternative': 7}",3,0.35,0.63,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,11,7,1,6,56.666666666666664,100.0,,,,4.0,7.0,10.0,8.0,1.0,,,,,,,11.0,1.0,3.0,,2.0,2.0,,-0.65,,1.0,,1.0,1.0,1.0,,,
