match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialWon,shotOffTarget,outfielderBlock,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,interceptionWon,lastManTackle,keyPass,blockedScoringAttempt,errorLeadToAGoal,bigChanceMissed,onTargetScoringAttempt,hitWoodwork,bigChanceCreated,totalOffside,penaltyMiss,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,punches,penaltyConceded,errorLeadToAShot,goals
14015574,away,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,26.0,20.0,8.0,4.0,0.0,15.0,17.0,5.0,9.0,3.0,2.0,,,,90.0,32.0,6.8,6.0,52.536969393509,9.0,2.1959261045486,0.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.2,0.0,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,76.92307692307693,50.0,,,,,,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,False,30.0,25.0,6.0,2.0,0.0,14.0,17.0,11.0,13.0,6.0,8.0,,,,90.0,66.0,7.2,11.0,142.7738318872,17.0,-6.3699558375129,0.0,,"{'original': 7.2, 'alternative': 6.9}",0,-0.04,0.08,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,9,3,83.33333333333334,33.33333333333333,25.0,100.0,,4.0,1.0,,3.0,11.0,2.0,,1.0,1.0,5.0,2.0,,3.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
14015574,away,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,24.0,20.0,4.0,3.0,0.0,9.0,9.0,11.0,15.0,1.0,2.0,,,,83.0,41.0,6.8,10.0,79.673970216703,10.0,-26.107929359746,0.0,,"{'original': 6.8, 'alternative': 6.9}",1,-0.02,-0.52,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,83.33333333333334,75.0,,33.33333333333333,,1.0,,1.0,7.0,6.0,1.0,,3.0,1.0,2.0,1.0,2.0,,3.0,3.0,1.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,False,39.0,24.0,3.0,,0.0,8.0,12.0,16.0,27.0,1.0,7.0,,,,89.0,53.0,6.9,17.0,115.75387646975,16.0,16.38459553825,0.0,,"{'original': 6.9, 'alternative': 6.9}",1,-0.14,0.06,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,61.53846153846154,,,100.0,,,,,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,-0.06,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,
14015574,away,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,21.0,17.0,,,1.0,4.0,4.0,13.0,17.0,1.0,3.0,,,,90.0,35.0,7.7,14.0,72.149939890572,8.0,8.6759686848766,2.0,,"{'original': 7.7, 'alternative': 7.3}",0,0.73,0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,80.95238095238095,,,,,5.0,,,1.0,,,,1.0,,,,4.0,,,,,,11.705897053184,23.870259989092,,,,3.0,,,,,,1.0,2.0,,,,,,,,
14015574,away,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,9.0,7.0,1.0,1.0,0.0,1.0,2.0,6.0,7.0,,1.0,,,,72.0,20.0,6.7,10.0,17.361138002601,3.0,11.19116032271,0.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.1,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,77.77777777777779,100.0,66.66666666666666,,,3.0,2.0,1.0,4.0,1.0,,1.0,1.0,,1.0,1.0,5.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,19.0,11.0,3.0,2.0,1.0,3.0,3.0,8.0,16.0,3.0,1.0,,,,83.0,43.0,7.8,16.0,54.825628136532,8.0,25.374501902164,0.0,,"{'original': 7.8, 'alternative': 8.4}",1,0.25,0.06,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,6,5,57.89473684210527,66.66666666666666,40.0,50.0,,5.0,2.0,1.0,6.0,8.0,2.0,,4.0,2.0,4.0,2.0,2.0,,1.0,2.0,,,,,0.32,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0
14015574,away,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,16.0,9.0,,,0.0,4.0,5.0,5.0,11.0,,3.0,,,,89.0,36.0,7.1,14.0,113.82485984182,10.0,25.270072326247,1.0,,"{'original': 7.1, 'alternative': 7.3}",5,-0.27,0.42,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,56.25,,,,,,,3.0,8.0,4.0,1.0,2.0,1.0,,,,4.0,3.0,1.0,1.0,1.0,,18.059884353619,18.869444109459,0.38,,,,2.0,,,2.0,,,,,,,,,,,1.0
14015574,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,2.0,,,,18.0,12.0,6.6,5.0,106.4456992415,4.0,50.34569473915,1.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.12,0.19,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,50.0,,,,,,,1.0,2.0,2.0,,1.0,,,2.0,2.0,2.0,,1.0,,,,29.559289715025,32.800285120712,,2.0,,,,,,,,,,,,,,,,,
14015574,away,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,13.0,4.0,6.3,2.0,7.0213851197609,1.0,1.2353317567398,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.01,0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,50.0,,,,,,,1.0,3.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,5.0,4.0,1.0,,0.0,2.0,2.0,2.0,3.0,,1.0,,,,13.0,6.0,6.6,1.0,13.53095299674,1.0,-6.8692046270458,0.0,,"{'original': 6.6, 'alternative': 6.4}",0,0.05,-0.08,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,80.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,0.0,,,,,,,,,,1.0,2.0,,2.0,11.78833529384,1.0,11.370715800972,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,11.370715800972,11.78833529384,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1520997,Vando Félix,vando-felix,F,7,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,1.0,4.0,,,22.691115331642,2.0,21.042701909611,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,100.0,,,,,,,,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,F,27,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015574,away,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
