match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,totalContest,wonContest,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,bigChanceMissed,dispossessed,blockedScoringAttempt,hitWoodwork,bigChanceCreated,errorLeadToAShot,penaltyMiss,totalOffside,penaltyFaced,punches,outfielderBlock,penaltyConceded,clearanceOffLine
14015470,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,19.0,14.0,1.0,1.0,0.0,4.0,8.0,10.0,11.0,2.0,,,89.0,25.0,8.0,6.0,,"{'original': 8, 'alternative': 7.6}",3,-0.13,0.52,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,73.68421052631578,100.0,,,,,,1.0,3.0,,,1.0,,,1.0,1.0,1.0,,1.0,,0.42,,2.0,2.0,1.0,,,,,,,,,1.0,,,,,
14015470,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,13.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,10.0,1.0,,,18.0,20.0,6.4,8.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.17,0.05,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,61.53846153846154,100.0,,,,1.0,,1.0,2.0,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
14015470,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,M,50,True,10.0,9.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,3.0,,,10.0,17.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.01,0.1,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,90.0,100.0,,100.0,,1.0,,1.0,3.0,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
14015470,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,11.0,8.0,1.0,,0.0,1.0,2.0,7.0,9.0,1.0,,,10.0,15.0,5.9,4.0,,"{'original': 5.9, 'alternative': 5.8}",0,0.07,0.02,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,72.72727272727273,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015470,away,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,6.0,5.0,,,0.0,3.0,4.0,2.0,2.0,,,,16.0,6.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.01,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,83.33333333333334,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015470,away,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,13.0,10.0,1.0,1.0,0.0,1.0,1.0,9.0,12.0,1.0,,,15.0,14.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.06,0.06,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.92307692307693,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,away,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,away,43981,FK Radnički 1923,971009,António Pina Gomes,pina-gomes-antonio,F,11,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015470,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
