match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,outfielderBlock,errorLeadToAShot,bigChanceMissed,shotOffTarget,shotValueNormalized,accurateCross,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceCreated,totalOffside,punches
14015557,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,M,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015557,home,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015557,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,30.0,14.0,27.0,11.0,0.0,5.0,6.0,9.0,24.0,2.0,7.0,2.0,4.0,4.0,1.0,1.0,90.0,43.0,7.5,17.0,62.323161925145,9.0,-45.675,0.315,0.6389,"{'original': 7.5, 'alternative': 8}",0,0.13,-0.01,0.29,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,46.666666666666664,40.74074074074074,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
14015557,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,22.0,15.0,3.0,2.0,0.0,10.0,11.0,5.0,11.0,4.0,3.0,,,,,,85.0,43.0,7.3,10.0,58.28142813139,8.0,-2.1,9.24,,"{'original': 7.3, 'alternative': 7.6}",1,0.02,0.06,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,68.18181818181817,66.66666666666666,,100.0,,,,1.0,3.0,,1.0,2.0,1.0,2.0,,1.0,,,,,,1.0,0.02,,1.0,1.0,,,,,,
14015557,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,31.0,24.0,8.0,3.0,0.0,18.0,19.0,6.0,12.0,8.0,3.0,,,,,,90.0,53.0,7.9,7.0,66.708083187231,10.0,-25.095,4.41,,"{'original': 7.9, 'alternative': 8}",2,0.15,0.12,0.59,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,77.41935483870968,37.5,,,,,1.0,2.0,5.0,,1.0,2.0,2.0,,3.0,1.0,,1.0,2.0,,1.0,,0.19,,,,2.0,,,,,
14015557,away,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,36.0,29.0,8.0,3.0,0.0,23.0,23.0,6.0,13.0,6.0,2.0,,,,,,90.0,48.0,7.3,8.0,65.457843451078,11.0,-38.535,1.68,,"{'original': 7.3, 'alternative': 7.2}",0,0.18,0.04,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,80.55555555555556,37.5,,,,,1.0,3.0,4.0,,,3.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
14015557,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,31.0,22.0,9.0,4.0,0.0,13.0,13.0,9.0,18.0,7.0,2.0,,,,,,90.0,63.0,7.2,13.0,48.110238278268,7.0,-25.62,3.045,,"{'original': 7.2, 'alternative': 7.4}",0,0.01,-0.21,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,70.96774193548387,44.44444444444444,,,,1.0,2.0,6.0,7.0,,,4.0,1.0,,1.0,4.0,,1.0,1.0,,,,,,1.0,,,,,,,
14015557,away,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,False,25.0,19.0,3.0,1.0,0.0,12.0,13.0,7.0,12.0,1.0,11.0,,,,,,70.0,40.0,7.2,7.0,78.112013578165,10.0,9.345,11.025,,"{'original': 7.2, 'alternative': 7.3}",0,0.14,0.06,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,10,7,76.0,33.33333333333333,,100.0,,,,8.0,10.0,2.0,1.0,4.0,2.0,,4.0,4.0,1.0,1.0,,1.0,,,,,2.0,2.0,,,1.0,,,
14015557,away,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,12.0,9.0,1.0,,0.0,1.0,1.0,8.0,11.0,1.0,4.0,,,,,,61.0,29.0,6.7,10.0,84.637362092256,8.0,-35.175,6.405,,"{'original': 6.7, 'alternative': 6.9}",0,0.01,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,5,4,75.0,,,66.66666666666666,,1.0,,5.0,5.0,1.0,,2.0,2.0,4.0,1.0,1.0,2.0,1.0,,,,,,,3.0,2.0,,,1.0,,,
14015557,away,5153,OFK Beograd,1153956,Jovan Šljivić,jovan-sljivic,M,20,False,13.0,10.0,2.0,,0.0,2.0,4.0,8.0,9.0,1.0,1.0,,,,,,61.0,22.0,6.7,8.0,59.069681088701,8.0,11.655,10.92,,"{'original': 6.7, 'alternative': 6.2}",1,0.19,-0.27,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,76.92307692307693,,,,,,,4.0,1.0,,,,,1.0,1.0,,1.0,,,,,,-0.02,,4.0,,,1.0,,,,
