match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,blockedScoringAttempt,dispossessed,hitWoodwork
14147313,away,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,69.0,63.0,4.0,2.0,0.0,45.0,46.0,18.0,22.0,0.0,0.0,1.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,92.0,7.6,6.0,0.0,0.0,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,91.30434782608695,50.0,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,78954,Žarko Tomašević,zarko-tomasevic,D,5,False,75.0,63.0,11.0,3.0,0.0,42.0,44.0,21.0,31.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,95.0,7.2,8.0,0.08,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,84.0,27.27272727272727,,100.0,,,,,,
14147313,away,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,42.0,37.0,3.0,2.0,0.0,13.0,14.0,21.0,25.0,2.0,1.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,54.0,7.1,6.0,0.0,0.14,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,4,7,88.09523809523809,66.66666666666666,50.0,,,,1.0,,1.0,
14147313,away,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,91.0,82.0,8.0,4.0,0.0,38.0,39.0,42.0,50.0,2.0,1.0,0.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,113.0,7.7,11.0,0.08,0.4,"{'original': 7.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,90.10989010989012,50.0,50.0,100.0,,,3.0,1.0,1.0,
14147313,away,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,False,40.0,36.0,3.0,1.0,0.0,19.0,21.0,17.0,18.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,72.0,51.0,6.9,6.0,0.34,0.0,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,90.0,33.33333333333333,,0.0,,1.0,,1.0,,
14147313,away,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,32.0,25.0,1.0,1.0,0.0,5.0,5.0,18.0,25.0,3.0,1.0,3.0,2.0,10.0,8.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,90.0,57.0,7.6,15.0,0.12,0.0,"{'original': 7.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,6,7,78.125,100.0,33.33333333333333,60.0,,,2.0,,1.0,
14147313,away,6226,FK Dečić Tuzi,44305,Draško Božović,drasko-bozovic,M,7,False,42.0,35.0,4.0,2.0,0.0,10.0,11.0,25.0,31.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,72.0,50.0,7.2,9.0,0.02,0.01,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,83.33333333333334,50.0,50.0,,,2.0,1.0,,,
14147313,away,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,M,72,False,14.0,10.0,2.0,1.0,0.0,3.0,3.0,6.0,10.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,62.0,21.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,71.42857142857143,50.0,0.0,,,,,,,
14147313,away,6226,FK Dečić Tuzi,869335,Ilir Camaj,ilir-camaj,F,9,False,15.0,15.0,0.0,0.0,0.0,3.0,3.0,12.0,12.0,0.0,0.0,2.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,89.0,30.0,6.9,9.0,0.57,0.09,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,2,7,100.0,,,,,3.0,2.0,,4.0,
14147313,away,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,M,77,True,11.0,9.0,0.0,0.0,0.0,5.0,5.0,4.0,6.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,28.0,16.0,6.3,2.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,81.81818181818183,,,0.0,,,,,1.0,
14147313,away,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,True,11.0,9.0,2.0,2.0,0.0,1.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,18.0,14.0,7.4,2.0,0.27,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,81.81818181818183,100.0,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,True,18.0,15.0,3.0,1.0,0.0,4.0,4.0,11.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,18.0,22.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,83.33333333333334,33.33333333333333,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,1877899,Pjeter Ljuljduraj,pjeter-ljuljduraj,D,15,True,6.0,6.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,7.0,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147313,away,829702,FK Dečić Tuzi,1063190,Bogdan Milić,bogdan-milic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,1799572,Halil Kajoshaj,halil-kajoshaj,D,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147313,away,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
