match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,blockedScoringAttempt,totalClearance,unsuccessfulTouch,wasFouled,shotValueNormalized,wonContest,totalTackle,wonTackle,fouls,keyPass,challengeLost,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotOffTarget,dispossessed,outfielderBlock,onTargetScoringAttempt,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,goals,bigChanceMissed,hitWoodwork
14015579,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,32.0,27.0,5.0,2.0,0.0,18.0,20.0,9.0,12.0,7.0,,,90.0,50.0,7.6,8.0,53.861918080371,8.0,25.973017072101,0.0,,"{'original': 7.6, 'alternative': 7.5}",0,0.18,0.08,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,6,1,84.375,40.0,,100.0,,,,2.0,1.0,3.0,7.0,2.0,,5.0,2.0,,,2.0,4.0,4.0,,2.0,,1.0,,,,1.0,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,M,17,False,11.0,9.0,2.0,2.0,0.0,6.0,7.0,3.0,4.0,2.0,,,90.0,30.0,6.4,7.0,72.037362915988,7.0,30.309924766824,0.0,,"{'original': 6.4, 'alternative': 6.8}",1,0.28,-0.25,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,3,7,81.81818181818183,100.0,100.0,33.33333333333333,,1.0,1.0,1.0,,8.0,3.0,3.0,,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,1.0,1.0,,,,,,,1.0,,,
14015579,away,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,17.0,15.0,1.0,,0.0,8.0,8.0,7.0,9.0,4.0,,,60.0,32.0,7.2,5.0,43.709226458605,4.0,21.836856089296,0.0,,"{'original': 7.2, 'alternative': 7.2}",1,0.12,0.04,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,88.23529411764706,,,,,1.0,,,1.0,5.0,6.0,1.0,,2.0,1.0,3.0,-0.26,,2.0,1.0,4.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,1087748,Kristian Šekularac,kristian-sekularac,M,77,False,39.0,33.0,1.0,1.0,1.0,17.0,20.0,16.0,19.0,6.0,,,81.0,54.0,7.6,13.0,126.80333263335,12.0,40.492012954959,1.0,,"{'original': 7.6, 'alternative': 8}",2,-0.21,0.27,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,84.61538461538461,100.0,,20.0,,,,,,7.0,5.0,5.0,,,2.0,,0.48,1.0,4.0,2.0,1.0,2.0,1.0,1.0,30.583039181145,34.20193421431,1.0,1.0,,1.0,,,,,,1.0,,
14015579,away,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,7.0,6.0,1.0,,1.0,3.0,4.0,3.0,3.0,3.0,,,72.0,23.0,8.6,6.0,93.891649843678,10.0,47.88811311577,3.0,,"{'original': 8.6, 'alternative': 8.3}",3,0.45,0.42,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,85.71428571428571,,33.33333333333333,50.0,,3.0,1.0,2.0,,4.0,3.0,2.0,1.0,1.0,2.0,,0.46,1.0,2.0,2.0,,1.0,1.0,,25.000838073937,54.3226999442,1.0,,,1.0,,,,,1.0,1.0,,
14015579,away,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,9.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,7.0,4.0,,,72.0,18.0,6.1,8.0,80.517687128501,4.0,40.534663269857,2.0,,"{'original': 6.1, 'alternative': 6.5}",2,-0.19,0.28,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,2,1,55.55555555555556,100.0,,100.0,,1.0,,7.0,1.0,8.0,3.0,1.0,,,3.0,1.0,-0.51,1.0,,,,,1.0,,30.573364973938,61.89650132362,,,,2.0,,,,,,,1.0,1.0
14015579,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,22.0,15.0,4.0,1.0,0.0,10.0,13.0,5.0,9.0,4.0,,,45.0,33.0,6.9,11.0,113.20204951812,4.0,-7.3097386693609,1.0,,"{'original': 6.9, 'alternative': 6.6}",0,0.04,-0.25,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,68.18181818181817,25.0,,,,1.0,,1.0,2.0,3.0,4.0,1.0,,2.0,,,,,2.0,1.0,,,1.0,,37.195979112475,50.438564452213,,,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,30.0,10.0,7.5,3.0,36.328243127628,4.0,-0.068387326454005,0.0,,"{'original': 7.5, 'alternative': 7.3}",1,0.01,-0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,100.0,,,100.0,,,,,,1.0,2.0,1.0,,,3.0,1.0,0.52,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,
14015579,away,282203,FK Železničar Pančevo,1500279,Dusan Jovanović,dusan-jovanovic,F,9,True,3.0,1.0,1.0,,1.0,,,1.0,3.0,,,,18.0,7.0,6.6,4.0,10.650190199215,2.0,-5.2649408686183,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,0.24,-0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,33.33333333333333,,,,,,,1.0,1.0,3.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,,,18.0,13.0,6.7,4.0,49.297917866095,5.0,2.4303152760663,1.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.01,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,80.0,,,50.0,,,,,,3.0,4.0,2.0,,,1.0,2.0,,1.0,1.0,,1.0,,,,12.576762614586,13.787922577386,,1.0,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,1427157,Stefan Mitrovic,stefan-mitrovic,M,80,True,7.0,6.0,1.0,1.0,0.0,,,6.0,7.0,1.0,,,9.0,9.0,6.9,2.0,16.338919584648,2.0,-8.9622562789565,0.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.23,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,85.71428571428571,100.0,,100.0,,,,,1.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015579,away,253775,FK Železničar Pančevo,1803851,Mirko Stevanović,mirko-stevanovic,G,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,2276490,Abdoul Sawadogo,abdoul-sawadogo,D,16,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015579,away,282203,FK Železničar Pančevo,2216578,Sumaila Wasiu,sumaila-wasiu,F,66,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
