match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,challengeLost,dispossessed,shotOffTarget,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,aerialLost,totalClearance,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,onTargetScoringAttempt,goals,blockedScoringAttempt,hitWoodwork,totalOffside,keyPass,savedShotsFromInsideTheBox,saves,keeperSaveValue,goalkeeperValueNormalized,bigChanceCreated
14015598,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,32.0,21.0,8.0,2.0,1.0,10.0,12.0,11.0,20.0,1.0,2.0,2.0,,90.0,50.0,6.8,18.0,58.398686497368,7.0,24.106171380816,0.0,"{'original': 6.8, 'alternative': 7.1}",0,0.5,0.04,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,1,0,65.625,25.0,33.33333333333333,100.0,,9.0,3.0,4.0,,,,1.0,1.0,,,1.0,,4.0,,,,,,1.0,1.0,,,,,,2.0,,,,,1.0
14015598,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,24.0,15.0,4.0,,0.0,2.0,4.0,13.0,20.0,1.0,6.0,6.0,,90.0,35.0,6.5,11.0,54.750111070252,8.0,15.166517197241,0.0,"{'original': 6.5, 'alternative': 6.8}",1,-0.1,0.05,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,5,1,62.5,,,100.0,,1.0,,2.0,,,,,,4.0,3.0,1.0,-0.08,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,
14015598,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,34.0,23.0,3.0,2.0,0.0,8.0,10.0,15.0,24.0,1.0,1.0,7.0,,59.0,39.0,6.8,13.0,85.137439014419,10.0,41.361130871127,2.0,"{'original': 6.8, 'alternative': 6.8}",0,0.41,0.06,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,67.64705882352942,66.66666666666666,,,,,,4.0,1.0,,,,,,,1.0,,1.0,,,1.0,19.078967065713,30.674905154343,1.0,,,,,,,2.0,,,,,
14015598,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,12.0,9.0,1.0,,0.0,1.0,2.0,8.0,10.0,,,1.0,,59.0,20.0,6.1,8.0,57.710841216125,9.0,-15.252859329624,1.0,"{'original': 6.1, 'alternative': 6.7}",2,-0.01,-0.54,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,75.0,,,,,1.0,,1.0,,1.0,1.0,,,,,2.0,-0.61,,,,,9.688986515764,10.153816228394,,,,,1.0,,,2.0,,,,,
14015598,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,False,10.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,8.0,3.0,8.0,2.0,,67.0,28.0,5.9,8.0,49.961386831969,5.0,-13.926929072304,0.0,"{'original': 5.9, 'alternative': 6.8}",2,-0.36,0.01,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,12,13,5,8,60.0,100.0,,,,,,17.0,,1.0,,,,3.0,3.0,1.0,-0.14,9.0,,2.0,5.0,,,2.0,,,,2.0,,,,,,,,
14015598,away,308176,FK IMT Beograd,229722,Farid Boulaya,farid-boulaya,F,37,False,27.0,19.0,6.0,4.0,0.0,8.0,8.0,11.0,19.0,,4.0,3.0,,89.0,43.0,6.6,14.0,180.02516883826,19.0,-14.234145748834,1.0,"{'original': 6.6, 'alternative': 7}",0,-0.13,0.1,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,70.37037037037037,66.66666666666666,,100.0,,1.0,,4.0,,2.0,,,1.0,1.0,,3.0,,2.0,,2.0,,10.432834443308,20.739027002249,1.0,1.0,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,True,3.0,2.0,1.0,,0.0,,1.0,2.0,2.0,,3.0,2.0,,31.0,10.0,6.3,4.0,17.861358813321,4.0,-6.2860514624284,0.0,"{'original': 6.3, 'alternative': 6.5}",0,-0.05,0.09,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,66.66666666666666,,,,,,,6.0,,1.0,,,,3.0,3.0,1.0,,2.0,,,2.0,,,1.0,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1897363,Josué Tiendrebeogo,josue-tiendrebeogo,M,18,True,10.0,6.0,2.0,1.0,0.0,3.0,3.0,3.0,7.0,,2.0,2.0,,31.0,13.0,6.6,4.0,58.734380879901,4.0,24.472789898935,1.0,"{'original': 6.6, 'alternative': 6.7}",0,-0.08,0.03,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,60.0,50.0,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,19.899210558569,47.329690301121,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1917883,Oriyomi Lebi,oriyomi-lebi,F,19,True,5.0,4.0,1.0,,0.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,,23.0,11.0,6.5,3.0,30.725491204667,4.0,23.602317145425,0.0,"{'original': 6.5, 'alternative': 6.5}",0,0.01,0.07,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,80.0,,,,,,,7.0,,2.0,,,,1.0,1.0,,,4.0,,1.0,2.0,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,1.0,,,,0.0,,,,1.0,,,,,1.0,2.0,,1.0,5.4592161525259,1.0,3.0684666662871,0.0,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015598,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
