player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,save,corner,"{'x': 2, 'y': 55, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.6, 'z': 20.7}",0.3215,6543942,39,2323,"{'start': {'x': 55, 'y': 2}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 79.3}}",7,377,2323,shot,,,0.9408
"{'name': 'Aleksandar Desančić', 'slug': 'aleksandar-desancic', 'shortName': 'A. Desančić', 'position': 'M', 'userCount': 13, 'gender': 'M', 'id': 795912, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ديسانشيتش'}, 'shortNameTranslation': {'ar': 'أ. ديسانشيتش'}}}",True,block,regular,"{'x': 13, 'y': 33, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.04007,6543941,39,2299,"{'start': {'x': 33, 'y': 13}, 'block': {'x': 33, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",7,401,2299,shot,"{'x': 13, 'y': 33, 'z': 0}",,
"{'name': 'Nikola Furtula', 'firstName': '', 'lastName': '', 'slug': 'nikola-furtula', 'shortName': 'N. Furtula', 'position': 'F', 'jerseyNumber': '89', 'userCount': 16, 'gender': 'M', 'id': 878422, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فورتولا'}, 'shortNameTranslation': {'ar': 'ن. فورتولا'}}}",True,miss,throw-in-set-piece,"{'x': 9, 'y': 58, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 42.4, 'z': 49.2}",0.05874,6543940,35,2071,"{'start': {'x': 58, 'y': 9}, 'end': {'x': 57.6, 'y': 0}, 'goal': {'x': 57.6, 'y': 50.8}}",11,629,2071,shot,,,
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,block,set-piece,"{'x': 16, 'y': 42, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.007734,6543939,32,1917,"{'start': {'x': 42, 'y': 16}, 'block': {'x': 42, 'y': 16}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",14,783,1917,shot,"{'x': 16, 'y': 42, 'z': 0}",,
"{'name': 'Aleksandar Šćekić', 'slug': 'aleksandar-scekic', 'shortName': 'A. Šćekić', 'position': 'M', 'jerseyNumber': '55', 'userCount': 232, 'gender': 'M', 'id': 836566, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر شيكيتش', 'hi': 'अलेक्जेंडर सेकिच', 'bn': 'আলেকসান্ডার স্কিকিচ'}, 'shortNameTranslation': {'ar': 'أ. شيكيتش', 'hi': 'ए. सेकिच', 'bn': 'এ. স্কিকিচ'}}}",True,miss,regular,"{'x': 9, 'y': 45, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41, 'z': 52.1}",0.3514,6543938,29,1738,"{'start': {'x': 45, 'y': 9}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 47.9}}",17,962,1738,shot,,,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",False,goal,set-piece,"{'x': 4, 'y': 47, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 45.7, 'z': 0.8}",0.4793,6543937,19,1140,"{'start': {'x': 47, 'y': 4}, 'end': {'x': 54.3, 'y': 0}, 'goal': {'x': 54.3, 'y': 99.2}}",27,1560,1140,shot,,regular,0.8037
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,miss,regular,"{'x': 12, 'y': 36, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 54.8, 'z': 59.7}",0.1131,6543936,17,1014,"{'start': {'x': 36, 'y': 12}, 'end': {'x': 45.2, 'y': 0}, 'goal': {'x': 45.2, 'y': 40.3}}",29,1686,1014,shot,,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,regular,"{'x': 19, 'y': 59, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03541,6543935,17,1007,"{'start': {'x': 59, 'y': 19}, 'block': {'x': 59, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",29,1693,1007,shot,"{'x': 19, 'y': 59, 'z': 0}",,
"{'name': 'Nikola Furtula', 'firstName': '', 'lastName': '', 'slug': 'nikola-furtula', 'shortName': 'N. Furtula', 'position': 'F', 'jerseyNumber': '89', 'userCount': 16, 'gender': 'M', 'id': 878422, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فورتولا'}, 'shortNameTranslation': {'ar': 'ن. فورتولا'}}}",True,block,corner,"{'x': 11, 'y': 37, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.2458,6543934,15,864,"{'start': {'x': 37, 'y': 11}, 'block': {'x': 37, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",31,1836,864,shot,"{'x': 11, 'y': 37, 'z': 0}",,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,corner,"{'x': 28, 'y': 41, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.001633,6543933,15,861,"{'start': {'x': 41, 'y': 28}, 'block': {'x': 41, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",31,1839,861,shot,"{'x': 28, 'y': 41, 'z': 0}",,
