match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,outfielderBlock,aerialLost,aerialWon,interceptionWon,dispossessed,onTargetScoringAttempt,penaltyConceded,shotValueNormalized,shotOffTarget,blockedScoringAttempt,penaltyWon,bigChanceMissed,goals,bigChanceCreated,errorLeadToAShot,errorLeadToAGoal
14015614,home,111127,FK Radnik Surdulica,588974,Aleksandar Cvetković,aleksandar-cvetkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015614,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,30.0,16.0,24.0,10.0,0.0,6.0,7.0,10.0,23.0,,11.0,,1.0,3.0,90.0,36.0,6.7,14.0,19.348760287181,4.0,5.7194504565418,0.0,0.0486,"{'original': 6.7, 'alternative': 6.5}",0,0.16,-0.06,0.14,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,53.333333333333336,41.66666666666667,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015614,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,23.0,19.0,5.0,4.0,0.0,8.0,9.0,11.0,14.0,3.0,2.0,,,,90.0,54.0,6.9,14.0,59.221372611344,11.0,14.066892179242,0.0,,"{'original': 6.9, 'alternative': 6.9}",1,0.17,0.06,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,7,4,82.6086956521739,80.0,25.0,33.33333333333333,,4.0,1.0,4.0,7.0,,3.0,1.0,4.0,4.0,2.0,2.0,1.0,,,,,,,2.0,1.0,,,-0.21,1.0,,,,,,,
14015614,away,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,38.0,26.0,16.0,6.0,0.0,13.0,14.0,13.0,24.0,6.0,3.0,,,,90.0,46.0,5.8,13.0,165.01412059618,19.0,67.590786937079,2.0,,"{'original': 5.8, 'alternative': 5.9}",0,0.26,0.1,-0.62,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,68.42105263157895,37.5,,,,,,3.0,1.0,,,,,,1.0,1.0,3.0,15.294888793857,37.720054606623,,,,,,,,1.0,,,,,,,,,
14015614,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,35.0,28.0,10.0,5.0,0.0,19.0,21.0,9.0,14.0,7.0,,,,,90.0,48.0,6.1,8.0,65.961611767033,10.0,8.2139815126272,0.0,,"{'original': 6.1, 'alternative': 6.4}",1,0.17,0.27,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,50.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,2.0,,1.0,1.0,,1.0,,0.08,,,,,,,,1.0
14015614,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,21.0,17.0,4.0,3.0,0.0,9.0,9.0,8.0,12.0,2.0,2.0,,,,90.0,46.0,6.5,7.0,63.724681978203,10.0,-7.5215723496283,0.0,,"{'original': 6.5, 'alternative': 6.6}",0,0.21,0.03,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,80.95238095238095,75.0,,,,,,4.0,4.0,2.0,,,4.0,3.0,3.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
14015614,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,36.0,30.0,5.0,3.0,0.0,14.0,14.0,16.0,22.0,1.0,9.0,,,,90.0,62.0,8.0,9.0,96.711389533567,12.0,49.111352494697,1.0,,"{'original': 8, 'alternative': 7.7}",2,0.14,0.23,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,11,5,83.33333333333334,60.0,,60.0,,,,5.0,11.0,,5.0,3.0,5.0,2.0,1.0,3.0,3.0,11.044743997135,14.148144754702,1.0,,,,3.0,,1.0,,0.51,,1.0,,,1.0,,,
14015614,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,21.0,15.0,1.0,,0.0,6.0,7.0,9.0,14.0,1.0,2.0,,,,66.0,37.0,6.4,12.0,91.909920735025,13.0,-4.2158986792263,0.0,,"{'original': 6.4, 'alternative': 6.8}",1,-0.33,0.07,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,5,5,71.42857142857143,,,100.0,,,,6.0,8.0,,1.0,1.0,3.0,3.0,3.0,1.0,2.0,,,,,1.0,3.0,,3.0,,,-0.13,1.0,,,,,,,
14015614,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,26.0,16.0,5.0,,0.0,7.0,8.0,9.0,18.0,1.0,,,,,90.0,37.0,6.7,10.0,69.823852972728,12.0,-1.5710372424873,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,-0.1,0.04,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,61.53846153846154,,,,,,,3.0,7.0,2.0,,,3.0,1.0,,3.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
14015614,away,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,False,8.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,6.0,,2.0,,,,35.0,13.0,6.8,,27.781448904292,4.0,6.2249486133044,0.0,,"{'original': 6.8, 'alternative': 6.9}",0,-0.13,0.02,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,100.0,100.0,,,,,,,2.0,,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,
