match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,outfielderBlock,totalTackle,wonTackle,wasFouled,shotValueNormalized,challengeLost,totalContest,wonContest,interceptionWon,fouls,accurateCross,dispossessed,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,unsuccessfulTouch,keyPass,blockedScoringAttempt,goals,totalOffside,errorLeadToAShot
14015457,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,71.0,66.0,10.0,5.0,0.0,52.0,55.0,14.0,16.0,4.0,,,,90.0,89.0,6.8,7.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.18,0.08,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,92.95774647887323,50.0,,,,,1.0,4.0,2.0,6.0,1.0,8.0,1.0,1.0,1.0,1.0,-0.16,,,,3.0,1.0,,,,,,2.0,,,,,1.0
14015457,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,39.0,33.0,9.0,4.0,0.0,13.0,13.0,20.0,26.0,2.0,,,,85.0,53.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.34,0.09,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,84.61538461538461,44.44444444444444,50.0,,,2.0,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,
14015457,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,65.0,50.0,17.0,8.0,0.0,31.0,36.0,19.0,29.0,8.0,,,,85.0,79.0,7.3,17.0,,"{'original': 7.3, 'alternative': 7.1}",1,0.03,0.16,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,76.92307692307693,47.05882352941176,,100.0,,1.0,,3.0,3.0,8.0,,1.0,1.0,3.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,
14015457,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,57.0,48.0,12.0,8.0,0.0,15.0,18.0,33.0,39.0,4.0,,,,90.0,86.0,7.7,16.0,,"{'original': 7.7, 'alternative': 7.5}",3,0.29,0.29,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,9,1,84.21052631578947,66.66666666666666,20.0,66.66666666666666,,5.0,,1.0,1.0,10.0,1.0,4.0,1.0,2.0,1.0,5.0,0.02,,3.0,2.0,1.0,,1.0,,1.0,,,2.0,2.0,2.0,,,
14015457,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,22.0,20.0,1.0,1.0,0.0,8.0,8.0,12.0,14.0,1.0,,,,67.0,32.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.5}",1,0.16,0.38,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,90.9090909090909,100.0,,50.0,,1.0,,,4.0,1.0,,,,,,,0.14,,2.0,1.0,,2.0,,1.0,,,1.0,4.0,1.0,,,,
14015457,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,False,11.0,9.0,,,0.0,3.0,3.0,6.0,8.0,1.0,,,,58.0,24.0,6.1,8.0,,"{'original': 6.1, 'alternative': 6.5}",0,-0.16,0.01,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,10,5,1,4,81.81818181818183,,,,,1.0,7.0,3.0,11.0,4.0,,2.0,,1.0,1.0,,,1.0,,,,1.0,,2.0,,,,3.0,,,,,
14015457,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,10.0,9.0,,,1.0,2.0,2.0,7.0,8.0,2.0,,,,58.0,29.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.31,0.21,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,90.0,,66.66666666666666,50.0,,3.0,,,5.0,1.0,,1.0,,,,,-0.31,,2.0,1.0,,,2.0,4.0,,,,3.0,2.0,1.0,,,
14015457,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,12.0,9.0,3.0,1.0,0.0,3.0,3.0,6.0,9.0,1.0,,,,90.0,22.0,7.1,6.0,,"{'original': 7.1, 'alternative': 7.2}",2,-0.61,0.13,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,8,4,2,2,75.0,33.33333333333333,,50.0,,,5.0,3.0,7.0,5.0,,1.0,,,,1.0,0.51,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,
14015457,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,1.0,,,,32.0,13.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.01,-0.14,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,75.0,,,,,2.0,,1.0,4.0,3.0,,,,2.0,2.0,,0.0,,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,
14015457,away,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,9.0,8.0,1.0,,0.0,,,8.0,9.0,2.0,,,,32.0,17.0,6.9,3.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.28,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,88.88888888888889,,100.0,66.66666666666666,,2.0,1.0,,2.0,3.0,,,,,,1.0,,,3.0,2.0,1.0,,2.0,,,,,,3.0,,,,
14015457,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,8.0,5.0,,,0.0,2.0,2.0,3.0,6.0,1.0,,,,23.0,12.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.9}",2,-0.14,-0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,62.5,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,-0.55,,,,,,,,,1.0,1.0,,,,,,
14015457,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,True,6.0,5.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,1.0,,,,11.0,10.0,6.7,3.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.1,0.01,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,83.33333333333334,100.0,33.33333333333333,,,3.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,
14015457,away,5144,FK Javor Ivanjica,1126871,Benjamin Acquah,benjamin-acquah,M,17,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,11.0,2.0,6.7,,,"{'original': 6.7, 'alternative': 6.6}",0,0.01,-0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,203041,FK Javor Ivanjica,804833,Nemanja Krstić,nemanja-krstic,M,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,5160,FK Javor Ivanjica,145194,Leandro,leandro,D,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015457,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
