match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalClearance,wasFouled,fouls,keyPass,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,outfielderBlock,totalContest,shotOffTarget,blockedScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,dispossessed,interceptionWon,wonContest,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,punches
14015606,away,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,32.0,26.0,3.0,,0.0,19.0,24.0,7.0,8.0,3.0,,,,,74.0,46.0,5.8,6.0,57.184993705703,8.0,-5.8251585043225,0.0,,"{'original': 5.8, 'alternative': 6.4}",0,0.09,0.02,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,0,5,81.25,,,,,,,1.0,2.0,6.0,2.0,10.0,,4.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,
14015606,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,32.0,25.0,6.0,2.0,0.0,22.0,23.0,3.0,9.0,5.0,,,,,90.0,52.0,6.3,9.0,207.96149709392,22.0,-17.229450997365,1.0,,"{'original': 6.3, 'alternative': 6.7}",0,-0.02,0.06,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,5,2,78.125,33.33333333333333,,50.0,,,,2.0,1.0,4.0,6.0,6.0,4.0,1.0,,,,,1.0,1.0,2.0,,,22.068121279897,33.043371876974,,,1.0,1.0,,,,,
14015606,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,M,28,False,19.0,12.0,,,0.0,5.0,5.0,7.0,14.0,2.0,,,,,60.0,43.0,6.5,9.0,71.584751035617,9.0,41.343063769469,1.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.01,0.09,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,63.1578947368421,,,100.0,,,,2.0,1.0,6.0,5.0,3.0,1.0,2.0,,,1.0,1.0,,,2.0,,,9.5012130886263,10.830882927998,,2.0,,2.0,,,,,
14015606,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,48.0,41.0,3.0,2.0,1.0,19.0,21.0,22.0,27.0,9.0,,,,,90.0,56.0,6.8,8.0,145.49503529073,20.0,58.57163743281,0.0,,"{'original': 6.8, 'alternative': 6.5}",1,0.27,0.09,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,85.41666666666666,66.66666666666666,,,,,,1.0,2.0,2.0,3.0,2.0,1.0,,1.0,,,,,,1.0,,1.0,,,0.0,,2.0,,,,,,
14015606,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,29.0,27.0,2.0,1.0,0.0,11.0,11.0,16.0,18.0,3.0,,,,,60.0,40.0,6.8,6.0,97.864775683435,15.0,7.4328763626915,0.0,,"{'original': 6.8, 'alternative': 6.4}",0,0.29,-0.21,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,93.10344827586206,50.0,,,,3.0,,,,4.0,3.0,1.0,3.0,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,
14015606,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,M,33,False,28.0,22.0,2.0,1.0,0.0,13.0,16.0,9.0,12.0,2.0,,,,,90.0,51.0,6.5,16.0,119.63426840622,15.0,59.17766462713,0.0,,"{'original': 6.5, 'alternative': 6.4}",1,0.28,0.08,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,78.57142857142857,50.0,16.666666666666664,,,6.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,2.0,,1.0,,,,,-0.14,,,,1.0,,,,
14015606,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,20.0,14.0,1.0,,0.0,5.0,5.0,9.0,15.0,2.0,,,,,90.0,30.0,7.5,11.0,107.7212122384,12.0,63.120988833927,2.0,,"{'original': 7.5, 'alternative': 7.1}",1,-0.19,0.47,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,70.0,,,,,1.0,,1.0,,4.0,3.0,,3.0,2.0,,,,,3.0,,,,,10.935101253375,20.859093021755,0.51,1.0,,,1.0,1.0,,,
14015606,away,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,F,22,False,17.0,13.0,,,0.0,2.0,2.0,11.0,15.0,,,,,,74.0,29.0,6.4,10.0,83.21402077013,12.0,24.700854472089,2.0,,"{'original': 6.4, 'alternative': 6.7}",2,-0.16,0.15,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,76.47058823529412,,,50.0,,,,,,6.0,3.0,,1.0,3.0,,,,,3.0,,4.0,,,19.486990285576,28.922546602615,-0.26,1.0,,2.0,2.0,,,,
14015606,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,F,77,False,38.0,26.0,,,0.0,7.0,10.0,19.0,28.0,3.0,,,,,82.0,44.0,6.5,15.0,174.02927277426,20.0,64.016549764451,3.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.59,0.37,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,68.42105263157895,,,,,,,1.0,3.0,2.0,5.0,1.0,2.0,,1.0,,,,2.0,,1.0,,,16.476058598947,44.535098332304,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,885516,Veljko Kijevčanin,veljko-kijevcanin,M,5,True,15.0,12.0,,,0.0,5.0,5.0,7.0,10.0,2.0,,,,,30.0,19.0,6.7,6.0,27.635394857707,4.0,23.208040261482,0.0,,"{'original': 6.7, 'alternative': 6.6}",0,-0.04,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
14015606,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,19.0,17.0,2.0,2.0,0.0,6.0,6.0,11.0,13.0,4.0,,,,,30.0,39.0,7.2,10.0,162.74404053146,17.0,43.368073191038,1.0,,"{'original': 7.2, 'alternative': 7.2}",1,0.13,0.13,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,89.47368421052632,100.0,25.0,,,4.0,1.0,1.0,1.0,3.0,6.0,,3.0,1.0,1.0,,3.0,3.0,4.0,1.0,1.0,,1.0,24.346173928843,29.325305948958,0.0,,,,,,,,
14015606,away,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,8.0,5.0,,,0.0,3.0,3.0,2.0,5.0,1.0,,,,,16.0,11.0,6.5,4.0,63.467638608465,3.0,51.996635617924,1.0,,"{'original': 6.5, 'alternative': 6.6}",1,-0.13,0.09,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,62.5,,,,,,,1.0,,2.0,,,,,,,,,,,,,,54.036697462943,54.935373312648,-0.04,1.0,,,1.0,,,,
14015606,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,True,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,,,,,,16.0,5.0,6.7,1.0,19.011746737388,2.0,10.056044119381,0.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.13,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,66.66666666666666,50.0,,,,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,8.0,3.0,6.4,1.0,3.0556048501074,1.0,-2.1169874914245,0.0,,"{'original': 6.4, 'alternative': 6.7}",0,-0.25,0.09,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,50.0,,,,,,,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
14015606,away,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015606,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
