match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,interceptionWon,wasFouled,fouls,keyPass,aerialLost,dispossessed,outfielderBlock,errorLeadToAShot,bigChanceCreated,totalTackle,wonTackle,unsuccessfulTouch,bestBallCarryProgression,totalProgressiveBallCarriesDistance,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,shotValueNormalized,goals
14015586,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,12.0,8.0,1.0,1.0,0.0,3.0,4.0,5.0,8.0,1.0,,,,,,72.0,22.0,7.2,8.0,17.928242036296,4.0,-0.021238499937674,0.0,,"{'original': 7.2, 'alternative': 7.2}",1,-0.19,0.04,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,66.66666666666666,100.0,,,,,,,3.0,1.0,,1.0,,1.0,2.0,,,,,,,4.0,,,1.0,,,,,1.0,,1.0,0.49,1.0
14015586,home,5152,FK Partizan,39733,Sebastian Polter,sebastian-polter,F,91,True,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,,,,,,,18.0,7.0,6.5,5.0,17.873088261002,3.0,-14.697110533484,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.09,-0.35,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,50.0,,,,,,,2.0,2.0,2.0,,,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,
14015586,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,8.0,5.0,,,0.0,5.0,5.0,,3.0,,1.0,,,,,17.0,10.0,6.3,4.0,15.645046659057,2.0,9.4343343486076,0.0,,"{'original': 6.3, 'alternative': 6.3}",0,-0.13,0.01,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,62.5,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
14015586,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,,9.0,4.0,6.5,2.0,,,,,,"{'original': 6.5, 'alternative': 6.7}",1,-0.04,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,50.0,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,0.04,
14015586,home,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,,,9.0,2.0,6.7,,,,,,,"{'original': 6.7, 'alternative': 6.5}",0,-0.01,,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,1.0,,,,0.0,,1.0,,,3.0,,,,,,9.0,5.0,6.9,1.0,,,,,,"{'original': 6.9, 'alternative': 6.7}",0,-0.02,,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,home,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015586,home,37125,FK Partizan,2235877,Marko Lekić,marko-lekic,F,46,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
