match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt,bigChanceMissed,hitWoodwork
14147408,away,7581,FK Bokelj Kotor,1030491,Nemanja Đurović,nemanja-durovic,D,5,False,9.0,8.0,2.0,1.0,0.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,16.0,9.0,6.8,1.0,0.0,0.16,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,50.0,,,,,1.0,,,,
14147408,away,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,68.0,63.0,5.0,3.0,0.0,49.0,49.0,14.0,19.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,72.0,6.8,4.0,0.0,0.03,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,92.64705882352942,60.0,,,,,1.0,,,,
14147408,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,49.0,37.0,7.0,4.0,0.0,16.0,18.0,19.0,29.0,2.0,0.0,0.0,2.0,4.0,7.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,59.0,7.1,18.0,0.04,0.11,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,75.51020408163265,57.14285714285714,0.0,50.0,,,1.0,1.0,,,
14147408,away,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,False,41.0,31.0,3.0,1.0,0.0,13.0,15.0,18.0,26.0,1.0,1.0,1.0,0.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,67.0,56.0,6.4,9.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,4,11,75.60975609756098,33.33333333333333,100.0,0.0,,,,,,,
14147408,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,66.0,52.0,8.0,3.0,0.0,23.0,23.0,26.0,40.0,1.0,0.0,1.0,2.0,12.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,82.0,7.3,16.0,0.43,0.0,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,3,11,78.78787878787878,37.5,0.0,,,,,2.0,,,
14147408,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,28.0,20.0,2.0,1.0,0.0,5.0,6.0,15.0,22.0,4.0,1.0,1.0,0.0,8.0,7.0,2.0,5.0,5.0,1.0,0.0,2.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,45.0,7.2,7.0,0.35,0.39,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,7,7,71.42857142857143,50.0,25.0,100.0,,,3.0,,,1.0,
14147408,away,7581,FK Bokelj Kotor,572018,Velizar Janketić,velizar-janketic,M,7,False,35.0,24.0,3.0,1.0,0.0,8.0,10.0,16.0,25.0,3.0,0.0,1.0,0.0,6.0,7.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,90.0,57.0,7.1,13.0,0.14,0.04,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,68.57142857142857,33.33333333333333,0.0,100.0,,,1.0,,1.0,,
14147408,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,24.0,17.0,1.0,0.0,0.0,4.0,5.0,13.0,19.0,1.0,0.0,3.0,0.0,14.0,5.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,49.0,6.8,10.0,0.15,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,5,11,70.83333333333334,0.0,0.0,100.0,,2.0,,1.0,1.0,,
14147408,away,7581,FK Bokelj Kotor,1595583,Balša Radević,balsa-radevic,F,27,False,16.0,12.0,2.0,0.0,0.0,4.0,5.0,7.0,10.0,1.0,0.0,1.0,1.0,10.0,7.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,78.0,31.0,6.5,6.0,0.16,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,6,9,75.0,0.0,0.0,50.0,,1.0,,,1.0,,
14147408,away,241802,FK Bokelj Kotor,57463,Saša Balić,sasa-balic,D,34,True,51.0,45.0,2.0,1.0,0.0,34.0,35.0,10.0,15.0,2.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,74.0,61.0,6.6,9.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,88.23529411764706,50.0,50.0,,,,,,,,
14147408,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,True,15.0,10.0,2.0,1.0,0.0,,,10.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,23.0,23.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,66.66666666666666,50.0,,0.0,,,,,,,
14147408,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,D,16,True,7.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.0,14.0,6.5,5.0,0.03,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,57.14285714285714,0.0,0.0,100.0,,,,1.0,,,1.0
14147408,away,7581,FK Bokelj Kotor,227396,Šaleta Kordić,saleta-kordic,F,9,True,5.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,12.0,6.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,60.0,,,,,,,,,,
14147408,away,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147408,away,241802,FK Bokelj Kotor,2081152,Andrej Kumburovic,andrej-kumburovic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147408,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147408,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147408,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
