match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceMissed,blockedScoringAttempt,keyPass,shotOffTarget,bigChanceCreated,dispossessed,penaltyWon,savedShotsFromInsideTheBox,penaltyConceded,hitWoodwork
14147352,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,17.0,13.0,11.0,7.0,0.0,8.0,8.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,90.0,21.0,6.6,7.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.47058823529412,63.63636363636363,,,0.0,,,,,,,,4.0,,
14147352,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,D,77,False,30.0,18.0,6.0,1.0,0.0,9.0,10.0,9.0,19.0,2.0,1.0,2.0,0.0,10.0,5.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,,,,,,84.0,44.0,5.9,15.0,0.16,0.2,"{'original': 5.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,5,8,60.0,16.666666666666664,50.0,100.0,,,,1.0,1.0,,2.0,,,,
14147352,away,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,25.0,20.0,3.0,1.0,0.0,13.0,14.0,7.0,11.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,34.0,34.0,5.4,4.0,0.0,0.0,"{'original': 5.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,80.0,33.33333333333333,,,,,,,,,,,,1.0,
14147352,away,37956,FK Arsenal Tivat,58157,Jovan Nikolić,jovan-nikolic,D,4,False,41.0,32.0,5.0,1.0,0.0,23.0,25.0,8.0,14.0,0.0,0.0,2.0,3.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,56.0,6.4,11.0,0.02,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,4,8,78.04878048780488,20.0,,,,,,,1.0,,,,,,
14147352,away,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,48.0,44.0,1.0,0.0,0.0,25.0,25.0,17.0,21.0,1.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,57.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,1,7,91.66666666666666,0.0,0.0,100.0,,,,,,,,,,,
14147352,away,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,D,13,False,56.0,44.0,11.0,6.0,1.0,20.0,24.0,24.0,32.0,7.0,3.0,0.0,0.0,11.0,7.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,76.0,6.8,12.0,0.07,0.34,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,7,11,78.57142857142857,54.54545454545454,42.857142857142854,62.5,,,,2.0,1.0,1.0,,,,,
14147352,away,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,13.0,11.0,1.0,0.0,0.0,3.0,3.0,8.0,10.0,0.0,0.0,1.0,1.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,23.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,4,12,84.61538461538461,0.0,,,,,,1.0,,,1.0,,,,
14147352,away,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,38.0,28.0,2.0,0.0,0.0,11.0,15.0,16.0,22.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,70.0,51.0,6.9,9.0,0.06,0.0,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,73.68421052631578,0.0,0.0,100.0,,,,,2.0,,,,,,1.0
14147352,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,42.0,32.0,5.0,1.0,0.0,13.0,15.0,18.0,25.0,1.0,0.0,6.0,1.0,14.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,90.0,52.0,6.5,16.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,5,8,76.19047619047619,20.0,0.0,100.0,,,,,,,,,,,
14147352,away,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,False,22.0,17.0,1.0,0.0,0.0,13.0,14.0,4.0,8.0,0.0,0.0,2.0,0.0,13.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,61.0,33.0,6.7,9.0,0.57,0.0,"{'original': 6.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,1,11,77.27272727272727,0.0,,0.0,,,2.0,,,,1.0,,,,
