match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,dispossessed,blockedScoringAttempt,keyPass,penaltyConceded,penaltyWon
14147363,away,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,36.0,31.0,4.0,2.0,0.0,25.0,27.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,64.0,44.0,6.7,5.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,86.11111111111111,50.0,,,,6.0,,,,,,
14147363,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,21.0,16.0,3.0,2.0,0.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0,1.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,57.0,25.0,6.3,8.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,2,12,76.19047619047619,66.66666666666666,,0.0,,7.0,3.0,,,,,
14147363,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,False,33.0,28.0,3.0,2.0,0.0,15.0,16.0,14.0,0.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,44.0,6.8,7.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,4,10,84.84848484848484,66.66666666666666,,,,11.0,3.0,,,,,
14147363,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,48.0,44.0,7.0,4.0,0.0,28.0,28.0,16.0,2.0,2.0,2.0,2.0,12.0,7.0,1.0,2.0,2.0,,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,90.0,66.0,7.4,9.0,0.0,0.06,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,5,10,91.66666666666666,57.14285714285714,100.0,100.0,,12.0,5.0,1.0,,1.0,,
14147363,away,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,False,18.0,12.0,0.0,0.0,0.0,4.0,5.0,13.0,2.0,0.0,2.0,1.0,10.0,10.0,0.0,9.0,6.0,2.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,,90.0,50.0,7.6,11.0,0.53,0.0,"{'original': 7.6, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,9,8,66.66666666666666,,0.0,66.66666666666666,,8.0,1.0,2.0,,,,
14147363,away,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,False,34.0,29.0,4.0,2.0,0.0,14.0,15.0,19.0,0.0,0.0,0.0,1.0,9.0,10.0,1.0,2.0,1.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,,,,,,71.0,53.0,6.7,4.0,0.02,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,9,9,85.29411764705883,50.0,,50.0,,15.0,,,1.0,,,
14147363,away,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,15.0,10.0,1.0,0.0,0.0,2.0,2.0,13.0,1.0,0.0,1.0,1.0,11.0,6.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,71.0,33.0,6.5,9.0,0.05,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,5,10,66.66666666666666,0.0,0.0,50.0,,8.0,,1.0,1.0,1.0,,
14147363,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,F,77,False,19.0,12.0,0.0,0.0,0.0,4.0,5.0,14.0,0.0,0.0,1.0,1.0,13.0,5.0,0.0,3.0,2.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,57.0,40.0,6.5,13.0,0.0,0.04,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,4,12,63.1578947368421,,,66.66666666666666,,8.0,,3.0,1.0,1.0,,
14147363,away,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,True,5.0,5.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,33.0,12.0,7.0,1.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,100.0,,,0.0,,1.0,1.0,,,,,1.0
14147363,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,True,9.0,6.0,1.0,0.0,0.0,,2.0,7.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,33.0,17.0,7.2,7.0,0.89,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,66.66666666666666,0.0,,100.0,,6.0,,,,,,
14147363,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,9.0,7.0,2.0,1.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,26.0,13.0,6.9,4.0,0.0,0.22,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,77.77777777777779,50.0,,100.0,,4.0,1.0,,,1.0,,
14147363,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,True,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,19.0,4.0,6.7,1.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,100.0,0.0,,1.0,,,,,,
14147363,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,True,2.0,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,19.0,9.0,6.6,5.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,50.0,0.0,,100.0,,1.0,,1.0,,,,
14147363,away,327162,Mladost DG,1423524,Ognjen Milović,ognjen-milovic,G,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,away,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,away,6225,Mladost DG,804420,Zeljko Krstovic,zeljko-krstovic,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
14147363,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,
