match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,aerialLost,dispossessed,outfielderBlock,wasFouled,fouls,totalContest,wonContest,penaltyConceded,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,bigChanceCreated,shotOffTarget,hitWoodwork,goals,punches,totalOffside
14015485,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,M,4,False,18.0,13.0,1.0,,0.0,6.0,6.0,7.0,12.0,3.0,,,,,62.0,28.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.6}",1,-0.1,0.14,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,4,1,72.22222222222221,,,,,1.0,1.0,5.0,5.0,1.0,,,2.0,2.0,1.0,,4.0,,,2.0,,,,,,,,-0.26,,1.0,,,,1.0
14015485,away,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,14.0,10.0,1.0,,0.0,5.0,5.0,5.0,9.0,3.0,,,,,57.0,23.0,6.0,10.0,,"{'original': 6, 'alternative': 6.2}",1,-0.46,0.33,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,71.42857142857143,,,,,,,5.0,,1.0,1.0,,,,3.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,-0.16,,,,,,
14015485,away,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,18.0,16.0,,,0.0,9.0,9.0,7.0,9.0,3.0,,,,,90.0,36.0,8.0,11.0,,"{'original': 8, 'alternative': 8.2}",3,-0.18,-0.55,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,88.88888888888889,,,50.0,,,1.0,4.0,3.0,,1.0,,,,8.0,,3.0,,,1.0,,2.0,1.0,,,3.0,,0.69,,,,2.0,,1.0
14015485,away,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,True,33.0,30.0,5.0,3.0,0.0,15.0,16.0,15.0,17.0,1.0,,,,,45.0,42.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.07,0.11,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,90.9090909090909,60.0,,100.0,,,,,3.0,,2.0,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,-0.05,,1.0,,,,
14015485,away,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,12.0,12.0,,,0.0,2.0,2.0,10.0,10.0,,,,,,33.0,22.0,6.5,5.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.03,0.11,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,100.0,,,,,3.0,,3.0,2.0,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,12.0,7.0,,,0.0,1.0,1.0,6.0,11.0,1.0,,,,,28.0,21.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.9}",1,-0.24,0.12,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,58.333333333333336,,,,,2.0,,1.0,1.0,,,1.0,,,3.0,1.0,,1.0,,1.0,,,,,,,,-0.22,,1.0,,,,
14015485,away,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,True,42.0,36.0,5.0,1.0,0.0,4.0,5.0,32.0,37.0,1.0,,,,,28.0,51.0,7.1,10.0,,"{'original': 7.1, 'alternative': 6.8}",1,0.45,0.2,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,85.71428571428571,20.0,33.33333333333333,100.0,,3.0,,1.0,2.0,,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,-0.03,,,,,,
14015485,away,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,20.0,4.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.8}",2,0.01,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,100.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,-0.4,,2.0,,,,
14015485,away,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,away,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,away,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,away,229348,FK Radnik Surdulica,1982078,Uroš Filimonović,uros-filimonovic,M,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
