match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,unsuccessfulTouch,onTargetScoringAttempt,goals,outfielderBlock,shotValueNormalized,bigChanceCreated,keyPass,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalOffside,totalCross,blockedScoringAttempt,accurateCross,wonContest,shotOffTarget,clearanceOffLine,errorLeadToAShot,bigChanceMissed
14015605,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,9.0,4.0,,,0.0,1.0,1.0,3.0,8.0,3.0,,,,,,,67.0,28.0,7.1,12.0,34.377861977625,4.0,-13.872340647886,0.0,,"{'original': 7.1, 'alternative': 7}",3,0.29,-0.12,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,2,2,44.44444444444444,,,100.0,,3.0,4.0,5.0,6.0,,2.0,1.0,,,,1.0,1.0,5.0,1.0,,,-0.19,,,,,,,,,1.0,2.0,,,
14015605,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,7.0,6.0,,,0.0,5.0,5.0,1.0,2.0,,3.0,,,,,,23.0,19.0,7.1,6.0,69.389909395097,8.0,23.001633422203,2.0,,"{'original': 7.1, 'alternative': 6.6}",0,-0.17,0.47,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,85.71428571428571,,,50.0,,,,4.0,4.0,1.0,1.0,4.0,,1.0,,1.0,,1.0,,,,,,1.0,21.241955120865,36.365282592561,,1.0,,,2.0,,,,
14015605,home,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,True,3.0,1.0,,,0.0,,,1.0,3.0,,,,,,,,23.0,6.0,6.4,3.0,5.7493655302129,1.0,-5.5704590656113,0.0,,"{'original': 6.4, 'alternative': 6.5}",0,-0.08,-0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,33.33333333333333,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,,,,13.0,4.0,6.6,,,,,,,"{'original': 6.6, 'alternative': 6.6}",0,-0.03,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,4.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,,,,,,,,1.0,4.0,,,9.9991758843828,2.0,-2.6790410856266,0.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,3.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015605,home,39404,FK Novi Pazar,2468591,Haris Alic,haris-alic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,796184,Anes Rušević,anes-rusevic,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,home,418770,FK Novi Pazar,1981820,Ersan Mavric,ersan-mavric,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,34.0,27.0,9.0,2.0,0.0,25.0,28.0,2.0,6.0,,9.0,,1.0,3.0,,,90.0,44.0,6.4,7.0,101.86734841639,17.0,67.866808636614,0.0,0.158,"{'original': 6.4, 'alternative': 6.5}",0,0.02,0.02,-0.17,0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,79.41176470588235,22.22222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015605,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,33.0,23.0,6.0,3.0,0.0,12.0,14.0,11.0,19.0,3.0,6.0,,,,,,90.0,79.0,7.3,20.0,142.06959658014,21.0,78.548013428197,0.0,,"{'original': 7.3, 'alternative': 7.1}",0,0.01,0.08,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,69.6969696969697,50.0,,66.66666666666666,,1.0,,6.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,,1.0,,,1.0,,,,,,,4.0,,,2.0,,1.0,,
14015605,away,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,66.0,55.0,12.0,5.0,0.0,38.0,40.0,17.0,26.0,7.0,6.0,,,,,,90.0,82.0,6.3,12.0,296.49981050356,31.0,143.10443992456,1.0,,"{'original': 6.3, 'alternative': 6.3}",0,0.21,0.12,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,83.33333333333334,41.66666666666667,,,,1.0,3.0,3.0,4.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,26.856918417907,28.020000642398,,,,,,,,1.0,
14015605,away,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,81.0,65.0,18.0,8.0,0.0,44.0,47.0,21.0,34.0,8.0,2.0,,,,,,90.0,98.0,6.9,16.0,304.44649428953,38.0,125.59573495709,2.0,,"{'original': 6.9, 'alternative': 6.9}",2,0.35,0.19,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,4,1,80.24691358024691,44.44444444444444,,100.0,,1.0,2.0,2.0,6.0,1.0,,2.0,,2.0,2.0,,,,1.0,,,-0.16,,,21.970280016391,41.394323179656,,,,,2.0,1.0,,,1.0
14015605,away,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,False,52.0,39.0,7.0,3.0,0.0,20.0,28.0,19.0,24.0,2.0,7.0,,,,,,90.0,70.0,7.0,14.0,113.2349948849,18.0,38.27889081782,0.0,,"{'original': 7, 'alternative': 6.6}",0,-0.02,0.09,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,75.0,42.857142857142854,,50.0,,1.0,3.0,2.0,6.0,,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,
14015605,away,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,48.0,37.0,7.0,2.0,0.0,23.0,25.0,14.0,23.0,1.0,,,,,,,66.0,56.0,6.4,14.0,240.18466131103,24.0,121.62734446584,4.0,,"{'original': 6.4, 'alternative': 6.7}",1,0.13,0.13,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,77.08333333333334,28.57142857142857,,,,2.0,2.0,4.0,2.0,,,1.0,,,,,1.0,,,,,-0.06,,2.0,24.162645695381,98.956288039017,,1.0,,,,1.0,,,
14015605,away,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,22.0,20.0,2.0,1.0,0.0,11.0,11.0,9.0,11.0,,5.0,,,,,,45.0,30.0,6.7,6.0,43.443958932016,7.0,-17.282103042678,0.0,,"{'original': 6.7, 'alternative': 6.9}",1,0.12,-0.1,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,90.9090909090909,50.0,,,,,,,1.0,,,,,,,1.0,,,,,,-0.11,,1.0,,,,4.0,,,,1.0,,,
