match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,savedShotsFromInsideTheBox,bigChanceMissed,bigChanceCreated
15280998,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,28.0,27.0,10.0,9.0,0.0,19.0,19.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,90.0,32.0,6.8,3.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,96.42857142857143,90.0,,,0.0,,,,,,,,
15280998,home,6216,OFK Petrovac,101141,Marko Roganović,marko-roganovic,D,99,False,23.0,17.0,7.0,3.0,0.0,9.0,10.0,6.0,11.0,1.0,1.0,0.0,1.0,5.0,8.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,59.0,32.0,6.8,9.0,0.0,0.23,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,7,5,73.91304347826086,42.857142857142854,100.0,100.0,,1.0,1.0,,,,,,
15280998,home,6216,OFK Petrovac,55534,Aleksandar Kapisoda,aleksandar-kapisoda,D,5,False,31.0,27.0,2.0,1.0,0.0,22.0,25.0,5.0,6.0,0.0,0.0,0.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,34.0,6.6,7.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,87.09677419354838,50.0,,,,2.0,,,,,,,
15280998,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,58.0,48.0,11.0,7.0,0.0,40.0,44.0,7.0,13.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,90.0,67.0,7.1,14.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,82.75862068965517,63.63636363636363,,,,2.0,,,,,,,
15280998,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,32.0,25.0,7.0,3.0,1.0,11.0,12.0,14.0,20.0,3.0,2.0,0.0,1.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,,,,,,90.0,47.0,7.1,17.0,0.0,0.19,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,78.125,42.857142857142854,66.66666666666666,,,,1.0,,,,,,
15280998,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,34.0,22.0,2.0,1.0,0.0,12.0,16.0,8.0,16.0,1.0,0.0,4.0,1.0,16.0,5.0,3.0,5.0,4.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,48.0,6.5,15.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,5,16,4,12,64.70588235294117,50.0,0.0,80.0,,2.0,1.0,1.0,,,,,
15280998,home,241802,OFK Petrovac,1606688,Nikola Balević,nikola-balevic,M,14,False,33.0,27.0,7.0,2.0,0.0,17.0,18.0,9.0,14.0,0.0,0.0,2.0,3.0,7.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,85.0,39.0,7.0,10.0,0.05,0.04,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,5,10,5,5,81.81818181818183,28.57142857142857,,100.0,,2.0,1.0,,,,,,
15280998,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,22.0,13.0,0.0,0.0,0.0,11.0,16.0,1.0,5.0,1.0,0.0,2.0,1.0,12.0,7.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,90.0,40.0,7.2,13.0,0.48,0.0,"{'original': 7.2, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,6,10,59.09090909090909,,0.0,50.0,,,,1.0,1.0,,,,
15280998,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,24.0,19.0,1.0,1.0,0.0,12.0,14.0,7.0,10.0,1.0,0.0,2.0,0.0,15.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,,,,,85.0,49.0,6.3,11.0,0.11,0.0,"{'original': 6.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,2,20,7,13,79.16666666666666,100.0,0.0,100.0,,,,1.0,2.0,1.0,,,
15280998,home,6216,OFK Petrovac,979046,Nemanja Belaković,nemanja-belakovic,M,11,False,29.0,19.0,5.0,1.0,1.0,11.0,14.0,7.0,14.0,2.0,1.0,0.0,5.0,12.0,11.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,,,,,,90.0,45.0,7.2,22.0,0.0,0.24,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,5,18,6,12,65.51724137931035,20.0,50.0,66.66666666666666,,2.0,1.0,,,,,,
15280998,home,6216,OFK Petrovac,1164363,Boban Đorđević,boban-dordevic,F,9,False,9.0,7.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,0.0,0.0,6.0,2.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,55.0,18.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,2,6,77.77777777777779,,,,,,,1.0,,,,,
15280998,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,F,17,True,7.0,4.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,35.0,16.0,6.4,6.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,57.14285714285714,0.0,,0.0,,,,1.0,,,,,
15280998,home,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,F,98,True,5.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,31.0,8.0,7.2,1.0,0.19,0.01,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,80.0,,,,,,1.0,,,,,,
15280998,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5.0,,6.3,1.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,
15280998,home,6216,OFK Petrovac,1218114,Strahinja Tešović,strahinja-tesovic,F,32,True,2.0,1.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5.0,5.0,7.5,3.0,0.14,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,50.0,,,100.0,,,,,,,,,
15280998,home,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
15280998,home,43979,OFK Petrovac,1149277,Janko Vukićević,janko-vukicevic,D,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
