match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,shotOffTarget,dispossessed,hitWoodwork,blockedScoringAttempt
14147366,away,464804,FK Jezero,1218103,Hiroki Harada,hiroki-harada,M,10,False,43.0,33.0,3.0,2.0,0.0,17.0,19.0,16.0,24.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,77.0,50.0,6.6,6.0,0.12,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,1,10,76.74418604651163,66.66666666666666,0.0,100.0,,,1.0,,,1.0
14147366,away,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,27.0,20.0,1.0,1.0,0.0,4.0,7.0,15.0,18.0,3.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,90.0,44.0,7.1,11.0,0.01,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,4,6,74.07407407407408,100.0,0.0,100.0,,,1.0,,,
14147366,away,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,F,45,False,36.0,25.0,1.0,0.0,0.0,6.0,8.0,19.0,28.0,0.0,0.0,2.0,1.0,11.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,,,,,,90.0,56.0,6.7,15.0,0.01,0.04,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,4,9,69.44444444444444,0.0,,50.0,,1.0,,,,1.0
14147366,away,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,13.0,8.0,0.0,0.0,0.0,3.0,4.0,5.0,9.0,1.0,0.0,2.0,3.0,17.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,,,,,,82.0,31.0,6.5,14.0,0.22,0.17,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,2,15,61.53846153846154,,0.0,100.0,,1.0,,3.0,,1.0
14147366,away,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,True,15.0,13.0,3.0,3.0,0.0,4.0,5.0,9.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,13.0,21.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,86.66666666666667,100.0,100.0,,,,,,,
14147366,away,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,True,9.0,9.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,13.0,15.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,100.0,,100.0,,,,,,,
14147366,away,24312,FK Jezero,196634,Ognjen Rolović,ognjen-rolovic,F,19,True,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8.0,2.0,6.4,1.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,,,,,
14147366,away,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,away,24312,FK Jezero,1648555,Meldin Kojić,meldin-kojic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,away,24312,FK Jezero,1393483,Mihailo Ilić,mihailo-ilic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,away,829702,FK Jezero,1161888,Dželal Šabović,dzelal-sabovic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,away,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147366,away,24312,FK Jezero,1190522,Imran Redžepagić,imran-redzepagic,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
