match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,outfielderBlock,unsuccessfulTouch,fouls,aerialWon,duelWon,wasFouled,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalContest,wonContest,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,interceptionWon,wonTackle,totalOffside,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,shotOffTarget,hitWoodwork,errorLeadToAShot,totalKeeperSweeper,accurateKeeperSweeper
14015624,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,home,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,31.0,21.0,12.0,3.0,0.0,19.0,20.0,2.0,11.0,,7.0,2.0,2.0,3.0,90.0,39.0,6.2,10.0,86.204790798189,13.0,32.997728316739,0.0,0.2891,"{'original': 6.2, 'alternative': 6.2}",0,0.07,-0.06,-0.27,0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,67.74193548387096,25.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
14015624,away,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,D,19,False,39.0,34.0,1.0,,0.0,22.0,25.0,12.0,14.0,1.0,3.0,,,,77.0,62.0,6.0,13.0,109.17035157814,12.0,44.77953497292,1.0,,"{'original': 6, 'alternative': 6.3}",0,-0.31,0.01,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,87.17948717948718,,,33.33333333333333,,,,,7.0,,,1.0,2.0,,5.0,2.0,2.0,46.459371889438,49.14351351908,3.0,1.0,,,,,1.0,2.0,,3.0,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,89.0,76.0,14.0,6.0,0.0,39.0,41.0,37.0,48.0,8.0,4.0,,,,90.0,101.0,6.9,14.0,328.82548508178,37.0,164.68257420078,2.0,,"{'original': 6.9, 'alternative': 6.6}",0,0.48,0.13,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,85.39325842696628,42.857142857142854,,,,,,2.0,4.0,,1.0,,1.0,3.0,4.0,1.0,,26.500983518027,44.839624396331,1.0,,,,,,1.0,,,,,,,,,1.0,,
14015624,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,92.0,81.0,12.0,4.0,0.0,50.0,54.0,31.0,38.0,6.0,3.0,,,,90.0,99.0,5.8,11.0,162.4034700809,26.0,39.29622690142,0.0,,"{'original': 5.8, 'alternative': 6.2}",0,0.26,0.01,-0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,88.04347826086956,33.33333333333333,,,,,,2.0,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,40.0,38.0,3.0,2.0,0.0,20.0,21.0,18.0,19.0,2.0,2.0,,,,78.0,52.0,6.1,6.0,165.35527742859,17.0,80.259038586829,2.0,,"{'original': 6.1, 'alternative': 6.5}",1,-0.09,0.09,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,95.0,66.66666666666666,,,,3.0,,,2.0,,,,1.0,2.0,2.0,,,24.50221979364,54.013721511979,,,1.0,,1.0,-0.07,,,,1.0,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,46.0,39.0,5.0,1.0,0.0,25.0,26.0,14.0,20.0,2.0,5.0,,,,90.0,55.0,6.6,9.0,135.83042586126,15.0,66.949788257264,1.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.07,0.21,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,3,0,84.78260869565217,20.0,,,,,,3.0,3.0,,1.0,2.0,,,3.0,1.0,2.0,24.111414538178,25.227229752789,,,,,,,,1.0,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,2239937,Simão Pedro,simao-pedro,M,10,False,22.0,19.0,3.0,1.0,0.0,5.0,5.0,14.0,17.0,,,,,,78.0,44.0,6.5,9.0,129.25512800422,18.0,62.857138784282,2.0,,"{'original': 6.5, 'alternative': 7.1}",1,-0.14,0.27,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,86.36363636363636,33.33333333333333,66.66666666666666,100.0,,9.0,6.0,2.0,2.0,,,2.0,,,3.0,2.0,,12.406055754357,27.031059800129,1.0,1.0,1.0,,1.0,-0.13,,,,,,,,,,,,
14015624,away,282203,FK Železničar Pančevo,1513253,Clement Lhernault,clement-lhernault,M,88,False,65.0,64.0,5.0,5.0,0.0,27.0,27.0,37.0,38.0,,6.0,,,,78.0,87.0,6.9,17.0,211.00646601229,24.0,10.513844443089,0.0,,"{'original': 6.9, 'alternative': 7.1}",0,0.18,0.17,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,98.46153846153847,100.0,,100.0,,10.0,,1.0,2.0,,,5.0,,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,
