match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt,hitWoodwork
14147340,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,F,11,False,17.0,14.0,1.0,1.0,0.0,4.0,4.0,10.0,13.0,0.0,0.0,6.0,1.0,18.0,10.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,38.0,7.4,11.0,0.47,0.06,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",28,7,21,9,12,82.35294117647058,100.0,,100.0,,2.0,,1.0,1.0,
14147340,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,True,21.0,15.0,2.0,0.0,0.0,4.0,5.0,11.0,15.0,1.0,1.0,0.0,1.0,16.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,70.0,42.0,6.9,13.0,0.16,0.16,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,5,16,71.42857142857143,0.0,100.0,100.0,,3.0,,2.0,,
14147340,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,7.0,5.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,26.0,15.0,6.8,3.0,0.06,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,71.42857142857143,,,66.66666666666666,,,1.0,,,
14147340,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,True,11.0,7.0,0.0,0.0,0.0,,,7.0,10.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,11.0,16.0,6.6,5.0,0.0,0.12,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,63.63636363636363,,,100.0,,,,1.0,,
14147340,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,7.0,6.8,5.0,0.0,0.2,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,100.0,,100.0,50.0,,1.0,,1.0,,
14147340,home,1138707,FK Mornar Bar,2291148,Vuk Šćepanović,vuk-scepanovic,G,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,home,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,home,36019,FK Mornar Bar,798005,Marko Vučić,marko-vucic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,home,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,21.0,17.0,7.0,3.0,0.0,16.0,17.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,90.0,24.0,7.7,3.0,0.0,0.0,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.95238095238095,42.857142857142854,,,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,31.0,24.0,1.0,0.0,0.0,9.0,10.0,11.0,17.0,3.0,1.0,3.0,1.0,11.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,41.0,6.5,13.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,4,13,5,8,77.41935483870968,0.0,33.33333333333333,0.0,,1.0,,,,
14147340,away,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,47.0,40.0,4.0,2.0,0.0,25.0,27.0,14.0,19.0,1.0,1.0,1.0,2.0,13.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,,,,,,,90.0,63.0,6.8,5.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,3,12,85.1063829787234,50.0,100.0,100.0,,,,,,
14147340,away,6224,FK Sutjeska Nikšić,1063207,Radoš Dedić,rados-dedic,D,6,False,35.0,34.0,1.0,1.0,0.0,27.0,28.0,6.0,6.0,0.0,0.0,2.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,46.0,6.7,6.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,1,8,97.14285714285714,100.0,,,,1.0,,,,
14147340,away,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,37.0,26.0,6.0,3.0,0.0,9.0,13.0,17.0,24.0,3.0,2.0,0.0,1.0,5.0,9.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,,,,,,,90.0,55.0,7.2,16.0,0.03,0.14,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,8,5,70.27027027027027,50.0,66.66666666666666,66.66666666666666,,,,2.0,,
14147340,away,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,44.0,27.0,12.0,4.0,0.0,8.0,10.0,18.0,30.0,0.0,0.0,5.0,3.0,16.0,13.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,,,,,,,90.0,66.0,7.1,18.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",29,8,21,10,11,61.36363636363637,33.33333333333333,,50.0,,,2.0,,,
14147340,away,315641,FK Sutjeska Nikšić,1134549,Mamadou Camara,mamadou-camara,M,27,False,25.0,21.0,4.0,4.0,0.0,11.0,11.0,10.0,13.0,0.0,0.0,0.0,1.0,11.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,64.0,34.0,6.8,8.0,0.03,0.07,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,6,11,84.0,100.0,,100.0,,2.0,,1.0,1.0,
14147340,away,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,False,13.0,7.0,3.0,2.0,0.0,1.0,1.0,6.0,12.0,2.0,2.0,1.0,1.0,8.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,73.0,26.0,6.9,14.0,0.07,0.06,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,53.84615384615385,66.66666666666666,100.0,50.0,,1.0,1.0,2.0,,
