match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,dispossessed,keyPass,blockedScoringAttempt,bigChanceMissed,bigChanceCreated,penaltyWon
14147309,away,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,15.0,11.0,8.0,5.0,0.0,6.0,6.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,90.0,19.0,7.9,10.0,0.0,0.0,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,73.33333333333333,62.5,,,0.0,,,,,,,
14147309,away,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,43.0,31.0,3.0,1.0,0.0,13.0,15.0,14.0,23.0,3.0,0.0,3.0,2.0,11.0,7.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,,,,,,90.0,59.0,7.1,17.0,0.08,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,5,8,72.09302325581395,33.33333333333333,0.0,66.66666666666666,,,1.0,,,,,
14147309,away,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,44.0,39.0,4.0,0.0,0.0,24.0,25.0,14.0,18.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,58.0,7.2,7.0,0.01,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,88.63636363636364,0.0,,,,,,,1.0,,,
14147309,away,6224,FK Sutjeska Nikšić,1063207,Radoš Dedić,rados-dedic,D,6,False,31.0,26.0,1.0,0.0,0.0,19.0,23.0,6.0,7.0,0.0,0.0,1.0,1.0,7.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,40.0,7.0,8.0,0.1,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,83.87096774193549,0.0,,,,,,,,,,
14147309,away,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,False,23.0,20.0,2.0,0.0,0.0,9.0,9.0,8.0,11.0,1.0,1.0,1.0,1.0,17.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,83.0,31.0,6.3,8.0,0.0,0.39,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,1,16,86.95652173913044,0.0,100.0,,,,1.0,1.0,,,,
14147309,away,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,45.0,34.0,8.0,2.0,0.0,15.0,17.0,19.0,28.0,2.0,0.0,0.0,1.0,17.0,8.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,,11.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,,,,,,,90.0,68.0,7.6,12.0,0.12,0.19,"{'original': 7.6, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,1,24,7,17,75.55555555555556,25.0,0.0,100.0,,,,3.0,1.0,,,
14147309,away,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,71.0,58.0,3.0,0.0,0.0,31.0,36.0,25.0,31.0,0.0,0.0,3.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,84.0,7.6,18.0,0.01,0.06,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,3,5,81.69014084507043,0.0,,,,1.0,,1.0,,,,
14147309,away,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,M,24,False,28.0,13.0,2.0,0.0,0.0,,4.0,13.0,24.0,5.0,0.0,1.0,0.0,13.0,10.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,83.0,57.0,7.1,17.0,0.08,0.01,"{'original': 7.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,1,22,10,12,46.42857142857143,0.0,0.0,60.0,,2.0,1.0,1.0,,,,
14147309,away,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,26.0,21.0,1.0,0.0,0.0,6.0,7.0,15.0,19.0,1.0,0.0,0.0,0.0,19.0,7.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,90.0,47.0,6.5,14.0,0.01,0.02,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,0,26,7,19,80.76923076923077,0.0,0.0,40.0,,,3.0,1.0,,,,
14147309,away,6224,FK Sutjeska Nikšić,1381358,Petar Aničić,petar-anicic,M,9,False,37.0,32.0,3.0,3.0,0.0,15.0,18.0,16.0,17.0,1.0,0.0,3.0,0.0,15.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,48.0,6.6,7.0,0.0,0.01,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,3,12,86.48648648648648,100.0,0.0,33.33333333333333,,,,2.0,,,,
