match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,challengeLost,wonContest,keyPass,outfielderBlock,wonTackle,aerialLost,wasFouled,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceCreated,accurateCross,bigChanceMissed
14015437,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,21.0,15.0,10.0,4.0,0.0,13.0,14.0,2.0,7.0,1.0,7.0,,,,1.0,,,90.0,26.0,5.9,6.0,,"{'original': 5.9, 'alternative': 6.1}",0,0.0,-0.01,-0.21,-0.56,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,71.42857142857143,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,33.0,26.0,2.0,1.0,0.0,15.0,18.0,11.0,15.0,1.0,4.0,,,,,,,90.0,49.0,6.8,14.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.44,0.2,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,78.78787878787878,50.0,50.0,50.0,,2.0,2.0,6.0,,2.0,1.0,,,5.0,,3.0,1.0,1.0,2.0,,,,2.0,,,,,,,1.0,1.0,
14015437,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,35.0,25.0,10.0,3.0,0.0,18.0,20.0,7.0,15.0,5.0,7.0,,,,,,,90.0,55.0,7.7,12.0,,"{'original': 7.7, 'alternative': 7.7}",2,0.03,0.1,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,71.42857142857143,30.0,,100.0,,,1.0,4.0,,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,,1.0,0.31,,,,
14015437,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,False,15.0,12.0,2.0,1.0,0.0,11.0,12.0,1.0,3.0,6.0,,,,,,,,88.0,28.0,6.0,5.0,,"{'original': 6, 'alternative': 6.4}",0,-0.01,0.01,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,80.0,50.0,,,,,2.0,1.0,,,3.0,,,1.0,2.0,,,,,,,,1.0,,,,,,,,,
14015437,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,34.0,23.0,9.0,2.0,0.0,17.0,23.0,6.0,11.0,4.0,7.0,,,,,,,90.0,50.0,6.9,12.0,,"{'original': 6.9, 'alternative': 7.1}",1,0.08,0.31,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,7,2,67.64705882352942,22.22222222222222,,100.0,,,2.0,9.0,,1.0,1.0,4.0,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,,,-0.04,,,,
14015437,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,25.0,14.0,5.0,1.0,0.0,10.0,13.0,4.0,12.0,1.0,3.0,,,,,,,85.0,50.0,8.0,17.0,,"{'original': 8, 'alternative': 7.8}",1,-0.04,0.24,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,5,1,56.00000000000001,20.0,,,,1.0,1.0,9.0,,1.0,3.0,3.0,,3.0,,4.0,,,,1.0,2.0,,2.0,,1.0,,1.0,0.53,1.0,,,
14015437,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,16.0,11.0,1.0,,0.0,3.0,4.0,8.0,12.0,,3.0,,,,,,,85.0,27.0,6.4,8.0,,"{'original': 6.4, 'alternative': 6.5}",2,-0.22,0.29,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,68.75,,,,,,3.0,2.0,,2.0,,,,1.0,,,1.0,,,,,,2.0,1.0,,1.0,,-0.32,2.0,,,
14015437,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,22.0,16.0,,,0.0,9.0,10.0,7.0,12.0,1.0,7.0,,,,,,,90.0,29.0,6.2,9.0,,"{'original': 6.2, 'alternative': 6.3}",2,0.11,0.12,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,72.72727272727273,,,,,1.0,5.0,1.0,,,,1.0,,2.0,1.0,,3.0,,,,,1.0,,1.0,,1.0,,-0.24,,,,
14015437,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,36.0,26.0,14.0,9.0,0.0,16.0,20.0,10.0,16.0,,7.0,,,,,,,90.0,62.0,7.2,18.0,,"{'original': 7.2, 'alternative': 7.3}",0,0.26,0.0,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,72.22222222222221,64.28571428571429,55.55555555555556,,,9.0,5.0,6.0,,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,,5.0,,2.0,,3.0,,,,,,,,5.0,
14015437,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,16.0,13.0,,,1.0,3.0,3.0,10.0,13.0,,2.0,,,,,,,78.0,40.0,6.2,10.0,,"{'original': 6.2, 'alternative': 6.6}",3,0.24,0.1,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,81.25,,,,,,7.0,5.0,2.0,2.0,2.0,2.0,,2.0,1.0,,,,2.0,,1.0,2.0,3.0,3.0,,,,-0.6,,,,1.0
