match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,bigChanceCreated,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,lastManTackle,unsuccessfulTouch,aerialLost,challengeLost,totalContest,outfielderBlock,blockedScoringAttempt,wasFouled,shotValueNormalized,wonContest,shotOffTarget,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,onTargetScoringAttempt,goals
14015619,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,39.0,25.0,11.0,5.0,0.0,10.0,15.0,15.0,24.0,9.0,,,,90.0,76.0,7.3,21.0,172.35388458836,21.0,78.380396334088,0.0,,"{'original': 7.3, 'alternative': 7.5}",0,0.21,0.04,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,64.1025641025641,45.45454545454545,,,,3.0,,,6.0,6.0,1.0,,3.0,2.0,6.0,5.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,
14015619,away,5150,FK Vojvodina,1008297,Kornél Szűcs,kornel-szucs,D,26,False,38.0,31.0,6.0,2.0,0.0,22.0,23.0,9.0,15.0,2.0,,,,90.0,53.0,7.1,8.0,177.00836602406,17.0,81.035182590123,2.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.13,0.08,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,81.57894736842105,33.33333333333333,,,,,,5.0,5.0,6.0,,,7.0,1.0,1.0,,2.0,21.416534818866,60.969569679464,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,
14015619,away,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,51.0,40.0,11.0,4.0,0.0,23.0,26.0,17.0,25.0,5.0,,,,90.0,62.0,7.0,11.0,202.39831697743,30.0,80.485690230368,0.0,,"{'original': 7, 'alternative': 6.9}",0,0.36,0.08,0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,78.43137254901961,36.36363636363637,,,,,,1.0,6.0,3.0,,,5.0,,1.0,1.0,3.0,,,1.0,1.0,,2.0,2.0,,,,1.0,,,,,,,,
14015619,away,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,D,27,False,37.0,20.0,10.0,1.0,0.0,11.0,18.0,9.0,19.0,5.0,,,,90.0,82.0,6.6,31.0,147.59674309964,19.0,62.491315618078,0.0,,"{'original': 6.6, 'alternative': 7.1}",1,0.01,0.26,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,54.054054054054056,10.0,,50.0,,4.0,,1.0,4.0,4.0,,,4.0,2.0,2.0,1.0,1.0,,,,,2.0,1.0,1.0,2.0,,,,-0.1,1.0,,,,,1.0,
14015619,away,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,40.0,32.0,3.0,1.0,1.0,12.0,15.0,20.0,25.0,4.0,,,,90.0,58.0,7.6,16.0,174.66701337607,20.0,22.843826989759,1.0,,"{'original': 7.6, 'alternative': 7.6}",1,0.41,0.24,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,80.0,33.33333333333333,20.0,100.0,,5.0,1.0,1.0,5.0,6.0,2.0,1.0,,1.0,2.0,,2.0,13.754996928753,18.931290077541,2.0,,2.0,1.0,,1.0,,1.0,2.0,0.0,1.0,,,,,,
14015619,away,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,False,36.0,31.0,,,0.0,15.0,16.0,16.0,20.0,4.0,,,,78.0,56.0,6.6,9.0,119.22417588497,19.0,14.860297019758,0.0,,"{'original': 6.6, 'alternative': 7.1}",0,-0.11,0.1,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,86.11111111111111,,,,,3.0,,,4.0,5.0,,,3.0,3.0,4.0,4.0,2.0,,,,,1.0,2.0,,,1.0,,1.0,,,,,,,,
14015619,away,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,17.0,13.0,,,0.0,4.0,4.0,9.0,13.0,2.0,,,,67.0,27.0,6.2,10.0,98.60511435493,12.0,37.382168788699,1.0,,"{'original': 6.2, 'alternative': 6.5}",1,-0.08,0.24,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,76.47058823529412,,100.0,,,1.0,1.0,,5.0,,1.0,,1.0,,,,,14.724901127132,15.530707936215,1.0,,3.0,,2.0,2.0,,1.0,,-0.2,,,,,,,
14015619,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,False,12.0,10.0,2.0,2.0,0.0,4.0,4.0,6.0,8.0,1.0,,,,67.0,21.0,6.5,9.0,82.195280696505,11.0,33.887243511354,2.0,,"{'original': 6.5, 'alternative': 6.4}",1,0.16,0.13,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,83.33333333333334,100.0,,,,1.0,,,4.0,,1.0,,,,,,1.0,15.816526216599,26.968695874722,,,4.0,1.0,,1.0,,,,-0.14,,1.0,,,,,
14015619,away,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,17.0,9.0,3.0,,0.0,5.0,6.0,4.0,11.0,6.0,,,,86.0,30.0,6.1,14.0,148.81427018293,15.0,85.593399725003,2.0,,"{'original': 6.1, 'alternative': 6.4}",0,-0.21,0.19,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,52.94117647058824,,,,,1.0,,,8.0,2.0,,,,1.0,1.0,1.0,3.0,29.661953018213,60.82125637851,,,3.0,3.0,,2.0,,,1.0,,,,,,,,
14015619,away,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,15.0,9.0,1.0,1.0,0.0,1.0,2.0,8.0,13.0,1.0,,,,77.0,30.0,6.0,15.0,73.825719236855,11.0,-2.7103030764568,0.0,,"{'original': 6, 'alternative': 6.5}",1,-0.15,-0.13,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,60.0,100.0,50.0,,,2.0,1.0,,7.0,2.0,2.0,,,,,,2.0,,,,,6.0,3.0,,,,,2.0,-0.48,,1.0,,,,,
