match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,challengeLost,totalContest,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalOffside,keyPass,shotValueNormalized,shotOffTarget,accurateCross,dispossessed,wonContest,bigChanceCreated,interceptionWon,errorLeadToAShot,goals,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,hitWoodwork
14015444,home,287019,FK Radnički 1923,999008,Stephen Chinedu,chinedu-stephen,F,9,False,9.0,5.0,,,0.0,1.0,2.0,4.0,7.0,5.0,1.0,3.0,,,64.0,19.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7.1}",1,0.08,0.19,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,55.55555555555556,,,,,,1.0,1.0,6.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,,-0.32,1.0,,2.0,,,,,,1.0,,,,,,
14015444,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,5.0,5.0,,,0.0,2.0,2.0,3.0,3.0,3.0,,3.0,,,26.0,9.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.6}",0,0.01,0.02,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,3,2,100.0,,,,,,5.0,,7.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,8.0,4.0,3.0,1.0,0.0,2.0,3.0,2.0,5.0,2.0,3.0,,,,26.0,15.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.11,0.02,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,50.0,33.33333333333333,,,,,,1.0,2.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,
14015444,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,6.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,1.0,,,,14.0,14.0,7.0,3.0,,"{'original': 7, 'alternative': 7.2}",1,-0.01,0.01,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,100.0,,100.0,,3.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,0.02,,,,1.0,,1.0,,,,,,,,,
14015444,home,7674,FK Radnički 1923,1616139,Nikola Skrobonja,nikola-skrobonja,M,51,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,,,14.0,3.0,6.5,,,"{'original': 6.5, 'alternative': 6.5}",0,-0.06,0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015444,home,34318,FK Radnički 1923,1147561,Matija Glušćević,matija-gluscevic,F,7,True,,,,,0.0,,,,,1.0,,,,,10.0,5.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.3}",0,,-0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,,,,,,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,away,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,28.0,19.0,14.0,5.0,0.0,15.0,16.0,4.0,12.0,,8.0,,,6.0,90.0,39.0,7.7,9.0,1.0002,"{'original': 7.7, 'alternative': 7.6}",0,0.09,-0.03,-0.04,0.71,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,67.85714285714286,35.714285714285715,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,
14015444,away,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,False,23.0,13.0,7.0,,0.0,7.0,11.0,6.0,12.0,6.0,3.0,,,,84.0,46.0,6.2,16.0,,"{'original': 6.2, 'alternative': 6.2}",0,0.03,0.04,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,56.52173913043478,,,,,1.0,1.0,,7.0,3.0,,,,,1.0,,6.0,2.0,3.0,1.0,,,,,,2.0,,,1.0,,,,,,,,,
14015444,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,43.0,34.0,5.0,2.0,0.0,17.0,22.0,17.0,21.0,6.0,3.0,2.0,,,90.0,61.0,7.2,9.0,,"{'original': 7.2, 'alternative': 7}",0,0.25,0.07,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,79.06976744186046,40.0,,,,,,3.0,2.0,,,,,,9.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,
14015444,away,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,44.0,38.0,8.0,6.0,0.0,22.0,25.0,16.0,19.0,6.0,5.0,2.0,,,90.0,58.0,7.8,6.0,,"{'original': 7.8, 'alternative': 7.4}",0,0.24,0.15,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,86.36363636363636,75.0,,,,,1.0,3.0,3.0,,,,,,4.0,3.0,1.0,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,
14015444,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,43.0,35.0,5.0,2.0,0.0,15.0,16.0,20.0,27.0,3.0,3.0,,,,90.0,57.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.09,-0.09,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,81.3953488372093,40.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,
14015444,away,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,M,3,False,20.0,12.0,1.0,,0.0,8.0,10.0,4.0,10.0,4.0,8.0,2.0,,,90.0,35.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.16,0.23,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,60.0,,,,,1.0,2.0,,4.0,1.0,1.0,,,,1.0,,2.0,,2.0,,,,-0.21,1.0,,,,,1.0,,,,,,,,,
