match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,unsuccessfulTouch,fouls,keyPass,outfielderBlock,wasFouled,shotOffTarget,totalTackle,shotValueNormalized,dispossessed,onTargetScoringAttempt,wonTackle,bigChanceCreated,goals,bigChanceMissed,blockedScoringAttempt,saves,keeperSaveValue,goalkeeperValueNormalized,totalOffside
14015535,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,20.0,15.0,,,0.0,2.0,2.0,13.0,18.0,4.0,,,,90.0,33.0,6.7,11.0,117.94999518438,14.0,24.78,24.045,"{'original': 6.7, 'alternative': 7}",3,0.07,-0.6,-0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,14,5,1,4,75.0,,,,,,,12.0,2.0,16.0,3.0,,,,,,4.0,2.0,,,1.0,1.0,,0.35,2.0,1.0,,,1.0,1.0,1.0,,,,
14015535,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,5.0,4.0,,,0.0,1.0,2.0,3.0,3.0,,,,,27.0,7.0,6.6,1.0,8.9794926916836,1.0,-5.355,-5.355,"{'original': 6.6, 'alternative': 6.5}",0,0.23,-0.06,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14015535,home,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,12.0,7.0,6.6,3.0,34.344115034556,3.0,32.865,18.375,"{'original': 6.6, 'alternative': 6.8}",0,0.3,-0.43,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,100.0,,,,,1.0,,1.0,,3.0,1.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,
14015535,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,6224,FK Novi Pazar,1149283,Milos Vracar,milos-vracar,D,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,4499,FK Novi Pazar,1639816,Yakup Arda Kılıç,yakup-arda-kilic,F,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,home,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,29.0,22.0,13.0,6.0,0.0,21.0,22.0,1.0,7.0,5.0,,,,90.0,35.0,6.3,8.0,44.877883853074,7.0,-20.37,6.3,"{'original': 6.3, 'alternative': 6.4}",0,0.06,0.01,-0.11,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.86206896551724,46.15384615384615,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0852,0.1,
14015535,away,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,31.0,24.0,4.0,1.0,0.0,17.0,18.0,7.0,13.0,5.0,,,,90.0,65.0,6.6,14.0,107.95078810216,17.0,-21.84,10.395,"{'original': 6.6, 'alternative': 6.4}",0,0.03,0.07,-0.29,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,9,4,77.41935483870968,25.0,,,,3.0,,1.0,2.0,5.0,11.0,1.0,3.0,,4.0,1.0,1.0,,,,3.0,,6.0,,,,3.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,47.0,38.0,10.0,2.0,0.0,30.0,32.0,8.0,15.0,5.0,,,,90.0,63.0,6.5,9.0,169.83547937669,24.0,-58.065,8.82,"{'original': 6.5, 'alternative': 6.8}",1,-0.1,0.09,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,3,0,80.85106382978722,20.0,,,,,,2.0,3.0,2.0,6.0,,,,6.0,,,,,,,1.0,3.0,-0.13,,,3.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,39.0,28.0,7.0,1.0,0.0,24.0,28.0,4.0,11.0,2.0,,,,90.0,53.0,6.8,11.0,167.68119249065,19.0,-107.94,4.2,"{'original': 6.8, 'alternative': 6.8}",0,0.01,0.04,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,3,0,71.7948717948718,14.285714285714285,,,,,,,3.0,,6.0,,,,8.0,1.0,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,20.0,11.0,1.0,,0.0,7.0,11.0,4.0,9.0,5.0,,,,86.0,37.0,5.7,15.0,66.594298443314,8.0,-26.775,6.09,"{'original': 5.7, 'alternative': 6.3}",1,-0.2,0.08,-0.42,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,55.00000000000001,,,,,1.0,,2.0,2.0,5.0,3.0,,1.0,,2.0,1.0,3.0,2.0,,,,1.0,1.0,-0.03,,,1.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,28.0,18.0,7.0,2.0,0.0,12.0,14.0,6.0,14.0,5.0,,,,90.0,46.0,7.3,12.0,73.784443324339,11.0,-8.715,7.14,"{'original': 7.3, 'alternative': 7}",0,0.14,0.02,0.29,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,6,2,64.28571428571429,28.57142857142857,50.0,100.0,,2.0,1.0,2.0,4.0,4.0,10.0,,1.0,1.0,4.0,1.0,1.0,2.0,,,4.0,,1.0,,,,1.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,17.0,11.0,,,0.0,7.0,11.0,4.0,6.0,1.0,,,,64.0,31.0,6.3,9.0,41.77850836654,4.0,-31.815,2.415,"{'original': 6.3, 'alternative': 6.7}",1,0.0,0.04,-0.11,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,64.70588235294117,,,,,,,2.0,2.0,4.0,4.0,,,,1.0,2.0,2.0,1.0,,,,1.0,2.0,-0.21,1.0,,1.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,24.0,13.0,3.0,1.0,0.0,4.0,7.0,9.0,17.0,4.0,,,,90.0,45.0,6.8,16.0,118.37107306488,12.0,1.47,18.585,"{'original': 6.8, 'alternative': 6.7}",0,0.13,0.11,-0.11,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,6,4,54.166666666666664,33.33333333333333,33.33333333333333,,,3.0,1.0,,3.0,4.0,9.0,,,,,2.0,3.0,4.0,1.0,,6.0,,,,,,,,,,,,,,1.0
14015535,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,False,12.0,8.0,,,0.0,6.0,7.0,2.0,5.0,2.0,,,,45.0,18.0,6.5,6.0,57.395804607236,8.0,-19.11,5.04,"{'original': 6.5, 'alternative': 6.4}",0,-0.06,0.05,-0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,66.66666666666666,,,,,,,,2.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14015535,away,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,False,21.0,15.0,1.0,,1.0,3.0,5.0,12.0,16.0,3.0,,,,90.0,45.0,7.0,14.0,139.15222033407,17.0,-76.335,7.35,"{'original': 7, 'alternative': 7.4}",0,0.6,0.15,-0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,6,10,6,4,71.42857142857143,,71.42857142857143,100.0,,7.0,5.0,4.0,2.0,8.0,8.0,,2.0,2.0,,,3.0,2.0,4.0,,3.0,,1.0,,2.0,,,1.0,,,,,,,
14015535,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,20.0,13.0,1.0,,0.0,5.0,6.0,8.0,14.0,1.0,,,,90.0,31.0,6.4,12.0,116.79031676439,16.0,-24.255,5.67,"{'original': 6.4, 'alternative': 6.6}",1,-0.1,0.22,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,65.0,,,,,,,,1.0,1.0,2.0,,1.0,,,,3.0,,,,1.0,1.0,,-0.25,,,,,,,,,,,
14015535,away,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,4.0,2.0,,,0.0,,2.0,2.0,2.0,2.0,,,,45.0,14.0,7.3,6.0,52.341100425618,6.0,25.305,13.44,"{'original': 7.3, 'alternative': 6.9}",2,-0.09,-0.31,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,50.0,,,,,1.0,,2.0,2.0,3.0,3.0,,1.0,,1.0,,2.0,,,,1.0,,,0.5,,1.0,,,1.0,,1.0,,,,1.0
14015535,away,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,True,13.0,10.0,,,0.0,4.0,5.0,6.0,8.0,4.0,,,,26.0,16.0,7.0,3.0,41.030733308422,6.0,-16.17,3.465,"{'original': 7, 'alternative': 6.9}",0,-0.04,0.05,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,2,0,76.92307692307693,,,,,,,1.0,3.0,1.0,5.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,0.0,,,,,,,,,10.0,3.0,6.5,2.0,15.607959507892,1.0,6.3,6.3,"{'original': 6.5, 'alternative': 6.5}",1,,-0.04,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,-0.08,,,,,,,,,,,
14015535,away,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,away,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015535,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
