match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,shotOffTarget,interceptionWon,keyPass,blockedScoringAttempt,dispossessed,bigChanceCreated,bigChanceMissed
14147381,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,30.0,21.0,2.0,0.0,0.0,10.0,12.0,16.0,4.0,4.0,1.0,1.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,35.0,7.0,7.0,0.0,0.47,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,70.0,0.0,100.0,0.0,,10.0,,2.0,2.0,,,1.0,
14147381,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,26.0,17.0,9.0,5.0,1.0,5.0,10.0,12.0,1.0,0.0,4.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,33.0,7.7,17.0,0.0,0.26,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,2,4,65.38461538461539,55.55555555555556,0.0,,,9.0,,4.0,1.0,,,,
14147381,away,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,24.0,19.0,6.0,3.0,0.0,11.0,15.0,6.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,35.0,7.3,6.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,79.16666666666666,50.0,,,,6.0,,4.0,,,,,
14147381,away,7581,FK Bokelj Kotor,1034559,Balša Ćetković,balsa-cetkovic,D,18,False,24.0,17.0,3.0,2.0,0.0,13.0,17.0,5.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,88.0,34.0,7.3,10.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,70.83333333333334,66.66666666666666,,,,3.0,,3.0,,,,,
14147381,away,7581,FK Bokelj Kotor,1031066,Vitinho,vitinho,M,77,False,15.0,13.0,2.0,1.0,0.0,8.0,8.0,7.0,0.0,0.0,1.0,0.0,10.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,,,,,,,67.0,31.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,8,9,86.66666666666667,50.0,,100.0,,5.0,,1.0,,,1.0,,
14147381,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,18.0,10.0,4.0,2.0,0.0,3.0,6.0,12.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,24.0,6.9,11.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,55.55555555555556,50.0,,100.0,,7.0,,,,,,,
14147381,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,M,29,False,21.0,13.0,0.0,0.0,0.0,8.0,10.0,10.0,4.0,1.0,2.0,1.0,7.0,8.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,40.0,7.2,9.0,0.03,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,7,5,61.904761904761905,,25.0,100.0,,5.0,,2.0,,,,,
14147381,away,7581,FK Bokelj Kotor,1595583,Balša Radević,balsa-radevic,F,27,False,8.0,5.0,1.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,46.0,12.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,62.5,100.0,,,,3.0,,,,,1.0,,
14147381,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,False,16.0,13.0,0.0,0.0,0.0,8.0,9.0,7.0,0.0,0.0,7.0,3.0,17.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,30.0,6.8,11.0,0.68,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,10,12,2,10,81.25,,,,,5.0,,,,,3.0,,1.0
14147381,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,F,11,False,11.0,8.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0,0.0,3.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,,,,,,,67.0,18.0,6.6,4.0,0.05,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,72.72727272727273,,0.0,100.0,,4.0,1.0,,,,1.0,,
14147381,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,F,16,True,14.0,10.0,1.0,1.0,0.0,2.0,2.0,12.0,1.0,0.0,2.0,0.0,14.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,44.0,27.0,6.4,10.0,0.13,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,5,12,71.42857142857143,100.0,0.0,100.0,,8.0,,,,1.0,2.0,,
14147381,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,F,19,True,5.0,2.0,1.0,0.0,0.0,,,5.0,2.0,1.0,3.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,23.0,13.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,40.0,0.0,50.0,100.0,,2.0,,,,,2.0,,
14147381,away,7581,FK Bokelj Kotor,572018,Velizar Janketić,velizar-janketic,M,7,True,8.0,8.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,23.0,10.0,6.7,0.0,0.02,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,100.0,100.0,,,,4.0,,1.0,,,,,
14147381,away,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,True,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,1.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,0.0,0.0,,,,,,,,,,,
14147381,away,7581,FK Bokelj Kotor,1218106,Andrija Krivokapić,andrija-krivokapic,M,23,True,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,0.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,
14147381,away,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147381,away,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147381,away,228024,FK Bokelj Kotor,1218295,Ayumu Nishimura,ayumu-nishimura,F,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147381,away,7581,FK Bokelj Kotor,227396,Šaleta Kordić,saleta-kordic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
