match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,aerialLost,duelLost,hitWoodwork,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,interceptionWon,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,accurateCross,challengeLost,bigChanceMissed,shotOffTarget,shotValueNormalized,dispossessed,bigChanceCreated,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015573,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,15.0,8.0,1.0,1.0,0.0,2.0,3.0,12.0,,5.0,,1.0,4.0,,,,,86.0,28.0,6.5,12.0,73.416597148939,10.0,31.019387713273,,"{'original': 6.5, 'alternative': 6.8}",2,0.25,0.1,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,53.333333333333336,100.0,,,,6.0,,2.0,8.0,,,1.0,1.0,2.0,1.0,1.0,19.28819425465,19.98720653318,1.0,1.0,,2.0,,2.0,-0.32,1.0,1.0,2.0,,,,1.0,,
14015573,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,7.0,5.0,1.0,1.0,0.0,3.0,3.0,4.0,,2.0,1.0,2.0,,,,,,20.0,11.0,6.7,3.0,59.031212229879,6.0,-9.1551143469693,,"{'original': 6.7, 'alternative': 6.8}",0,-0.13,-0.18,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,71.42857142857143,100.0,,66.66666666666666,,2.0,,,3.0,,,,,,,,13.655105691419,13.918275791203,1.0,,,2.0,,,,,,3.0,2.0,,,,,
14015573,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,True,10.0,8.0,1.0,,0.0,1.0,3.0,7.0,,,,,,,,,,19.0,13.0,6.5,2.0,14.732926858638,2.0,2.03772675658,,"{'original': 6.5, 'alternative': 6.6}",0,0.02,0.0,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,80.0,,,,,7.0,,,2.0,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,2.0,1.0,,,0.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,4.0,4.0,,2.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,50.0,,,,,,,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
14015573,home,7771,FK Mladost Lučani,885516,Veljko Kijevčanin,veljko-kijevcanin,M,5,True,1.0,1.0,,,0.0,,,1.0,,,,1.0,,,,,,3.0,2.0,,,6.8996011478925,1.0,-5.8600397382306,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015573,away,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,33.0,26.0,12.0,6.0,0.0,22.0,24.0,9.0,,,,14.0,,1.0,1.0,1.0,,90.0,46.0,7.2,7.0,45.216504425869,10.0,7.4929200090867,0.1676,"{'original': 7.2, 'alternative': 7}",0,0.13,-0.06,0.39,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.78787878787878,50.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
14015573,away,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,48.0,43.0,7.0,5.0,0.0,21.0,22.0,26.0,1.0,3.0,2.0,5.0,1.0,,,,,90.0,78.0,7.6,13.0,214.38570686178,29.0,102.36930907207,,"{'original': 7.6, 'alternative': 7.3}",2,0.39,0.27,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,89.58333333333334,71.42857142857143,50.0,,,22.0,4.0,,2.0,,,1.0,1.0,1.0,,,18.701517510651,34.420115138051,2.0,,2.0,,,2.0,-0.14,2.0,,,,,,,,
14015573,away,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,False,64.0,59.0,3.0,1.0,0.0,47.0,48.0,16.0,3.0,6.0,3.0,2.0,1.0,,,,,90.0,75.0,6.9,5.0,230.03589056199,34.0,55.831943284503,,"{'original': 6.9, 'alternative': 7.1}",1,0.17,0.12,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,92.1875,33.33333333333333,,100.0,,12.0,,1.0,4.0,,,1.0,1.0,,3.0,2.0,,,,,,,,1.0,-0.29,,,1.0,1.0,,,,,
14015573,away,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,76.0,69.0,2.0,,0.0,57.0,60.0,16.0,1.0,3.0,4.0,5.0,,,,,,90.0,90.0,6.6,9.0,304.78917757356,40.0,134.4815788694,,"{'original': 6.6, 'alternative': 7}",1,0.01,0.16,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,90.78947368421053,,,,,12.0,,1.0,6.0,,,2.0,1.0,1.0,3.0,2.0,19.059783683231,19.324307594323,1.0,,,1.0,,1.0,-0.16,1.0,,,,,,,,
14015573,away,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,76.0,65.0,6.0,2.0,0.0,33.0,35.0,41.0,2.0,5.0,1.0,3.0,1.0,,,,,90.0,98.0,7.7,12.0,253.69582157825,39.0,80.984944768471,,"{'original': 7.7, 'alternative': 7.8}",0,0.25,0.04,0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,85.52631578947368,33.33333333333333,,,,32.0,1.0,,1.0,,1.0,2.0,2.0,,1.0,2.0,20.350411981535,20.370944406188,1.0,,,,,,,,,,,,,,,
14015573,away,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,38.0,31.0,4.0,3.0,0.0,12.0,15.0,23.0,,4.0,,7.0,3.0,,,,,90.0,51.0,6.9,9.0,163.29253137592,16.0,6.9095785599789,,"{'original': 6.9, 'alternative': 7.2}",1,-0.03,0.16,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,81.57894736842105,75.0,,100.0,,19.0,,2.0,5.0,1.0,,,,,,1.0,5.9052298864277,7.5217924060692,1.0,1.0,,1.0,,1.0,-0.16,2.0,,1.0,1.0,,,,,
14015573,away,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,23.0,17.0,2.0,,0.0,7.0,7.0,16.0,,2.0,,2.0,1.0,,,,,78.0,42.0,6.6,16.0,253.48945704059,24.0,100.13311138549,,"{'original': 6.6, 'alternative': 6.7}",3,0.15,0.34,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,2,6,73.91304347826086,,40.0,,,10.0,5.0,,6.0,,,1.0,1.0,1.0,,,26.720348236532,100.07954831198,6.0,2.0,2.0,1.0,,1.0,-0.25,2.0,,3.0,,1.0,1.0,,,
