match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,outfielderBlock,totalTackle,wonTackle,fouls,keyPass,aerialLost,aerialWon,dispossessed,wonContest,shotOffTarget,clearanceOffLine,interceptionWon,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,blockedScoringAttempt,unsuccessfulTouch,wasFouled,onTargetScoringAttempt,goals,bigChanceCreated,bigChanceMissed,hitWoodwork,totalOffside
14015533,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,35.0,30.0,,,2.0,9.0,10.0,21.0,25.0,,1.0,,,,,,81.0,50.0,8.5,8.0,156.47510600631,18.0,104.37,14.28,,"{'original': 8.5, 'alternative': 8.8}",5,0.39,0.82,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,85.71428571428571,,,50.0,,,,3.0,6.0,,4.0,,2.0,2.0,1.0,2.0,,1.0,,2.0,2.0,,,63.996506560214,4.0,-0.58,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0
14015533,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,10.0,8.0,2.0,2.0,1.0,1.0,1.0,7.0,9.0,,1.0,,,,,,21.0,11.0,7.2,3.0,67.498036695392,7.0,33.915,14.175,,"{'original': 7.2, 'alternative': 7}",0,0.44,0.11,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,100.0,,,,1.0,,,,,,,,,,3.0,,,,,,,,14.176467860507,1.0,,,,,,,,,,
14015533,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,9.0,3.0,7.7,,3.3294708288255,1.0,2.52,2.52,,"{'original': 7.7, 'alternative': 7.5}",1,0.09,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,100.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,0.52,,,,1.0,1.0,,,,
14015533,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,9.0,4.0,6.7,,,,,,,"{'original': 6.7, 'alternative': 6.6}",0,0.05,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,24356,FK Partizan,1409357,Ivan Vasiljević,ivan-vasiljevic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,21.0,12.0,12.0,3.0,0.0,11.0,11.0,1.0,10.0,,6.0,2.0,6.0,,,,90.0,32.0,5.9,10.0,8.1363732092376,1.0,1.995,1.995,0.4194,"{'original': 5.9, 'alternative': 6.2}",0,0.02,-0.01,-0.34,-0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.14285714285714,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015533,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,False,34.0,25.0,4.0,2.0,0.0,17.0,19.0,8.0,15.0,4.0,9.0,,,,,,90.0,54.0,5.8,15.0,179.99058504447,17.0,58.485,30.24,,"{'original': 5.8, 'alternative': 5.9}",0,0.01,0.22,-0.64,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,73.52941176470588,50.0,,50.0,,1.0,,5.0,7.0,2.0,2.0,,4.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,30.242752255706,1.0,,,2.0,1.0,,,,,,
14015533,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,35.0,32.0,3.0,2.0,0.0,25.0,27.0,7.0,8.0,10.0,1.0,,,,,,90.0,48.0,5.6,4.0,76.728612016759,9.0,26.88,13.65,,"{'original': 5.6, 'alternative': 6}",0,0.06,0.02,-0.7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,91.42857142857143,66.66666666666666,,,,,,4.0,,2.0,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,
14015533,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,39.0,34.0,5.0,1.0,0.0,25.0,27.0,9.0,12.0,9.0,3.0,,,,,,89.0,56.0,6.2,7.0,82.110429822929,11.0,10.92,11.34,,"{'original': 6.2, 'alternative': 6.3}",0,0.2,0.02,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,87.17948717948718,20.0,,50.0,,,,2.0,3.0,,2.0,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
