match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated
15280987,away,327162,Mladost DG,1648525,Balša  Radanović,balsa-radanovic,G,31,False,20.0,16.0,13.0,9.0,0.0,7.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,90.0,23.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,69.23076923076923,,,0.0,,,,,
15280987,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,D,28,False,38.0,27.0,8.0,3.0,0.0,14.0,16.0,13.0,21.0,1.0,0.0,3.0,1.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,90.0,55.0,6.4,23.0,0.0,0.02,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,4,16,7,9,71.05263157894737,37.5,0.0,,,,1.0,2.0,,
15280987,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,49.0,41.0,9.0,6.0,0.0,32.0,35.0,9.0,13.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,59.0,6.5,12.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,83.6734693877551,66.66666666666666,,,,,,,,
15280987,away,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,54.0,46.0,6.0,5.0,0.0,27.0,30.0,15.0,20.0,1.0,0.0,4.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,66.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,6,10,6,4,85.18518518518519,83.33333333333334,0.0,,,,,,,
15280987,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,41.0,30.0,8.0,2.0,0.0,17.0,21.0,10.0,16.0,2.0,1.0,1.0,2.0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,,,,,,,90.0,50.0,6.0,16.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,4,11,73.17073170731707,25.0,50.0,,,,,,,
15280987,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,False,25.0,22.0,2.0,1.0,0.0,11.0,12.0,11.0,13.0,0.0,0.0,2.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,65.0,33.0,6.6,6.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,2,8,88.0,50.0,,,,,,,,
15280987,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,29.0,24.0,1.0,0.0,0.0,16.0,17.0,8.0,11.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,65.0,34.0,6.4,9.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,1,7,82.75862068965517,0.0,,,,,,,,
15280987,away,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,False,12.0,7.0,1.0,0.0,0.0,3.0,4.0,4.0,8.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,65.0,18.0,6.3,9.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,0,7,58.333333333333336,0.0,,,,,,1.0,,
15280987,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,28.0,20.0,3.0,1.0,0.0,10.0,10.0,9.0,16.0,2.0,0.0,4.0,2.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,74.0,41.0,6.7,11.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,6,5,71.42857142857143,33.33333333333333,0.0,0.0,,3.0,,,1.0,
15280987,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,18.0,16.0,0.0,0.0,0.0,7.0,8.0,8.0,9.0,2.0,1.0,7.0,1.0,22.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,77.0,46.0,6.3,12.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,8,19,4,15,88.88888888888889,,50.0,100.0,,,,4.0,,
