match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,totalClearance,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialWon,totalTackle,blockedScoringAttempt,wonTackle,totalOffside,dispossessed,outfielderBlock,interceptionWon,wonContest,challengeLost,hitWoodwork,bigChanceMissed,goals,savedShotsFromInsideTheBox,saves,punches
14015391,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,8.0,4.0,,,0.0,3.0,3.0,1.0,5.0,,,85.0,22.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,2,4,50.0,,,,,,,5.0,9.0,4.0,,,1.0,1.0,5.0,1.0,2.0,2.0,,2.0,,1.0,,,2.0,,,,,,,1.0,,,
14015391,home,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,13.0,4.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
14015391,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,14.0,11.0,3.0,3.0,0.0,4.0,6.0,7.0,8.0,2.0,,13.0,16.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,78.57142857142857,100.0,,,,,,4.0,4.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,5.0,1.0,,,0.0,1.0,1.0,,4.0,1.0,,10.0,5.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,20.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,,,,,0.0,,,,,,,1.0,1.0,,1.0,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1865408,Mateja Prokopijević,mateja-prokopijevic,M,87,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,7771,FK Čukarički,837894,Nemanja Milojević,nemanja-milojevic,M,8,True,,,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,31.0,19.0,24.0,12.0,0.0,8.0,12.0,11.0,19.0,9.0,2.0,90.0,45.0,8.2,12.0,"{'original': 8.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,61.29032258064516,50.0,,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,,,,,,,2.0,5.0,3.0
14015391,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,False,13.0,7.0,3.0,,0.0,3.0,5.0,4.0,8.0,,,55.0,21.0,6.2,8.0,"{'original': 6.2, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,53.84615384615385,,100.0,,,1.0,1.0,1.0,3.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
