match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceMissed,shotOffTarget,keyPass,blockedScoringAttempt,dispossessed,bigChanceCreated
14147304,away,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,61.0,57.0,3.0,3.0,0.0,48.0,51.0,8.0,8.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,90.0,73.0,6.9,5.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,93.44262295081968,100.0,,100.0,,,,,,,
14147304,away,24312,FK Jezero,1648555,Meldin Kojić,meldin-kojic,D,3,False,23.0,15.0,6.0,1.0,0.0,10.0,14.0,4.0,8.0,0.0,0.0,3.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,60.0,27.0,5.9,11.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,65.21739130434783,16.666666666666664,,,,,,,,,
14147304,away,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,19.0,13.0,1.0,0.0,0.0,3.0,4.0,10.0,15.0,2.0,0.0,2.0,1.0,12.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,80.0,31.0,6.2,8.0,0.1,0.0,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,2,10,68.42105263157895,0.0,0.0,25.0,,,,,,,
14147304,away,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,65.0,59.0,5.0,3.0,1.0,31.0,34.0,27.0,30.0,1.0,1.0,0.0,0.0,7.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,71.0,80.0,7.2,8.0,0.0,0.37,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,5,7,90.76923076923077,60.0,100.0,66.66666666666666,,,,3.0,,,
14147304,away,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,False,53.0,50.0,1.0,1.0,0.0,26.0,27.0,24.0,26.0,0.0,0.0,1.0,0.0,11.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,,,,,,80.0,73.0,6.5,8.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,5,10,94.33962264150944,100.0,,50.0,,,,,,1.0,
14147304,away,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,21.0,18.0,0.0,0.0,0.0,10.0,11.0,8.0,9.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,7.0,6.0,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,71.0,40.0,6.9,9.0,0.0,0.1,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,6,8,85.71428571428571,,,85.71428571428571,,,,1.0,,,
14147304,away,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,F,45,False,34.0,25.0,1.0,1.0,0.0,10.0,13.0,15.0,21.0,0.0,0.0,1.0,0.0,15.0,4.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,54.0,6.8,14.0,0.07,0.13,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,4,14,73.52941176470588,100.0,,60.0,,,1.0,2.0,,1.0,
14147304,away,24312,FK Jezero,905970,Đorđe Maksimović,djordje-maksimovic,F,44,False,10.0,8.0,1.0,0.0,0.0,3.0,3.0,5.0,7.0,1.0,0.0,4.0,3.0,6.0,6.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,90.0,21.0,7.8,6.0,0.6,0.0,"{'original': 7.8, 'alternative': None}",6.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,3,2,80.0,0.0,0.0,0.0,,,4.0,,,,
14147304,away,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,True,22.0,18.0,0.0,0.0,0.0,6.0,6.0,10.0,14.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,30.0,27.0,7.0,4.0,0.03,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,81.81818181818183,,,,,,1.0,,,,
14147304,away,24312,FK Jezero,1190522,Imran Redžepagić,imran-redzepagic,M,16,True,15.0,14.0,1.0,1.0,0.0,7.0,8.0,7.0,7.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,19.0,21.0,6.8,3.0,0.07,0.03,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,0,6,93.33333333333333,100.0,,,,,1.0,1.0,1.0,,
14147304,away,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,True,5.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,19.0,8.0,7.0,2.0,0.42,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,100.0,,,,,,,,,,
14147304,away,6225,FK Jezero,1391890,Uroš Bulatović,uros-bulatovic,M,8,True,12.0,10.0,2.0,1.0,0.0,1.0,1.0,9.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,10.0,14.0,7.0,1.0,0.0,0.06,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.33333333333334,50.0,100.0,100.0,,,,2.0,,,
14147304,away,24312,FK Jezero,196634,Ognjen Rolović,ognjen-rolovic,M,19,True,6.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,10.0,9.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,83.33333333333334,,,,,,,,,,
14147304,away,241802,FK Jezero,1976046,Edin Lekić,edin-lekic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,away,24312,FK Jezero,1021410,Salih Husić,salih-husic,D,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,away,24312,FK Jezero,2236163,Ramo Marković,ramo-markovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147304,away,24312,FK Jezero,1035786,Anil Julević,anil-julevic,F,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
