match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,totalClearance,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelWon,challengeLost,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,aerialLost,dispossessed,accurateCross,bigChanceCreated,shotOffTarget,unsuccessfulTouch,totalOffside,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,onTargetScoringAttempt,goals,blockedScoringAttempt,goodHighClaim,penaltyWon,bigChanceMissed,penaltyMiss
14015547,home,374281,FK Napredak Kruševac,1855771,Mateja Gajić,mateja-gajic,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015547,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,38.0,20.0,29.0,12.0,0.0,10.0,12.0,10.0,26.0,,2.0,7.0,,,1.0,,1.0,3.0,3.0,90.0,43.0,6.4,18.0,73.570291235053,11.0,30.87,9.66,0.0318,"{'original': 6.4, 'alternative': 6.5}",0,0.21,0.0,-0.19,-0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,52.63157894736842,41.37931034482759,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
14015547,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,46.0,33.0,8.0,6.0,0.0,19.0,21.0,14.0,25.0,8.0,2.0,6.0,,1.0,,,,,,90.0,71.0,6.2,21.0,87.394418967479,11.0,17.955,14.91,,"{'original': 6.2, 'alternative': 6.8}",1,-0.1,0.01,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,12,5,3,2,71.73913043478261,75.0,,,,4.0,6.0,9.0,,1.0,,,,1.0,1.0,2.0,6.0,,,,,3.0,,,,,0.0,,,1.0,,,,
14015547,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,43.0,31.0,9.0,4.0,0.0,22.0,24.0,9.0,19.0,6.0,3.0,,,3.0,,,,,,90.0,53.0,6.2,14.0,92.051911617632,12.0,8.82,9.66,,"{'original': 6.2, 'alternative': 6.6}",2,0.25,0.01,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,11,3,0,3,72.09302325581395,44.44444444444444,50.0,,,2.0,8.0,8.0,,,,,1.0,,,,3.0,,1.0,,,1.0,,,,,-0.27,1.0,,1.0,,,,
14015547,away,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,48.0,44.0,6.0,3.0,0.0,33.0,33.0,11.0,15.0,7.0,9.0,,,4.0,,,,,,90.0,63.0,6.2,4.0,41.459985485068,8.0,3.045,9.66,,"{'original': 6.2, 'alternative': 6.5}",0,0.18,0.01,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,1,4,91.66666666666666,50.0,,,,,4.0,5.0,1.0,,,,3.0,,,1.0,3.0,,,,,,,,,,,,,,,,,
14015547,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,57.0,46.0,6.0,4.0,0.0,23.0,27.0,23.0,30.0,2.0,,8.0,,1.0,,,,,,90.0,73.0,6.8,15.0,132.41835737352,16.0,35.595,19.95,,"{'original': 6.8, 'alternative': 6.9}",0,0.26,0.11,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,80.7017543859649,66.66666666666666,50.0,100.0,,2.0,4.0,8.0,1.0,1.0,1.0,,,2.0,,1.0,,,1.0,,,2.0,,22.756563976137,1.0,1.0,,,,,,,,
14015547,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,26.0,21.0,3.0,1.0,0.0,7.0,8.0,14.0,18.0,7.0,,4.0,,3.0,,,,,,82.0,33.0,6.3,7.0,84.268400181313,9.0,-11.13,9.24,,"{'original': 6.3, 'alternative': 6.4}",0,0.29,0.13,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,80.76923076923077,33.33333333333333,,,,,,2.0,,,,,3.0,1.0,,1.0,4.0,,,,,2.0,,,,2.0,,,,,,,,
14015547,away,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,46.0,37.0,7.0,3.0,0.0,22.0,25.0,15.0,21.0,4.0,,7.0,,2.0,,,,,,90.0,64.0,7.7,14.0,194.97169765348,23.0,51.555,25.515,,"{'original': 7.7, 'alternative': 7.4}",0,0.16,0.27,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,10,3,80.43478260869566,42.857142857142854,,83.33333333333334,,,,10.0,,6.0,5.0,,,,,5.0,1.0,,,,,3.0,,26.191874331556,1.0,,,,,,,1.0,,
14015547,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,20.0,11.0,1.0,,0.0,1.0,1.0,10.0,19.0,7.0,,3.0,,,,,,,,90.0,52.0,6.6,22.0,192.75968003611,16.0,115.08,23.52,,"{'original': 6.6, 'alternative': 6.7}",2,-0.1,0.58,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,11,6,55.00000000000001,,100.0,66.66666666666666,,1.0,,11.0,1.0,6.0,4.0,,1.0,4.0,2.0,3.0,1.0,3.0,1.0,,1.0,7.0,1.0,110.40219585623,6.0,,-0.47,,,1.0,,,,
14015547,away,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,29.0,21.0,7.0,3.0,0.0,3.0,5.0,18.0,24.0,3.0,1.0,3.0,,,,,,,,90.0,49.0,7.2,16.0,105.57735769358,14.0,-40.215,6.195,,"{'original': 7.2, 'alternative': 7.6}",2,0.15,0.01,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,72.41379310344827,42.857142857142854,28.57142857142857,,,7.0,,5.0,,1.0,,,,2.0,,3.0,1.0,1.0,2.0,1.0,,,,,,3.0,0.31,1.0,1.0,1.0,,,,
14015547,away,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,21.0,18.0,2.0,2.0,0.0,4.0,4.0,14.0,17.0,7.0,,3.0,,2.0,,,,,,90.0,46.0,6.7,17.0,173.33195368078,16.0,34.335,28.77,,"{'original': 6.7, 'alternative': 6.8}",3,0.47,0.46,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,85.71428571428571,100.0,25.0,50.0,,8.0,,5.0,1.0,2.0,1.0,,1.0,,,4.0,1.0,2.0,2.0,,2.0,5.0,,54.665071665001,2.0,1.0,-1.0,,,1.0,,1.0,1.0,1.0
