match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceCreated,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,penaltyWon,bigChanceMissed,hitWoodwork,penaltyConceded
14147346,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,17.0,12.0,1.0,1.0,0.0,3.0,4.0,8.0,11.0,0.0,0.0,2.0,1.0,21.0,6.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,90.0,44.0,6.0,14.0,0.11,0.0,"{'original': 6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,3,24,5,19,70.58823529411765,100.0,,50.0,,,1.0,1.0,,2.0,,,,,
14147346,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,35.0,22.0,2.0,0.0,0.0,8.0,8.0,14.0,27.0,1.0,0.0,4.0,0.0,14.0,7.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,,,,,,,90.0,51.0,6.8,16.0,0.0,0.26,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,7,10,62.857142857142854,0.0,0.0,80.0,,,1.0,,3.0,,1.0,,,,
14147346,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,30.0,22.0,3.0,1.0,0.0,7.0,7.0,15.0,21.0,3.0,2.0,0.0,1.0,12.0,10.0,2.0,5.0,4.0,1.0,0.0,3.0,1.0,10.0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,,,,,,,90.0,50.0,7.0,13.0,0.13,0.11,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,9,12,73.33333333333333,33.33333333333333,66.66666666666666,80.0,,,,,1.0,1.0,,,,,1.0
14147346,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,F,21,False,6.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,3.0,9.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,,,,,,,46.0,11.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,2,5,66.66666666666666,,,0.0,,,,1.0,,,,,,,
14147346,away,241802,FK Bokelj Kotor,57463,Saša Balić,sasa-balic,D,34,True,30.0,27.0,1.0,1.0,0.0,21.0,22.0,6.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,44.0,38.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,90.0,100.0,,,,,,,,,,,,,
14147346,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,True,24.0,18.0,1.0,0.0,0.0,10.0,10.0,8.0,13.0,0.0,0.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,44.0,29.0,6.5,7.0,0.12,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,0,5,75.0,0.0,,,,,,,,,,,,,
14147346,away,228024,FK Bokelj Kotor,1218295,Ayumu Nishimura,ayumu-nishimura,F,99,True,12.0,8.0,1.0,0.0,0.0,4.0,4.0,4.0,8.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,44.0,18.0,6.6,7.0,0.01,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,66.66666666666666,0.0,,100.0,,,,,,,1.0,,,,
14147346,away,120152,FK Bokelj Kotor,1048761,Sotirios Kokkinis,sotirios-kokkinis,M,28,True,6.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,25.0,13.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,83.33333333333334,,100.0,33.33333333333333,,,,1.0,,,,,,,
14147346,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,M,16,True,3.0,1.0,0.0,0.0,0.0,,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,8.0,7.0,6.9,2.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,33.33333333333333,,0.0,100.0,,,,,,,,,,,
14147346,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,away,7581,FK Bokelj Kotor,1218106,Andrija Krivokapić,andrija-krivokapic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,away,7581,FK Bokelj Kotor,1595583,Balša Radević,balsa-radevic,M,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147346,away,7581,FK Bokelj Kotor,1565052,Matija Delić,matija-delic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
