match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,shotOffTarget,blockedScoringAttempt,keyPass,savedShotsFromInsideTheBox
14147369,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,36.0,33.0,11.0,8.0,0.0,26.0,27.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,90.0,42.0,7.6,6.0,0.0,0.0,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,91.66666666666666,72.72727272727273,,,,1.0,,,,,2.0
14147369,away,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,30.0,24.0,7.0,4.0,0.0,12.0,14.0,11.0,14.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,40.0,6.9,6.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,1,9,80.0,57.14285714285714,0.0,,,2.0,1.0,,,,
14147369,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,57.0,44.0,11.0,2.0,0.0,34.0,35.0,9.0,21.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,73.0,7.2,12.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,77.19298245614034,18.181818181818183,,,,2.0,,,,,
14147369,away,7581,FK Bokelj Kotor,1034559,Balša Ćetković,balsa-cetkovic,D,18,False,64.0,61.0,4.0,3.0,0.0,50.0,52.0,10.0,11.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,90.0,72.0,7.4,4.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,95.3125,75.0,,,,2.0,,,,,
14147369,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,27.0,20.0,2.0,1.0,0.0,11.0,13.0,7.0,12.0,3.0,0.0,1.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,34.0,7.0,10.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,1,8,74.07407407407408,50.0,0.0,,,3.0,1.0,,,,
14147369,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,44.0,31.0,4.0,2.0,0.0,19.0,24.0,9.0,16.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,88.0,49.0,6.6,16.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,1,8,70.45454545454545,50.0,,,,4.0,,,,,
14147369,away,7581,FK Bokelj Kotor,1031066,Vitinho,vitinho,M,77,False,46.0,43.0,1.0,1.0,0.0,31.0,32.0,11.0,12.0,0.0,0.0,1.0,1.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,73.0,52.0,6.8,5.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,3,11,93.47826086956522,100.0,,,,1.0,,,,,
14147369,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,M,16,False,10.0,4.0,1.0,0.0,0.0,,2.0,4.0,8.0,2.0,1.0,1.0,1.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,73.0,26.0,6.5,12.0,0.2,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,4,12,40.0,0.0,50.0,50.0,,1.0,2.0,1.0,1.0,,
14147369,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,40.0,26.0,3.0,2.0,0.0,8.0,10.0,18.0,30.0,2.0,1.0,2.0,0.0,8.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,88.0,53.0,6.9,17.0,0.0,0.2,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,65.0,66.66666666666666,50.0,33.33333333333333,,1.0,,,,2.0,
14147369,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,18.0,12.0,4.0,2.0,0.0,6.0,6.0,6.0,12.0,6.0,1.0,1.0,0.0,17.0,5.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,65.0,33.0,6.6,11.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,5,16,66.66666666666666,50.0,16.666666666666664,100.0,,1.0,,,,,
