match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,aerialWon,keyPass,shotOffTarget,hitWoodwork,interceptionWon,dispossessed,bigChanceCreated,onTargetScoringAttempt,totalOffside,bigChanceMissed,punches
14015531,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,26.0,20.0,8.0,2.0,0.0,20.0,22.0,4.0,1.0,10.0,3.0,1.0,3.0,1.0,1.0,90.0,40.0,7.0,7.0,43.091838700088,8.0,21.21,5.565,0.2851,"{'original': 7, 'alternative': 7.4}",0,-0.01,0.02,0.28,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.92307692307693,25.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015531,home,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,43.0,32.0,11.0,4.0,0.0,18.0,22.0,21.0,4.0,11.0,,,,,,90.0,89.0,7.7,24.0,203.90262619319,21.0,108.78,21.63,,"{'original': 7.7, 'alternative': 7.3}",1,0.27,0.1,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,7,6,74.4186046511628,36.36363636363637,16.666666666666664,25.0,,14.0,6.0,1.0,1.0,7.0,7.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,-0.04,,,,,,,,,,,
14015531,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,51.0,44.0,11.0,8.0,0.0,31.0,33.0,18.0,12.0,6.0,,,,,,90.0,74.0,8.1,8.0,408.27248988136,34.0,250.95,38.64,,"{'original': 8.1, 'alternative': 7.8}",0,0.18,0.2,0.86,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,6,1,86.27450980392157,72.72727272727273,,,,13.0,,,,1.0,7.0,,1.0,,,1.0,3.0,2.0,,3.0,,,1.0,1.0,,,,,,,,,
14015531,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,47.0,38.0,7.0,1.0,0.0,20.0,23.0,24.0,8.0,3.0,,,,,,90.0,66.0,7.2,12.0,275.11112805545,27.0,171.36,31.71,,"{'original': 7.2, 'alternative': 7.4}",1,0.14,0.12,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,1,4,80.85106382978722,14.285714285714285,,,,18.0,,,2.0,6.0,6.0,1.0,,,,,1.0,1.0,3.0,,3.0,-0.19,5.0,1.0,1.0,1.0,4.0,,,,,,
14015531,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,False,29.0,17.0,4.0,2.0,0.0,8.0,9.0,20.0,,1.0,,,,,,78.0,49.0,6.9,15.0,71.640041953438,9.0,9.135,12.18,,"{'original': 6.9, 'alternative': 6.7}",0,0.07,0.05,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,58.620689655172406,50.0,,100.0,,9.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,2.0,,,,1.0,,,,1.0,,,,,,
14015531,home,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,33.0,28.0,3.0,2.0,0.0,17.0,19.0,14.0,,10.0,,,,,,90.0,44.0,7.1,7.0,125.54553421504,15.0,49.875,25.41,,"{'original': 7.1, 'alternative': 7}",1,0.11,0.16,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,84.84848484848484,66.66666666666666,,,,11.0,,,,,6.0,,,,1.0,,3.0,2.0,2.0,1.0,,0.01,2.0,,,,1.0,,,,,,
14015531,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,6.0,3.0,,,0.0,1.0,1.0,5.0,,1.0,,,,,,45.0,10.0,6.5,4.0,43.744029268124,3.0,32.445,19.845,,"{'original': 6.5, 'alternative': 6.5}",0,-0.04,0.06,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
14015531,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,29.0,13.0,4.0,1.0,0.0,5.0,6.0,23.0,2.0,4.0,,,,,,90.0,55.0,6.8,27.0,167.30397725819,21.0,72.87,18.06,,"{'original': 6.8, 'alternative': 7.4}",1,0.24,0.21,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,8,11,7,4,44.827586206896555,25.0,20.0,50.0,,8.0,10.0,2.0,3.0,7.0,12.0,1.0,2.0,1.0,,,2.0,2.0,2.0,5.0,2.0,-0.1,5.0,3.0,1.0,,,,1.0,,,,
14015531,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,27.0,24.0,2.0,1.0,0.0,6.0,7.0,20.0,3.0,3.0,,,,,,78.0,44.0,6.8,5.0,53.248887762826,8.0,3.255,11.34,,"{'original': 6.8, 'alternative': 7}",2,0.02,0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,88.88888888888889,50.0,,50.0,,18.0,,,,2.0,4.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,,0.1,,,,,,,,1.0,,,
14015531,home,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,34.0,26.0,4.0,2.0,0.0,8.0,13.0,21.0,1.0,10.0,,,,,,90.0,74.0,6.8,26.0,288.182720322,27.0,114.555,21.945,,"{'original': 6.8, 'alternative': 7}",3,0.25,0.36,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,7,6,76.47058823529412,50.0,11.11111111111111,57.14285714285714,,18.0,9.0,1.0,2.0,8.0,8.0,,7.0,4.0,2.0,,,,6.0,3.0,2.0,-0.6,1.0,3.0,1.0,,1.0,1.0,,,,,
14015531,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,19.0,13.0,,,0.0,3.0,4.0,15.0,,1.0,,,,,,65.0,26.0,6.6,9.0,71.750821621291,8.0,15.54,19.845,,"{'original': 6.6, 'alternative': 6.6}",0,0.21,0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,68.42105263157895,,,,,10.0,,,,2.0,3.0,1.0,,,,,1.0,,2.0,,,,2.0,1.0,,,,1.0,,,,,
