match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,interceptionWon,fouls,aerialWon,duelWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,totalClearance,totalTackle,wonTackle,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,aerialLost,unsuccessfulTouch,wasFouled,totalCross,accurateCross,dispossessed,shotOffTarget,blockedScoringAttempt,keyPass,totalContest,wonContest,goals,penaltyWon,totalOffside,bigChanceCreated,outfielderBlock,penaltyMiss,penaltySave,penaltyFaced,lastManTackle,penaltyConceded
15158126,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,20.0,14.0,2.0,2.0,0.0,2.0,2.0,12.0,18.0,1.0,,,90.0,33.0,6.6,11.0,47.123112537477,7.0,-1.05,7.14,,"{'original': 6.6, 'alternative': 7}",1,-0.12,-0.47,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,3,1,70.0,100.0,,,,7.0,,1.0,1.0,4.0,,,1.0,2.0,1.0,,,,-0.22,6.0,5.0,2.0,,,,,,1.0,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,True,22.0,17.0,2.0,1.0,0.0,6.0,7.0,11.0,15.0,1.0,,,84.0,56.0,6.4,21.0,102.6019692982,14.0,-39.27,6.405,,"{'original': 6.4, 'alternative': 6.5}",0,-0.14,0.09,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,77.27272727272727,50.0,,100.0,,4.0,,3.0,,4.0,,,,,2.0,1.0,,,,,2.0,1.0,5.0,,1.0,,,,1.0,1.0,,,,,,,,,,
15158126,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,True,34.0,30.0,4.0,2.0,1.0,10.0,12.0,20.0,22.0,5.0,,,45.0,44.0,7.2,8.0,119.99778931083,20.0,-25.095,10.185,,"{'original': 7.2, 'alternative': 7.4}",1,0.35,0.2,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.23529411764706,50.0,,,,,,,,,,,1.0,1.0,,,,,0.01,,,,4.0,,,,,2.0,,,,,,,1.0,,,,,
15158126,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,True,8.0,6.0,,,0.0,3.0,3.0,3.0,5.0,1.0,,,17.0,11.0,8.2,3.0,56.921595927189,4.0,-50.925,-4.305,,"{'original': 8.2, 'alternative': 7.4}",1,0.48,0.26,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,,100.0,,,,,,,,,,1.0,,,,34.941150524847,1.0,0.54,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,
15158126,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,True,12.0,9.0,1.0,,0.0,3.0,4.0,6.0,8.0,6.0,,,17.0,18.0,6.7,5.0,61.305780122989,6.0,-26.04,7.56,,"{'original': 6.7, 'alternative': 6.6}",0,0.18,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,75.0,,,50.0,,1.0,,,,1.0,,,,,,,27.432769473752,1.0,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,
15158126,away,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,8.0,5.0,6.3,3.0,18.183473159006,3.0,0.105,2.52,,"{'original': 6.3, 'alternative': 6.5}",0,-0.06,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,100.0,,,100.0,,3.0,,2.0,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,
15158126,away,5148,FK Čukarički,1595759,Ismael Maiga,ismael-maiga,D,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,away,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15158126,away,5148,FK Čukarički,1584983,Vladan Čarapić,vladan-carapic,G,81,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
